code,momentum_5d
603713.XSHG,0.04151521970274223
002144.XSHE,-0.02304408705876731
688787.XSHG,-0.04242586762478813
605008.XSHG,0.0691006954309587
002302.XSHE,-0.0151229761214738
600478.XSHG,0.09220325261748634
600409.XSHG,-0.0021742726724537885
603797.XSHG,0.0031580810552177645
002560.XSHE,-0.08569946900657378
002683.XSHE,-0.022726398061708612
603777.XSHG,0.027499888842679406
002548.XSHE,0.08342149961755661
688220.XSHG,-0.050275396198124565
600389.XSHG,0.007113517787568805
002976.XSHE,-0.04321683562465713
300602.XSHE,0.011959759209375422
002708.XSHE,-0.01286833117814282
002990.XSHE,0.03757653635037465
600980.XSHG,-0.007912315542060695
300527.XSHE,-0.005343639868397856
600237.XSHG,-0.007106183797887576
301073.XSHE,-0.014683793431961214
603318.XSHG,0.1811300828788858
688072.XSHG,-0.1702235470396044
300328.XSHE,-0.0006027120580005506
603311.XSHG,0.014551305411527285
002433.XSHE,0.041624949385251644
605369.XSHG,-0.005658285554026749
300806.XSHE,-0.05338501817222551
600158.XSHG,0.07339526637651626
601118.XSHG,0.018325152458933673
301017.XSHE,0.016749274652093044
002922.XSHE,0.03093407423397255
300170.XSHE,0.0650468011347673
688181.XSHG,-0.012103226953533495
600232.XSHG,0.003802999706968957
603392.XSHG,0.0013794893953080261
600250.XSHG,-0.03169667244476382
002183.XSHE,-0.054651774709441756
002307.XSHE,-0.005211615444776965
300427.XSHE,0.046426966041339036
688271.XSHG,0.05093181179281893
300213.XSHE,0.02158810247181677
000735.XSHE,0.026425821803913944
300132.XSHE,0.17842122565165805
000793.XSHE,0.00030600993085940463
002478.XSHE,-0.003986594186506506
603183.XSHG,0.003592258258914141
601116.XSHG,-0.02070175132660642
688091.XSHG,-0.08101545608215978
002690.XSHE,-0.04015043243799272
301177.XSHE,-0.05177644155662464
002365.XSHE,0.022648966660901798
688392.XSHG,0.15383824802345644
300454.XSHE,-0.06456795434119182
600640.XSHG,0.01851677633234171
600874.XSHG,-0.0004482594383568763
688365.XSHG,0.049296440883337574
000078.XSHE,0.035206489536761254
300443.XSHE,0.08583529926564962
601728.XSHG,0.04553857003596223
000600.XSHE,0.13059189052626938
002582.XSHE,-0.013171541515279928
002335.XSHE,0.04122646551250032
000796.XSHE,-0.13646374022395147
300006.XSHE,0.029156412255600304
002028.XSHE,-0.0022779587493309793
300694.XSHE,0.00500137996762131
600615.XSHG,-0.024690498355719983
600570.XSHG,0.0271891507705692
605028.XSHG,0.011971646172194723
001203.XSHE,0.024480857406437483
300979.XSHE,-0.034821340415189604
601929.XSHG,0.01720602525517612
688686.XSHG,-0.07856308783882412
601198.XSHG,0.003263627589218954
002414.XSHE,0.021056867142313317
002493.XSHE,-0.12376095627470676
688232.XSHG,0.06020752722669093
002556.XSHE,0.06023281323839957
301060.XSHE,0.013732922824123953
301282.XSHE,-0.0628820793504055
600726.XSHG,0.0338380052122963
603261.XSHG,-0.06114306054974354
300865.XSHE,-0.0004869132025062915
002637.XSHE,0.01750026953483895
603329.XSHG,-0.05918722331191692
002203.XSHE,0.01771075093237687
600769.XSHG,-0.025228136975522855
688077.XSHG,0.015152092835227901
600381.XSHG,-0.04199008254982805
300668.XSHE,-0.004417390020360424
300109.XSHE,-0.0743573844979474
002294.XSHE,0.07980512439946962
301022.XSHE,-0.013558009589767403
001216.XSHE,-0.0015024288629968668
300879.XSHE,-0.017740692779158213
300271.XSHE,0.041865109350379515
600563.XSHG,-0.028491953143361334
002015.XSHE,0.05438718249280375
300442.XSHE,0.01771869987418345
600802.XSHG,-0.009877044988340408
002685.XSHE,0.04805200001310492
600048.XSHG,0.029753679870099126
000813.XSHE,0.019135749308020443
600326.XSHG,-0.024791929057285368
600422.XSHG,0.03803764126876405
688521.XSHG,-0.06420813100856891
688335.XSHG,-0.0017598674677346236
605268.XSHG,0.01799394318614367
000498.XSHE,-0.012849906336907666
601311.XSHG,0.006801837516891875
603103.XSHG,-0.0846518977176854
002889.XSHE,-0.03335397245047589
002793.XSHE,0.13532410643254902
002142.XSHE,-0.037806933926483474
300140.XSHE,-0.06673116894496421
600738.XSHG,0.02422760812373962
688328.XSHG,-0.027073829882104133
300616.XSHE,-0.028700835913580573
002238.XSHE,-0.03147531825671934
000908.XSHE,0.025886793736761973
605398.XSHG,0.03383588392345833
600095.XSHG,0.014417851231886374
300884.XSHE,0.008745196857801861
002551.XSHE,0.054381508052620244
600549.XSHG,0.022519247820079084
603053.XSHG,0.020284497881541706
002979.XSHE,-0.031143370788458073
603289.XSHG,-0.027691918903945893
688309.XSHG,-0.022039246656865966
603171.XSHG,0.03739923774014513
000557.XSHE,-0.039706041672924255
002871.XSHE,-0.05021726116299338
300627.XSHE,-0.05569562382170817
300342.XSHE,-0.004100509296911969
600892.XSHG,0.019559318018405013
301205.XSHE,0.017306239652900797
300656.XSHE,-0.06538822542628636
688788.XSHG,-0.025713984949911065
001289.XSHE,0.06273742288836343
300416.XSHE,-0.04480227116590965
605388.XSHG,-0.025942833381615127
300603.XSHE,0.027158824097700776
688130.XSHG,-0.025596201750818497
688192.XSHG,0.005578639583584021
300726.XSHE,-0.0635181424115115
002124.XSHE,0.09082984800421753
300076.XSHE,-0.007758820836846706
300369.XSHE,0.11022125794728366
600917.XSHG,-0.021758127457381798
000893.XSHE,-0.019322904866749268
002620.XSHE,-0.1873390696871652
002766.XSHE,0.014890926495047191
688550.XSHG,-0.036288106720029176
300169.XSHE,0.004260720643397119
002609.XSHE,0.07585032991042517
300498.XSHE,0.11912431798202662
601901.XSHG,0.018639074741591634
301270.XSHE,-0.036040339736888485
600196.XSHG,-0.002632836087616517
600126.XSHG,0.0160672250343412
002959.XSHE,-0.04533692027418232
301106.XSHE,-0.032846731428927134
300080.XSHE,0.0004968391166119916
600582.XSHG,0.029665885673594274
300193.XSHE,-0.0054569384889245846
000859.XSHE,0.017718258500768636
601555.XSHG,0.03404076510623827
002371.XSHE,-0.16205932845940632
601226.XSHG,0.0019384779850490017
603133.XSHG,0.04531627861917105
002299.XSHE,0.12271812401426542
002062.XSHE,-0.10673626615457556
688050.XSHG,-0.017498913599705762
600981.XSHG,0.020094363431111824
603967.XSHG,-0.021232683428186166
300757.XSHE,-0.049597541345089355
600098.XSHG,0.07705740602789292
603565.XSHG,-0.023979044858853958
300838.XSHE,-0.007745834002008805
688667.XSHG,-0.0011092566014305524
301218.XSHE,0.01898612351919885
300351.XSHE,0.05715771913984459
300467.XSHE,0.00929060772682213
002168.XSHE,-0.02404260795788025
300779.XSHE,0.00546244756662468
002093.XSHE,0.1833541783565135
603283.XSHG,0.14209826678529483
002681.XSHE,0.06506809021159397
301130.XSHE,-0.02455944703124147
688136.XSHG,0.018879870602931732
002396.XSHE,0.036067216052229914
600818.XSHG,-0.07884004240783384
601138.XSHG,0.0033623763999150263
300380.XSHE,0.0700895114444273
000552.XSHE,-0.014960198429165803
002778.XSHE,-0.07354758569017641
688116.XSHG,-0.09186390046465008
301316.XSHE,-0.008009016638363743
002538.XSHE,-0.02913302471307645
300552.XSHE,0.03731908210592275
600829.XSHG,0.002010251452535229
300882.XSHE,0.010694330806211811
002927.XSHE,0.023514902442535072
002936.XSHE,0.025737176825847703
301067.XSHE,0.045075425180839714
000758.XSHE,0.008702390281375639
002857.XSHE,-0.04817149991596166
688255.XSHG,-0.09486308962694377
600936.XSHG,0.0031055994201260127
300959.XSHE,0.008837508924660883
601368.XSHG,0.012746900113829686
000626.XSHE,-0.01265352131648531
603396.XSHG,-0.053486417376738156
002717.XSHE,-0.03202203077803672
002816.XSHE,-0.03417138973621113
001339.XSHE,0.004624758510111441
300711.XSHE,0.02030652809019453
601208.XSHG,-0.048799347829840085
300307.XSHE,0.014542598416649
600651.XSHG,0.005801688705309154
002530.XSHE,0.16083620925330278
002968.XSHE,-0.036888176456315896
301235.XSHE,0.06290539760772476
603351.XSHG,-0.002401911557174681
301030.XSHE,0.01944735686143425
688628.XSHG,-0.01871219132458487
002426.XSHE,-0.05578092364262859
600758.XSHG,-0.027549458447889464
300948.XSHE,-0.03738423346199154
002490.XSHE,0.028383984828845053
300210.XSHE,0.005755793389091823
301111.XSHE,0.050396123686415384
300167.XSHE,0.12884395935330703
300004.XSHE,0.0037007647871665113
002088.XSHE,-0.04319147632807569
301108.XSHE,-0.02238635820079158
600320.XSHG,0.007513955478469115
601788.XSHG,0.011119914266734005
600241.XSHG,0.040199538719838654
002635.XSHE,0.026338540049440348
003038.XSHE,-0.014307569289698414
600689.XSHG,-0.030343963417605688
300134.XSHE,0.021035088518979096
300628.XSHE,0.01931321798597003
301056.XSHE,-0.03994981087275776
300712.XSHE,-0.0021375311384087712
600376.XSHG,0.05206872057327164
600645.XSHG,0.006056901693212734
000836.XSHE,0.03579933693282987
002475.XSHE,-0.052114315980671275
000848.XSHE,-0.009441365264407624
300260.XSHE,-0.16405025647371083
002921.XSHE,-0.007604882372300812
300802.XSHE,0.11630704120881524
600824.XSHG,-0.024469270348801954
301215.XSHE,-0.0051488322161290945
002892.XSHE,-0.00022856157693740622
300084.XSHE,-0.018012986451092484
688223.XSHG,-0.040436194507089775
300529.XSHE,-0.05967000444663876
300836.XSHE,-0.00917644979596333
301003.XSHE,-0.016461394952362252
000999.XSHE,0.10348515853217989
000702.XSHE,0.05002994521770611
300756.XSHE,-0.07634137586274248
000807.XSHE,0.05472166224312641
002258.XSHE,0.017341810190275683
300236.XSHE,-0.04312129039921851
603708.XSHG,-0.04424028151392122
300319.XSHE,0.01812004265930775
300061.XSHE,0.07426307818833616
688558.XSHG,-0.005089981745781569
688359.XSHG,0.02194014674059852
300890.XSHE,-0.00736194836908923
300548.XSHE,0.09692786793962027
002404.XSHE,0.008395604364543544
301133.XSHE,-0.05052955971312867
002508.XSHE,-0.019649695291776733
603353.XSHG,-0.0033015721292149313
002377.XSHE,-0.10780720301111074
300176.XSHE,0.06310015544441704
603991.XSHG,-0.016065320907383704
688201.XSHG,0.1824178553246387
603612.XSHG,0.030343264568412777
300015.XSHE,-0.022963995526778573
002152.XSHE,0.07402886552362944
000547.XSHE,-0.01534718386469306
600157.XSHG,0.09205230350595182
301296.XSHE,-0.004078009988894685
000582.XSHE,-0.005706200777281121
300462.XSHE,0.008777479796966619
002344.XSHE,-0.028444167730483604
688798.XSHG,-0.07863483782211661
603235.XSHG,-0.03762979888273252
002175.XSHE,-0.07367563560120173
000900.XSHE,-0.011921130535427944
605100.XSHG,-0.0071081712822081405
603828.XSHG,-0.04319970294649287
603026.XSHG,-0.01996958129254238
002578.XSHE,0.12941196539730823
300589.XSHE,-0.03397343012359158
300259.XSHE,-0.002698219543461675
600375.XSHG,0.012796374137061353
601609.XSHG,0.025537426958006863
600956.XSHG,0.02515951777540261
600340.XSHG,-0.008797284258291764
002897.XSHE,-0.17805705054592708
002161.XSHE,0.048217498251757925
002928.XSHE,0.002228692315831303
601616.XSHG,0.01256703077353796
300426.XSHE,-0.010907330764228314
300334.XSHE,-0.00677562610691455
000959.XSHE,0.012681393959939911
000555.XSHE,0.13744870810498494
002824.XSHE,0.04240160406720129
600310.XSHG,0.04573322595581366
301099.XSHE,0.013761298501071302
603809.XSHG,0.1734028547954338
001226.XSHE,0.07167898394706712
601028.XSHG,0.09326331046175071
002598.XSHE,0.05141952977927901
600397.XSHG,-0.009576451839811432
688039.XSHG,-0.05151285703057203
300991.XSHE,0.008068867160537677
000955.XSHE,0.017664184489386888
688293.XSHG,-0.13043134887268115
000667.XSHE,-0.03521705051443698
002993.XSHE,0.01830899317405594
688189.XSHG,-0.006487830468519739
600990.XSHG,0.004691342138303753
002909.XSHE,-0.0409720111273215
301077.XSHE,-0.0627128523714783
600482.XSHG,0.015095007444832272
603083.XSHG,0.17839837556267546
603660.XSHG,0.015957838109804983
600798.XSHG,-0.032921302732345274
000732.XSHE,-0.07504166393215408
603739.XSHG,-0.0056372336988132
301234.XSHE,-0.058473689390722956
603369.XSHG,-0.04382749286047518
600820.XSHG,0.010623614592770243
002362.XSHE,0.040797106734844574
603085.XSHG,-0.0064257292478380745
600777.XSHG,0.04304487908856117
300399.XSHE,0.028960942706516755
002444.XSHE,-0.03648920252353249
002042.XSHE,-0.021966987554547
002301.XSHE,0.09966689192726463
301005.XSHE,0.045070897515911285
600089.XSHG,0.014959154872703476
301088.XSHE,-0.023310700097350978
600495.XSHG,-0.0053201870592811
002797.XSHE,0.022764337618422174
600487.XSHG,0.047708967027977604
300152.XSHE,-0.05061915808072012
300095.XSHE,0.048479472356696106
300792.XSHE,-0.06176735636613492
300256.XSHE,0.04262092331738431
603132.XSHG,-0.026409254860260703
002103.XSHE,0.03779182874090167
603393.XSHG,-0.009496951583190355
603218.XSHG,0.024483380401474297
002059.XSHE,-0.11710947999798933
002908.XSHE,0.10084492517041418
000850.XSHE,0.08194848839144916
600814.XSHG,-0.053060821992697814
603399.XSHG,0.08292085818407555
001268.XSHE,-0.007965949271437102
002085.XSHE,0.04898730804066706
002962.XSHE,-0.030131426997225888
300148.XSHE,0.009767643280733464
601900.XSHG,0.008186794120523
603915.XSHG,0.0067107665575121735
300293.XSHE,0.005811983370380219
601518.XSHG,-0.015263631073804212
002599.XSHE,0.0036371539348388666
002528.XSHE,0.1806434068802087
300820.XSHE,-0.07921996805035013
600467.XSHG,0.009677459312568063
601258.XSHG,-0.05073844355032302
688282.XSHG,-0.03401244025717927
605377.XSHG,-0.01649049037147899
301220.XSHE,-0.10683345189477592
300928.XSHE,-0.03484919494487214
300920.XSHE,-0.035502132428868086
002500.XSHE,0.023494878752284166
600416.XSHG,0.024690800049574187
300775.XSHE,-0.003824543529447489
002674.XSHE,0.01052169768136852
300184.XSHE,-0.0151781978540049
688051.XSHG,0.02776288367262078
600532.XSHG,0.0036539532872755286
300933.XSHE,0.05092741237370895
603439.XSHG,0.02722098529570771
002395.XSHE,0.17839672998013556
600172.XSHG,-0.1782113658881889
002014.XSHE,0.028711701842328748
002020.XSHE,0.06060782553223906
002715.XSHE,0.009466019927818908
000066.XSHE,0.10468491148387912
003039.XSHE,0.001811498296037729
300288.XSHE,0.02738373224531207
600641.XSHG,-0.1343597780455272
688366.XSHG,-0.056579851995054664
600301.XSHG,-0.02793621461519024
300360.XSHE,0.11097425624161517
300382.XSHE,0.07712400387685464
600975.XSHG,0.08434169511087163
002277.XSHE,-0.06422243946850097
300736.XSHE,-0.04312091183265147
300618.XSHE,-0.028995273629440557
600039.XSHG,-0.021934382941301636
301256.XSHE,-0.009673750636507421
002458.XSHE,0.18654279341908733
605058.XSHG,0.06979134364138133
600883.XSHG,-0.02150680752809385
605266.XSHG,0.0749198093760927
002462.XSHE,0.01985298065916758
301237.XSHE,-0.03173849551728235
603600.XSHG,-0.051629492698288273
002457.XSHE,-0.004146580933187448
600246.XSHG,-0.018821950474830814
600589.XSHG,-0.010748872278742386
600693.XSHG,-0.12224853453947418
000429.XSHE,0.009641549364544411
603606.XSHG,0.031169213735988327
605336.XSHG,-0.11745816881547766
600337.XSHG,0.004303883822640769
600373.XSHG,0.017805208081357233
300001.XSHE,0.009217276237555479
600598.XSHG,0.02895678420071361
002231.XSHE,0.040173004188331314
600678.XSHG,-0.013512583587721963
300484.XSHE,0.011267778196564004
600593.XSHG,-0.10656190698893754
000812.XSHE,-0.07389086055687205
001202.XSHE,0.05662201812456088
688403.XSHG,-0.0016442640206422842
603057.XSHG,0.15616747491494185
600730.XSHG,0.04732549672225279
601512.XSHG,-0.01190743924162042
603790.XSHG,0.006116981355630914
003001.XSHE,-0.00961050535700469
603969.XSHG,0.024215449446578607
001236.XSHE,0.09888833021867538
601921.XSHG,0.002635317276301309
603324.XSHG,-0.15356903320712914
002687.XSHE,-0.0088764175472538
000665.XSHE,0.032176379688708415
002099.XSHE,-0.009323556589878193
002777.XSHE,0.18226951781282794
301112.XSHE,-0.07049288951206796
002767.XSHE,0.02089495914782926
300652.XSHE,0.0007775602004532027
300623.XSHE,-0.012065114520935501
600061.XSHG,0.03681286153921415
300653.XSHE,-0.17879045645897393
300221.XSHE,0.038806133639674945
002659.XSHE,0.039780458404211905
688332.XSHG,-0.025649598560393966
601599.XSHG,-0.031938771482211206
688093.XSHG,-0.06822998604436623
605055.XSHG,-0.008741109223753612
600796.XSHG,-0.001955392397834689
688121.XSHG,-0.01841823857086411
600262.XSHG,-0.012872148091445266
601021.XSHG,-0.0017896059265223344
600789.XSHG,0.02336231772942975
301186.XSHE,-0.014582536337207855
600995.XSHG,-0.06499190369034424
002394.XSHE,-0.1107376347211986
000932.XSHE,0.03329030592338288
300155.XSHE,0.018227312599858915
603177.XSHG,0.006509447384810799
003030.XSHE,0.0648642803043314
001269.XSHE,-0.013609672854611858
600058.XSHG,0.023554651404796092
688188.XSHG,0.10177268603115593
002368.XSHE,0.10703047613166723
300642.XSHE,0.016714418811909035
003005.XSHE,0.18024012497465555
603416.XSHG,0.0013045545696595863
301123.XSHE,-0.01098770735014441
300861.XSHE,-0.08788281644761231
603700.XSHG,0.016717812975981693
603617.XSHG,0.012089876373712553
300526.XSHE,-0.1399822955415632
605003.XSHG,-0.036253653891370224
002460.XSHE,-0.03677622356638127
605289.XSHG,-0.16182970019390153
300395.XSHE,-0.06694914051538829
002986.XSHE,0.019149558203914986
000633.XSHE,-0.03658618231368568
300133.XSHE,-0.10618824838695835
601188.XSHG,-0.03399310059855516
600503.XSHG,-0.00655961985034155
301090.XSHE,-0.00783731455793499
002772.XSHE,0.17879702968712663
601688.XSHG,0.010480097388603626
002480.XSHE,-0.005011096764160306
603959.XSHG,0.026068988271991125
603023.XSHG,-0.010798812199571971
603729.XSHG,-0.011636976404491942
601166.XSHG,-0.007963285028009075
688360.XSHG,-0.009186030251155703
300941.XSHE,0.09649389092851185
002221.XSHE,0.014969891345993473
002405.XSHE,0.037782489138471265
601628.XSHG,0.027447570440980326
000789.XSHE,-0.004065356689202279
002931.XSHE,-0.006556725218801887
300550.XSHE,0.03207002158636032
603677.XSHG,0.007999161814084745
000333.XSHE,-0.06152300540312537
300495.XSHE,0.17658416447075082
300854.XSHE,0.020367502203164686
301163.XSHE,0.0004575996494136439
603906.XSHG,0.02077488404717176
600977.XSHG,-0.009049452828216936
601601.XSHG,0.05102273131217823
002542.XSHE,0.0752733131048072
300953.XSHE,-0.012941649250258765
300896.XSHE,-0.020279079922806774
300657.XSHE,-0.03572207178457622
002950.XSHE,0.012150932953715677
301016.XSHE,0.004930676432830159
300461.XSHE,0.030871289538352716
688613.XSHG,0.004397330781031654
002188.XSHE,-0.06430164166663829
601872.XSHG,0.01009354652872042
603041.XSHG,-0.0012621793355397162
600368.XSHG,0.005769470892326966
688569.XSHG,0.01112184369736867
605389.XSHG,-0.024185127835319842
002261.XSHE,0.06462249173486784
300539.XSHE,0.00154424383083996
688799.XSHG,0.031154057598077822
300243.XSHE,0.006409182693155959
002678.XSHE,0.005492768396859466
688656.XSHG,-0.015207819562555926
301180.XSHE,-0.011258263648124066
000525.XSHE,-0.06258875020815509
300014.XSHE,0.05386269698541403
002572.XSHE,-0.10311718284790611
300875.XSHE,0.010826710841972864
600456.XSHG,-0.002002774461221991
600319.XSHG,0.021398979399418396
600403.XSHG,-0.009520178060524477
300366.XSHE,0.05096777392631475
600516.XSHG,0.010037176821217162
300564.XSHE,-0.0150509467838073
300942.XSHE,0.004259385626096403
000691.XSHE,-0.0021967726545003632
000617.XSHE,0.025190496651861745
002451.XSHE,0.02923596849221556
300187.XSHE,0.0010286838107844472
300663.XSHE,0.08061589134203001
600459.XSHG,-0.0018100130716904392
001211.XSHE,-0.021561340305332938
300556.XSHE,0.009178193396465879
002369.XSHE,0.003593934683337116
688058.XSHG,0.1721331898048165
002988.XSHE,-0.011608584108482497
300713.XSHE,0.014378286180853395
300968.XSHE,0.00979143173729541
600257.XSHG,0.021232276764775206
603150.XSHG,-0.046959859685504424
300292.XSHE,0.02243135249073161
605077.XSHG,-0.013298434820709564
300121.XSHE,-0.020812461608052207
300441.XSHE,0.004101472515974302
603808.XSHG,-0.04288242378491139
003816.XSHE,0.03807766111519973
600153.XSHG,0.06703411075431592
600425.XSHG,0.006230205784731619
300983.XSHE,-0.014899453582729765
300759.XSHE,-0.05560351503587425
000810.XSHE,-0.018951304468204623
605108.XSHG,0.031716248595291444
002540.XSHE,0.01815452932116078
002663.XSHE,0.0007121820635994404
300750.XSHE,0.03763436287001653
000685.XSHE,0.005095253260263645
603255.XSHG,-0.0344452609283105
300916.XSHE,0.09438991391061714
688107.XSHG,-0.09310068610513253
601816.XSHG,-0.012704175074361772
002691.XSHE,0.030800251295146314
300105.XSHE,-0.007622083758375912
300388.XSHE,0.0002972313715484589
603070.XSHG,-0.001090306933620857
688195.XSHG,-0.025952422183704436
002707.XSHE,-0.12269227008929945
688298.XSHG,0.02269316267166017
301181.XSHE,-0.044055780229714805
300120.XSHE,0.059818257544542515
600761.XSHG,0.12873506938980286
300562.XSHE,0.01027229354546121
600650.XSHG,0.003455427272026251
002025.XSHE,-0.004455331450983055
688722.XSHG,0.047767660932339334
300098.XSHE,0.025789527238301156
000966.XSHE,0.05374238193079579
605089.XSHG,-0.036288995990983286
002638.XSHE,0.00804630043141795
002167.XSHE,-0.009965649835191997
300531.XSHE,0.04500745482128981
003026.XSHE,-0.015937278548004034
002247.XSHE,-0.018659146236618896
002373.XSHE,0.03895663074923874
300634.XSHE,0.18311332552264334
002878.XSHE,0.011707024489862298
300810.XSHE,0.0009635257838893942
603131.XSHG,0.00915509128770065
605060.XSHG,0.07234909776454942
300191.XSHE,0.010219851704202736
000958.XSHE,0.04361401436794896
600297.XSHG,0.009388811959838084
600460.XSHG,-0.04410847024976835
688259.XSHG,-0.15006009279578772
300286.XSHE,0.014540147302402351
688662.XSHG,-0.06048610815694987
002963.XSHE,-0.04389507852598609
605588.XSHG,-0.029665052001679564
002865.XSHE,-0.02676731329815284
300878.XSHE,0.013944559232208959
300981.XSHE,0.004559489855803997
300973.XSHE,-0.015409707487959754
601799.XSHG,0.03022466569010076
301349.XSHE,0.053246434122026766
600378.XSHG,0.021472527171567942
301126.XSHE,0.02357689174014472
603689.XSHG,-0.002020467021008122
688119.XSHG,0.008800225989309112
603657.XSHG,0.002115064081260276
688101.XSHG,0.001369394996916717
688125.XSHG,-0.03867853963577972
300068.XSHE,0.015607785717754862
603668.XSHG,0.03816816196784143
603507.XSHG,-0.001193996822831226
688601.XSHG,-0.13803385028740245
002923.XSHE,0.009765648618739454
001259.XSHE,-0.0905094944971043
300354.XSHE,0.005844159096878004
300376.XSHE,0.04762738820414977
002657.XSHE,0.16702544447459497
002842.XSHE,-0.022262670709699076
600999.XSHG,0.019560464026573725
000756.XSHE,0.169034297483121
600988.XSHG,-0.004238277722810106
000533.XSHE,0.03510923663576218
000598.XSHE,0.02225900367243311
600560.XSHG,0.01841801034779777
603239.XSHG,-0.002285393778229252
603520.XSHG,-0.01711540764164143
301097.XSHE,0.029591835705437684
688047.XSHG,0.09833373378960106
600331.XSHG,-0.0012711639562832042
603058.XSHG,0.0014740446992290678
300185.XSHE,0.027790407233479128
300516.XSHE,-0.01839057219935064
603799.XSHG,-0.06140272537056851
688611.XSHG,0.07788350818715466
002713.XSHE,-0.15126716054321387
002140.XSHE,0.046943810341379316
603322.XSHG,-0.025103076441422175
