code,date,open_close_diff
002508.XSHE,2020-08-10,-16.95999999999998
002452.XSHE,2020-08-10,-0.5
300053.XSHE,2020-08-10,1.019999999999996
600110.XSHG,2020-08-10,-0.4200000000000017
002077.XSHE,2020-08-10,-0.009999999999999787
300849.XSHE,2020-08-10,-0.3000000000000007
603330.XSHG,2020-08-10,0.6200000000000045
300073.XSHE,2020-08-10,5.199999999999989
002966.XSHE,2020-08-10,-0.0600000000000005
688520.XSHG,2020-08-10,-0.7800000000000011
688277.XSHG,2020-08-10,8.329999999999998
001914.XSHE,2020-08-10,-9.75
600220.XSHG,2020-08-10,-0.26000000000000156
002337.XSHE,2020-08-10,-0.4700000000000024
002775.XSHE,2020-08-10,-0.7100000000000009
603053.XSHG,2020-08-10,-1.5399999999999991
300468.XSHE,2020-08-10,-1.5600000000000023
600328.XSHG,2020-08-10,-2.0100000000000016
603637.XSHG,2020-08-10,-0.5899999999999999
600872.XSHG,2020-08-10,-46.50999999999999
002189.XSHE,2020-08-10,0.4399999999999977
002985.XSHE,2020-08-10,24.090000000000003
300245.XSHE,2020-08-10,-1.9099999999999966
601992.XSHG,2020-08-10,-0.11000000000000032
300250.XSHE,2020-08-10,-0.03999999999999915
300092.XSHE,2020-08-10,-0.509999999999998
603668.XSHG,2020-08-10,0.1899999999999995
300651.XSHE,2020-08-10,-1.2199999999999989
300267.XSHE,2020-08-10,0.6099999999999994
002656.XSHE,2020-08-10,-0.10999999999999943
300825.XSHE,2020-08-10,-0.9600000000000009
002870.XSHE,2020-08-10,0.2799999999999976
601600.XSHG,2020-08-10,-0.03000000000000025
300622.XSHE,2020-08-10,-0.3099999999999987
002988.XSHE,2020-08-10,-0.5399999999999991
300388.XSHE,2020-08-10,-1.1799999999999997
000037.XSHE,2020-08-10,-3.769999999999996
300265.XSHE,2020-08-10,-0.7699999999999996
600663.XSHG,2020-08-10,-1.5200000000000102
600390.XSHG,2020-08-10,-0.6400000000000006
603115.XSHG,2020-08-10,-0.379999999999999
603439.XSHG,2020-08-10,0.4099999999999966
002569.XSHE,2020-08-10,0.0799999999999983
600744.XSHG,2020-08-10,-0.28999999999999915
002883.XSHE,2020-08-10,2.1499999999999986
600694.XSHG,2020-08-10,-0.5099999999999909
603987.XSHG,2020-08-10,-2.5899999999999963
002138.XSHE,2020-08-10,-2.3799999999999955
000623.XSHE,2020-08-10,-3.8899999999999864
002826.XSHE,2020-08-10,0.41000000000000014
300517.XSHE,2020-08-10,0.0
603226.XSHG,2020-08-10,-1.0199999999999996
000586.XSHE,2020-08-10,-0.7399999999999949
300259.XSHE,2020-08-10,-0.5599999999999881
605158.XSHG,2020-08-10,0.0
000616.XSHE,2020-08-10,-5.609999999999999
600393.XSHG,2020-08-10,-0.2700000000000031
300222.XSHE,2020-08-10,-0.44999999999999574
002658.XSHE,2020-08-10,-0.23000000000000043
002466.XSHE,2020-08-10,-2.4799999999999898
000965.XSHE,2020-08-10,-0.25
300045.XSHE,2020-08-10,4.840000000000003
603901.XSHG,2020-08-10,-0.490000000000002
600250.XSHG,2020-08-10,-0.10999999999999943
002156.XSHE,2020-08-10,-1.6499999999999915
000038.XSHE,2020-08-10,-0.9099999999999966
000686.XSHE,2020-08-10,-1.8899999999999864
300509.XSHE,2020-08-10,0.5899999999999963
300624.XSHE,2020-08-10,-0.6800000000000068
603221.XSHG,2020-08-10,-0.8800000000000008
002199.XSHE,2020-08-10,-0.129999999999999
002848.XSHE,2020-08-10,-0.35999999999999943
603839.XSHG,2020-08-10,-0.6800000000000033
600300.XSHG,2020-08-10,0.21999999999999886
600919.XSHG,2020-08-10,-0.09000000000000075
000667.XSHE,2020-08-10,-0.7700000000000102
603017.XSHG,2020-08-10,-1.3000000000000043
600702.XSHG,2020-08-10,0.480000000000004
002529.XSHE,2020-08-10,-0.15000000000000036
603855.XSHG,2020-08-10,-0.5799999999999983
300809.XSHE,2020-08-10,-0.3099999999999987
600989.XSHG,2020-08-10,-0.9700000000000006
300722.XSHE,2020-08-10,1.1600000000000037
601100.XSHG,2020-08-10,0.030000000000001137
300606.XSHE,2020-08-10,-0.48999999999999844
601718.XSHG,2020-08-10,0.0
002603.XSHE,2020-08-10,-0.22000000000001307
002592.XSHE,2020-08-10,0.02999999999999936
300244.XSHE,2020-08-10,-12.449999999999989
002214.XSHE,2020-08-10,3.6699999999999875
002250.XSHE,2020-08-10,-0.5999999999999943
002524.XSHE,2020-08-10,2.069999999999993
600559.XSHG,2020-08-10,-0.3399999999999892
300106.XSHE,2020-08-10,-0.16000000000000014
300478.XSHE,2020-08-10,-0.33000000000000185
600723.XSHG,2020-08-10,2.259999999999998
601952.XSHG,2020-08-10,-0.28000000000000114
300133.XSHE,2020-08-10,0.0
000006.XSHE,2020-08-10,-14.699999999999989
300237.XSHE,2020-08-10,-1.7100000000000009
300114.XSHE,2020-08-10,1.9500000000000028
603136.XSHG,2020-08-10,0.020000000000003126
600487.XSHG,2020-08-10,-1.9000000000000057
688128.XSHG,2020-08-10,-0.3500000000000014
603860.XSHG,2020-08-10,-1.5700000000000003
002580.XSHE,2020-08-10,-0.08000000000000185
600996.XSHG,2020-08-10,-0.09999999999999964
601319.XSHG,2020-08-10,-0.1299999999999999
600857.XSHG,2020-08-10,0.22999999999999687
000032.XSHE,2020-08-10,1.6200000000000045
688116.XSHG,2020-08-10,-2.6099999999999994
600684.XSHG,2020-08-10,-1.2700000000000031
300046.XSHE,2020-08-10,0.8799999999999955
300211.XSHE,2020-08-10,-1.1700000000000017
002935.XSHE,2020-08-10,1.480000000000004
000785.XSHE,2020-08-10,1.940000000000012
000800.XSHE,2020-08-10,-0.970000000000006
600671.XSHG,2020-08-10,-1.9500000000000028
603909.XSHG,2020-08-10,0.8399999999999999
002779.XSHE,2020-08-10,-1.6000000000000014
600026.XSHG,2020-08-10,-0.46000000000000085
002750.XSHE,2020-08-10,-0.05999999999999517
601208.XSHG,2020-08-10,-0.2699999999999996
300660.XSHE,2020-08-10,-0.28999999999999915
688561.XSHG,2020-08-10,-1.4200000000000017
600094.XSHG,2020-08-10,-0.15000000000000213
002780.XSHE,2020-08-10,-1.7199999999999989
002445.XSHE,2020-08-10,-0.14000000000000057
600527.XSHG,2020-08-10,-5.449999999999989
002586.XSHE,2020-08-10,-0.1899999999999995
002716.XSHE,2020-08-10,0.11000000000000032
601908.XSHG,2020-08-10,0.5199999999999996
002599.XSHE,2020-08-10,-0.4599999999999991
000709.XSHE,2020-08-10,-0.21000000000000085
603876.XSHG,2020-08-10,0.08000000000000185
000860.XSHE,2020-08-10,-2.009999999999991
300217.XSHE,2020-08-10,-0.5200000000000031
600225.XSHG,2020-08-10,0.0
603833.XSHG,2020-08-10,-6.390000000000015
603867.XSHG,2020-08-10,0.3500000000000014
002139.XSHE,2020-08-10,-2.3500000000000085
000518.XSHE,2020-08-10,2.1000000000000014
002212.XSHE,2020-08-10,1.2099999999999937
000711.XSHE,2020-08-10,0.10000000000000142
600565.XSHG,2020-08-10,-0.7100000000000009
000735.XSHE,2020-08-10,-0.12000000000000455
002016.XSHE,2020-08-10,-0.8499999999999943
002161.XSHE,2020-08-10,-1.6099999999999994
300314.XSHE,2020-08-10,0.18999999999999773
603308.XSHG,2020-08-10,1.3699999999999974
