code,date,open_close_diff
000049.XSHE,2020-11-04,-2.3100000000000023
603636.XSHG,2020-11-04,0.8000000000000043
000538.XSHE,2020-11-04,20.350000000000136
300798.XSHE,2020-11-04,0.7899999999999991
002668.XSHE,2020-11-04,-0.05000000000000071
601326.XSHG,2020-11-04,0.010000000000000231
600980.XSHG,2020-11-04,-0.019999999999999574
300582.XSHE,2020-11-04,1.5399999999999991
603039.XSHG,2020-11-04,-0.8299999999999841
603298.XSHG,2020-11-04,-1.4600000000000009
002851.XSHE,2020-11-04,-0.6800000000000068
000421.XSHE,2020-11-04,0.9000000000000057
000523.XSHE,2020-11-04,0.6000000000000014
600238.XSHG,2020-11-04,0.2799999999999976
002840.XSHE,2020-11-04,0.4800000000000004
600869.XSHG,2020-11-04,0.75
002376.XSHE,2020-11-04,0.37000000000000455
300076.XSHE,2020-11-04,1.0
002820.XSHE,2020-11-04,0.23999999999999844
300290.XSHE,2020-11-04,0.6300000000000026
002912.XSHE,2020-11-04,13.599999999999994
600152.XSHG,2020-11-04,0.370000000000001
002553.XSHE,2020-11-04,-0.41000000000000014
300775.XSHE,2020-11-04,0.1699999999999946
300430.XSHE,2020-11-04,1.5500000000000043
002756.XSHE,2020-11-04,-0.5600000000000023
002699.XSHE,2020-11-04,-0.75
688122.XSHG,2020-11-04,-0.10999999999999943
002060.XSHE,2020-11-04,0.120000000000001
688298.XSHG,2020-11-04,5.079999999999984
603556.XSHG,2020-11-04,0.019999999999999574
000529.XSHE,2020-11-04,0.129999999999999
603158.XSHG,2020-11-04,1.0700000000000003
603055.XSHG,2020-11-04,0.2400000000000002
000584.XSHE,2020-11-04,0.19000000000000128
600027.XSHG,2020-11-04,0.0699999999999994
300501.XSHE,2020-11-04,1.2399999999999949
000811.XSHE,2020-11-04,-0.1700000000000017
600763.XSHG,2020-11-04,-21.25999999999999
601003.XSHG,2020-11-04,0.0
601066.XSHG,2020-11-04,-0.14000000000000057
300603.XSHE,2020-11-04,0.7999999999999972
002078.XSHE,2020-11-04,0.0799999999999983
300743.XSHE,2020-11-04,0.8700000000000045
300829.XSHE,2020-11-04,-0.6400000000000006
002648.XSHE,2020-11-04,-7.36999999999999
