code,date,open_close_diff
000049.XSHE,2020-12-29,10.360000000000014
603636.XSHG,2020-12-29,-1.4200000000000017
000538.XSHE,2020-12-29,37.690000000000055
300798.XSHE,2020-12-29,0.22999999999999865
002668.XSHE,2020-12-29,-0.5
601326.XSHG,2020-12-29,-0.08000000000000007
600980.XSHG,2020-12-29,0.0
300582.XSHE,2020-12-29,1.2300000000000004
603039.XSHG,2020-12-29,-14.659999999999968
603298.XSHG,2020-12-29,1.0499999999999972
002851.XSHE,2020-12-29,1.6899999999999977
000421.XSHE,2020-12-29,0.9099999999999966
000523.XSHE,2020-12-29,-0.1999999999999993
600238.XSHG,2020-12-29,0.5199999999999996
002840.XSHE,2020-12-29,0.28999999999999915
600869.XSHG,2020-12-29,-0.10999999999999943
002376.XSHE,2020-12-29,-0.45999999999999375
300076.XSHE,2020-12-29,-1.5800000000000054
002820.XSHE,2020-12-29,-0.03999999999999915
300290.XSHE,2020-12-29,-0.75
002912.XSHE,2020-12-29,-9.039999999999992
600152.XSHG,2020-12-29,0.22000000000000242
002553.XSHE,2020-12-29,3.3699999999999974
300775.XSHE,2020-12-29,-0.10000000000000142
300430.XSHE,2020-12-29,0.5800000000000054
002756.XSHE,2020-12-29,6.6299999999999955
002699.XSHE,2020-12-29,-4.060000000000002
003018.XSHE,2020-12-29,-0.05000000000000071
688122.XSHG,2020-12-29,0.21999999999999886
002060.XSHE,2020-12-29,0.3899999999999988
688298.XSHG,2020-12-29,8.199999999999989
603556.XSHG,2020-12-29,-0.5300000000000011
000529.XSHE,2020-12-29,0.16000000000000014
603158.XSHG,2020-12-29,1.2999999999999972
603055.XSHG,2020-12-29,-0.040000000000000924
000584.XSHE,2020-12-29,-0.05000000000000071
600027.XSHG,2020-12-29,0.20000000000000018
300501.XSHE,2020-12-29,0.9199999999999946
000811.XSHE,2020-12-29,7.7900000000000205
600763.XSHG,2020-12-29,-12.080000000000041
601003.XSHG,2020-12-29,0.3099999999999987
601066.XSHG,2020-12-29,-0.060000000000002274
300603.XSHE,2020-12-29,-0.9499999999999993
