code,date,volume_turnover_ratio
600418.XSHG,2021-09-14,2991360.9879119927
603398.XSHG,2021-09-14,944993.4587080948
300550.XSHE,2021-09-14,943667.0452701607
603178.XSHG,2021-09-14,1948462.5354394494
688505.XSHG,2021-09-14,2631295.546558704
001211.XSHE,2021-09-14,179999.0863871688
002408.XSHE,2021-09-14,3083456.958054576
300191.XSHE,2021-09-14,505987.00883300934
600989.XSHG,2021-09-14,18466196.919533614
002586.XSHE,2021-09-14,1443450.3553736808
688521.XSHG,2021-09-14,2045259.0966540277
600986.XSHG,2021-09-14,2275093.1503011626
002960.XSHE,2021-09-14,1218376.6474846855
002077.XSHE,2021-09-14,3705706.753835609
002959.XSHE,2021-09-14,572035.9934557353
600285.XSHG,2021-09-14,746372.7061256138
605258.XSHG,2021-09-14,216619.24905476734
600338.XSHG,2021-09-14,4821804.897712385
600640.XSHG,2021-09-14,800589.8979968048
600608.XSHG,2021-09-14,29845.853234910985
300800.XSHE,2021-09-14,478774.42848472594
002194.XSHE,2021-09-14,1725587.5118259224
603881.XSHG,2021-09-14,2328584.5133442124
002482.XSHE,2021-09-14,1803214.8787778148
002742.XSHE,2021-09-14,871715.4898438579
300229.XSHE,2021-09-14,1329727.3850377488
301047.XSHE,2021-09-14,169999.54588801597
601086.XSHG,2021-09-14,6020013.684570647
601988.XSHG,2021-09-14,1030712043.3436532
603060.XSHG,2021-09-14,2112844.5091817095
002724.XSHE,2021-09-14,1886443.3082706765
002839.XSHE,2021-09-14,13758624.793594416
688779.XSHG,2021-09-14,3475574.9656257113
002115.XSHE,2021-09-14,922919.3121136947
003006.XSHE,2021-09-14,423126.863607021
300830.XSHE,2021-09-14,1908364.1624431105
605005.XSHG,2021-09-14,397604.2387609776
002941.XSHE,2021-09-14,1901869.8052086444
603315.XSHG,2021-09-14,1064767.2033318828
300521.XSHE,2021-09-14,792541.826554106
000632.XSHE,2021-09-14,608699.8916576381
000019.XSHE,2021-09-14,728970.4003407154
002639.XSHE,2021-09-14,1806303.8732788537
601998.XSHG,2021-09-14,210037558.36575875
000985.XSHE,2021-09-14,775383.9064161645
600824.XSHG,2021-09-14,320368.2448589192
300903.XSHE,2021-09-14,430159.59705121774
300963.XSHE,2021-09-14,283196.0101426695
000922.XSHE,2021-09-14,2100212.488493403
600655.XSHG,2021-09-14,61952.890193611514
300561.XSHE,2021-09-14,290089.739925693
688767.XSHG,2021-09-14,222108.4736678796
688266.XSHG,2021-09-14,1342443.3754259371
600105.XSHG,2021-09-14,1189874.1596276504
000609.XSHE,2021-09-14,480883.63100365625
300706.XSHE,2021-09-14,436920.2083333334
600587.XSHG,2021-09-14,723012.26900168
002461.XSHE,2021-09-14,10414778.021978023
002467.XSHE,2021-09-14,1020486.9690684462
601727.XSHG,2021-09-14,110598298.65985961
000880.XSHE,2021-09-14,413737.96465569775
601799.XSHG,2021-09-14,2235915.2932837144
002080.XSHE,2021-09-14,3403345.2391323284
605300.XSHG,2021-09-14,400101.41487038264
603926.XSHG,2021-09-14,1086881.2603325879
688013.XSHG,2021-09-14,170763.42281879197
603050.XSHG,2021-09-14,1273436.0284865545
300806.XSHE,2021-09-14,647261.2352560593
600694.XSHG,2021-09-14,566973.2422101239
002980.XSHE,2021-09-14,318756.71865362587
300708.XSHE,2021-09-14,1871704.092184961
003029.XSHE,2021-09-14,447739.1224527263
300377.XSHE,2021-09-14,558500.1767046297
300922.XSHE,2021-09-14,277289.92952474375
600118.XSHG,2021-09-14,704013.0335614206
600877.XSHG,2021-09-14,1478640.8691664608
605100.XSHG,2021-09-14,385466.4328657315
002673.XSHE,2021-09-14,16208345.81133265
002950.XSHE,2021-09-14,1446954.8544535472
300045.XSHE,2021-09-14,530645.1384963256
300249.XSHE,2021-09-14,625508.1945973958
300308.XSHE,2021-09-14,1463800.9950248757
600273.XSHG,2021-09-14,8505358.064183263
600295.XSHG,2021-09-14,1934106.5485063195
600429.XSHG,2021-09-14,10351191.768007483
688561.XSHG,2021-09-14,4571535.234899329
605003.XSHG,2021-09-14,216374.20615534927
300774.XSHE,2021-09-14,383786.06844340713
300376.XSHE,2021-09-14,1000707.1339173968
002758.XSHE,2021-09-14,494218.94803548796
000506.XSHE,2021-09-14,3093245.8635921236
601375.XSHG,2021-09-14,33178269.133693162
002468.XSHE,2021-09-14,6642734.540108426
300425.XSHE,2021-09-14,803767.7992917955
688168.XSHG,2021-09-14,282100.67445303506
300185.XSHE,2021-09-14,3541005.4595870003
688100.XSHG,2021-09-14,1629080.624601657
688117.XSHG,2021-09-14,191658.17289543222
600790.XSHG,2021-09-14,1252663.129973475
688080.XSHG,2021-09-14,371334.52133452136
688091.XSHG,2021-09-14,241339.6010672087
000530.XSHE,2021-09-14,561813.7658488392
600845.XSHG,2021-09-14,1448172.879030414
603906.XSHG,2021-09-14,2311775.1160477456
300329.XSHE,2021-09-14,674416.1180188025
688660.XSHG,2021-09-14,3642175.499955161
002641.XSHE,2021-09-14,1823030.3351718287
600058.XSHG,2021-09-14,2242011.054879581
600583.XSHG,2021-09-14,2181486.992610588
002233.XSHE,2021-09-14,4130783.470020718
300870.XSHE,2021-09-14,388369.8321222751
002188.XSHE,2021-09-14,1216632.1133911572
300086.XSHE,2021-09-14,886956.4031210782
600315.XSHG,2021-09-14,1215116.9305724727
002280.XSHE,2021-09-14,1311032.869554651
002537.XSHE,2021-09-14,1703830.0939503904
688069.XSHG,2021-09-14,308294.2643391521
300325.XSHE,2021-09-14,971466.8682980478
300776.XSHE,2021-09-14,290070.6830857585
300471.XSHE,2021-09-14,657484.6277551793
000850.XSHE,2021-09-14,1049996.8458238707
688160.XSHG,2021-09-14,196633.0157827385
603161.XSHG,2021-09-14,1279589.0410958903
605259.XSHG,2021-09-14,219998.85167464116
601677.XSHG,2021-09-14,6147295.343397831
002793.XSHE,2021-09-14,1067237.2016760793
002511.XSHE,2021-09-14,1583702.3707065175
300881.XSHE,2021-09-14,248905.36577580645
002621.XSHE,2021-09-14,970478.8777813609
688728.XSHG,2021-09-14,1646845.852409405
000608.XSHE,2021-09-14,649245.2248921749
600184.XSHG,2021-09-14,1557161.2315171156
