code,volume_turnover_ratio
300569.XSHE,520341.7199852472
000755.XSHE,1715768.9784442363
300047.XSHE,954826.7423649178
601881.XSHG,62080723.81448671
002061.XSHE,3529863.5879691243
603259.XSHG,7140509.895227008
000848.XSHE,431093.012806111
300721.XSHE,414248.93617021275
600626.XSHG,713720.7673516801
002055.XSHE,718601.3563952288
300126.XSHE,544491.0729184047
600732.XSHG,918108.0178301984
600715.XSHG,3304566.666666667
002440.XSHE,1935401.3330107124
002550.XSHE,1000979.255430607
688020.XSHG,192000.4931740232
300385.XSHE,481908.3426481048
000680.XSHE,1989116.4084227253
601328.XSHG,213687692.80622166
000899.XSHE,2632722.9532163744
002632.XSHE,1018303.4657650042
601233.XSHG,6053802.090791923
002095.XSHE,570398.583977973
300140.XSHE,873516.772399409
300090.XSHE,1566512.7627627626
002472.XSHE,1088938.4687646783
300615.XSHE,365674.95698420145
600419.XSHG,847461.6658652562
300401.XSHE,904194.1666890063
603388.XSHG,427514.9136577708
300310.XSHE,881761.9726877976
300612.XSHE,268020.72829131654
300755.XSHE,657448.458105851
300108.XSHE,721982.3559937727
600100.XSHG,1398099.4133195798
002698.XSHE,3096955.045947512
300500.XSHE,585556.9712413541
002337.XSHE,1128286.3259298902
300368.XSHE,589132.1517412935
002378.XSHE,4414279.723583958
002150.XSHE,634587.0801982015
300437.XSHE,464334.0843461429
002576.XSHE,1217787.865590137
000099.XSHE,1600020.4151071792
603030.XSHG,1762289.3492018923
002052.XSHE,1092156.996296454
300160.XSHE,820254.8321924098
002301.XSHE,1341749.8753650025
002239.XSHE,3403728.1642574305
300541.XSHE,1188629.2327475352
603111.XSHG,3243989.6350586554
603286.XSHG,452346.1287008499
300314.XSHE,504259.3704737344
002265.XSHE,3043101.9934606054
600093.XSHG,1991240.37217327
002006.XSHE,588895.4536735086
603076.XSHG,264657.6975476839
600195.XSHG,1627990.5398793018
300457.XSHE,740008.0070799444
000567.XSHE,461618.4943268444
300577.XSHE,280764.7185448283
603101.XSHG,2369571.356137135
300610.XSHE,699870.7917593855
600061.XSHG,7084873.489694386
002043.XSHE,1051643.5528028365
000421.XSHE,574317.9377013964
002163.XSHE,1720440.1922895655
300654.XSHE,432838.9080822231
000798.XSHE,1386277.52534079
603987.XSHG,2018407.2524861249
002104.XSHE,898800.1400824331
600697.XSHG,508204.4260232403
300433.XSHE,7863358.600583091
000088.XSHE,2641276.773296245
601028.XSHG,3284783.4008097164
300188.XSHE,453370.42847337975
300531.XSHE,796518.949268097
600863.XSHG,3312063.65159129
601766.XSHG,200643763.02083334
603687.XSHG,499999.9536352298
600229.XSHG,4786120.836891546
002543.XSHE,1374811.6404225633
002089.XSHE,720145.6176526858
601229.XSHG,51232774.23469388
002860.XSHE,316447.6261115232
002901.XSHE,390191.4835909954
300248.XSHE,319732.18707988394
002185.XSHE,2633179.0646708566
002781.XSHE,2007434.1997711295
002321.XSHE,2576630.9916884894
002363.XSHE,1723939.4321236562
002569.XSHE,896596.9368696302
600936.XSHG,16366167.664670661
603195.XSHG,600002.5519827796
000416.XSHE,540931.8481490958
000570.XSHE,707550.0
000560.XSHE,3463940.465328467
600391.XSHG,1403265.4777927322
000423.XSHE,646605.3346505311
002861.XSHE,483642.75083930366
300593.XSHE,673243.7507621022
600180.XSHG,3623594.674556213
002756.XSHE,913202.0242111529
300661.XSHE,328781.48841226427
002331.XSHE,626907.0962453895
603133.XSHG,1116817.762237762
002511.XSHE,1573580.7267278514
300234.XSHE,509306.0643060643
300283.XSHE,366137.9240710824
600881.XSHG,618229.3621013133
603098.XSHG,3876760.396975425
300642.XSHE,351592.2299801069
600682.XSHG,821372.9781160799
300364.XSHE,1267641.161334175
002558.XSHE,4876174.142480211
688007.XSHG,607308.7435465613
600983.XSHG,2177750.870791176
002133.XSHE,2172668.4492925573
002038.XSHE,483601.2833853625
600713.XSHG,627912.3311932698
601012.XSHG,3896987.0213450603
601500.XSHG,7074587.78173191
300461.XSHE,342909.99661459593
002908.XSHE,773967.159854239
002930.XSHE,971481.4727289913
600212.XSHG,1880587.749199463
600575.XSHG,2207241.4789139223
600511.XSHG,507511.0121006531
300417.XSHE,196535.41343382842
000878.XSHE,5586713.432949318
600837.XSHG,3586171.2043168996
600110.XSHG,814486.834887548
603883.XSHG,2580400.08062078
000581.XSHE,1718779.0296619912
688021.XSHG,182003.33533712113
002932.XSHE,295563.0571331854
002033.XSHE,1027042.2801057001
600736.XSHG,424010.25216175633
000546.XSHE,3315011.424780718
300409.XSHE,568616.3103721298
601811.XSHG,7271723.750701852
002734.XSHE,860914.7026573351
600855.XSHG,2109310.9353750064
300775.XSHE,493997.51102682843
002751.XSHE,586663.5090504109
603331.XSHG,310103.10253499815
300142.XSHE,1013826.6786750726
601717.XSHG,6432122.897733208
688111.XSHG,666420.7373831398
002868.XSHE,370834.1881373318
601699.XSHG,5154305.752155449
002442.XSHE,1891406.300636204
300299.XSHE,765777.4882056032
600695.XSHG,1581640.5177708855
002833.XSHE,747739.4880521874
002062.XSHE,1009127.2047657984
600426.XSHG,1833282.876064333
000965.XSHE,3920720.5381000647
002087.XSHE,3506115.8949745903
002271.XSHE,447609.6886174405
002857.XSHE,305844.946971689
300131.XSHE,424561.5059186019
000815.XSHE,1949167.8227123464
600664.XSHG,2363658.612557291
002415.XSHE,3939282.601407978
300419.XSHE,316402.56543145893
300564.XSHE,250000.2145615792
600629.XSHG,884603.4639927073
603977.XSHG,2105413.0954463296
600328.XSHG,1457274.6237520487
000007.XSHE,256280.14391287437
601515.XSHG,4327159.976535657
688016.XSHG,147272.54946702742
002686.XSHE,728403.0654515327
300082.XSHE,924654.4414867397
603767.XSHG,651041.2259289395
002108.XSHE,856136.4357962535
300200.XSHE,901714.7401908801
600456.XSHG,1636353.962091802
600506.XSHG,1113919.6619071066
600621.XSHG,14371.452534670074
002855.XSHE,828245.7500867329
002217.XSHE,4741475.213762214
002549.XSHE,754883.6057454186
002458.XSHE,768127.8194121071
002181.XSHE,5237911.148513975
002049.XSHE,1376419.3123526964
300291.XSHE,869390.1462046865
300745.XSHE,639751.3442556736
603638.XSHG,1724018.161180477
600361.XSHG,1256632.9898295952
000695.XSHE,826076.0595248456
000966.XSHE,2938390.954201578
002972.XSHE,440801.1259999713
603363.XSHG,1834748.7889448188
603386.XSHG,558353.0706011778
300303.XSHE,749385.0515943106
300523.XSHE,812871.5898400752
000585.XSHE,4764829.351535836
300374.XSHE,780606.346888822
002196.XSHE,1465855.2001532274
000096.XSHE,1920630.0484652666
600221.XSHG,51142217.713726036
600705.XSHG,949315.130487253
600843.XSHG,1085681.4329302746
000611.XSHE,670053.8461538461
300762.XSHE,333601.2609614031
600686.XSHG,456442.05972880794
000667.XSHE,956606.1383598144
603983.XSHG,409997.0588235294
002761.XSHE,1191031.875411883
601890.XSHG,3435002.70520946
300406.XSHE,788077.6610785701
300148.XSHE,1326122.317793627
300373.XSHE,907624.775772924
688058.XSHG,90966.6153278813
603168.XSHG,670725.0755287008
000813.XSHE,5562244.2105263155
300797.XSHE,620497.1301752506
300597.XSHE,1768106.2637664394
600578.XSHG,12763217.580942797
002719.XSHE,1000464.7724647726
300307.XSHE,3598043.8497973536
000816.XSHE,1777937.457969065
600297.XSHG,12382461.280870657
603707.XSHG,2175119.6340605207
603996.XSHG,1956727.2537344615
002492.XSHE,1252337.599919053
300084.XSHE,734906.30783467
300033.XSHE,311667.1817338981
300278.XSHE,713577.221327495
601886.XSHG,5083739.528649615
000557.XSHE,1773947.8380233354
000997.XSHE,932224.8370745836
000078.XSHE,1279758.6052122198
688357.XSHG,131413.81002815737
300657.XSHE,643360.8012595049
000712.XSHE,604807.3942463992
000885.XSHE,2711628.463060686
000510.XSHE,483187.92991196533
300300.XSHE,1007460.533578657
603161.XSHG,671633.8377906781
002520.XSHE,626459.659384139
600251.XSHG,919054.8644052627
600526.XSHG,1403125.8420910807
600652.XSHG,7777.948049957858
000534.XSHE,1183200.8178100863
603115.XSHG,519999.36860714736
300555.XSHE,685134.0790345132
000036.XSHE,1810365.5066754215
002134.XSHE,1963663.6867570253
000868.XSHE,1375698.499348023
600976.XSHG,529324.4345569151
002310.XSHE,353851.9657324338
000959.XSHE,22398303.40557276
000733.XSHE,2338111.897631364
603606.XSHG,1619214.5899455673
601985.XSHG,145311570.6254392
002722.XSHE,1672686.6820631253
000927.XSHE,10038547.105561862
300230.XSHE,834801.4105100197
601139.XSHG,12627954.501263855
603313.XSHG,2454429.514000644
600117.XSHG,3786748.9981189175
002713.XSHE,1065119.9710754666
000014.XSHE,220807.16648979337
002353.XSHE,816545.0563787159
002913.XSHE,362425.0284076874
002138.XSHE,1065922.3817118555
000551.XSHE,517771.7641232445
600792.XSHG,1465724.9255213507
300712.XSHE,596638.6729491506
000670.XSHE,572406.5271720488
603998.XSHG,1086002.091581385
002329.XSHE,847093.830184278
600845.XSHG,1473913.83883655
603985.XSHG,497303.3026966973
600527.XSHG,602353.1528419476
002900.XSHE,745898.5575170547
000950.XSHE,3713018.1178808957
300427.XSHE,773888.1182049876
600503.XSHG,5321708.933246073
002658.XSHE,660096.4404325982
603266.XSHG,975903.191693905
000792.XSHE,3495358.2974137934
600011.XSHG,23637117.43772242
002906.XSHE,1994575.0548770193
600336.XSHG,2540556.1414542114
600998.XSHG,16100315.845824411
300284.XSHE,1812794.7299378314
600642.XSHG,3864290.5692438404
000656.XSHE,8022552.331986779
600265.XSHG,782206.6738428418
600549.XSHG,1071887.691435054
002400.XSHE,907486.6908006814
002277.XSHE,2208798.9736356405
600396.XSHG,2236367.583212735
002911.XSHE,2614243.277048155
600025.XSHG,84695181.58421504
300403.XSHE,736090.4326197034
600831.XSHG,1108276.0616744724
000408.XSHE,797807.4931465123
600172.XSHG,1271794.300979519
300189.XSHE,1468784.598859787
600301.XSHG,1332329.6907695886
002923.XSHE,320446.70516694075
300130.XSHE,500850.80105664005
603589.XSHG,5651511.733974625
002592.XSHE,953749.5307455515
002625.XSHE,1757086.2939187533
002067.XSHE,3564015.8946412355
600307.XSHG,14806844.21460892
603108.XSHG,1053762.5745156482
002946.XSHE,1235389.1559530464
002731.XSHE,1275280.3790412485
603022.XSHG,787231.0177705977
000935.XSHE,3103417.756366139
002931.XSHE,262632.8442855381
603158.XSHG,1037721.4947911688
603198.XSHG,6974025.436560008
002552.XSHE,638027.0100283029
002750.XSHE,645169.5016058047
002160.XSHE,3237313.7241010647
300659.XSHE,405741.5721487082
000633.XSHE,514709.91767934145
603800.XSHG,1984153.8912931858
300404.XSHE,424236.4071716405
600502.XSHG,733283.635998796
603320.XSHG,320801.3734193116
600436.XSHG,928068.9858490566
600155.XSHG,5984781.685975716
002443.XSHE,1443895.1337010404
600429.XSHG,10405274.011299435
002011.XSHE,1474485.7055651643
002929.XSHE,760495.8137100994
002430.XSHE,4382701.212789415
603659.XSHG,1908756.157635468
300633.XSHE,1955617.987377279
600766.XSHG,529889.9040415643
600220.XSHG,2100835.3958298014
600203.XSHG,2707758.8213895964
600986.XSHG,2207434.608485253
603699.XSHG,6611180.689172643
600735.XSHG,694453.4059385594
002124.XSHE,838949.5031777953
600098.XSHG,5041263.440860215
600719.XSHG,739740.530522414
688019.XSHG,122061.40027976145
002157.XSHE,1444694.5219004634
300376.XSHE,1005358.6780017194
000402.XSHE,881528.4904131785
600365.XSHG,1517434.952590662
300362.XSHE,1050603.359616044
002484.XSHE,1639923.1674396067
600624.XSHG,369278.23161941377
603906.XSHG,766577.9494137703
603717.XSHG,862759.6483109671
300177.XSHE,411147.1281176375
002165.XSHE,792899.9664442041
600596.XSHG,879150.6496034256
002338.XSHE,740864.9135086491
600295.XSHG,1989482.7880027266
002880.XSHE,342485.22425675223
000599.XSHE,1265865.3757491931
603527.XSHG,747594.9459360953
600811.XSHG,2376433.1568870367
002320.XSHE,1435951.0615569502
603893.XSHG,420000.2873590743
688278.XSHG,382049.06802157965
601628.XSHG,172571224.18879056
002504.XSHE,1221397.4468085107
600674.XSHG,2285548.4284797944
603000.XSHG,2656209.9857970066
603698.XSHG,4030279.386712095
300367.XSHE,472942.60036566836
600636.XSHG,338808.0168776371
600006.XSHG,5530454.205886748
600797.XSHG,817282.3559803668
300041.XSHE,541031.746031746
002014.XSHE,575943.1177891066
002774.XSHE,887171.3502835659
002169.XSHE,1000376.851878802
002284.XSHE,1057507.4699464943
600477.XSHG,710889.2608089261
300536.XSHE,688031.201399689
002922.XSHE,570318.5226636821
000651.XSHE,351761.70717249555
000668.XSHE,386426.36237602646
601860.XSHG,17103946.45727711
002527.XSHE,1637983.1216286756
002768.XSHE,579743.2538642914
000780.XSHE,1976967.8492239467
300399.XSHE,540080.5070229531
600862.XSHG,1841794.1271377865
300215.XSHE,348482.854747841
600531.XSHG,1057826.7051064335
600268.XSHG,888722.3582799106
603888.XSHG,1988964.339659815
600815.XSHG,2786547.5678002583
002318.XSHE,1512197.3727968074
603309.XSHG,972906.3607758792
300246.XSHE,287409.64751375734
600518.XSHG,975372.8489483747
600958.XSHG,52892859.64473355
603583.XSHG,714454.4661041606
000912.XSHE,6799972.219466217
600546.XSHG,2447405.382674516
600571.XSHG,409025.10669915157
000061.XSHE,775389.190964493
300094.XSHE,3559614.4460712546
000910.XSHE,2246740.7482923847
000972.XSHE,2360922.423774604
002120.XSHE,4465254.42078672
300100.XSHE,1133807.432584861
600585.XSHG,8707809.90957046
002631.XSHE,1550031.1668567087
603018.XSHG,991682.3577568562
002199.XSHE,923522.9522395446
002289.XSHE,1696809.3353791488
002700.XSHE,531378.8780946411
600062.XSHG,1355776.4633177363
002220.XSHE,796819.0315946905
603697.XSHG,786211.1994869648
300817.XSHE,210599.81931416268
603317.XSHG,410967.48878923774
002105.XSHE,2354588.6274509807
002615.XSHE,441676.95531517244
002231.XSHE,932916.7766869104
300486.XSHE,1603113.1966168464
002788.XSHE,1211270.801815431
600009.XSHG,3593744.9118046137
300452.XSHE,355512.3794310991
000779.XSHE,729397.3778783443
603116.XSHG,3839164.6087256703
000967.XSHE,3966464.395552401
