code,volume_turnover_ratio
600689.XSHG,605663.2064590543
300831.XSHE,1836137.7769502883
688281.XSHG,161941.97207678884
688359.XSHG,481097.17436250864
605378.XSHG,323598.88741281966
600865.XSHG,667662.270493923
300958.XSHE,759959.5574208318
601666.XSHG,7661252.110091743
002843.XSHE,1211005.431082737
001222.XSHE,340999.7020665746
600476.XSHG,784543.6151079137
688448.XSHG,162121.21212121213
688216.XSHG,417131.25481139333
300259.XSHE,536599.9731435478
301116.XSHE,447477.3836752808
000831.XSHE,2350527.1542973155
600008.XSHG,8283278.488726386
688087.XSHG,687424.3620099974
300534.XSHE,853866.2108090846
600720.XSHG,616085.1725209822
000707.XSHE,1446846.9355551347
300741.XSHE,4772441.333882256
000603.XSHE,1377890.1032179722
600691.XSHG,2516237.2881355933
300305.XSHE,584109.0548578983
000688.XSHE,2269132.8268273515
688557.XSHG,423591.7742878999
002441.XSHE,797551.0906213445
300184.XSHE,1214823.7263312063
600064.XSHG,650454.4798730342
002841.XSHE,2644891.3705583755
600462.XSHG,1238225.2346193953
300370.XSHE,575425.7033089603
600310.XSHG,1173720.0244386743
301229.XSHE,199406.83351256233
600551.XSHG,1250677.9661016949
300711.XSHE,1406451.8494172378
002890.XSHE,504430.2449414271
601858.XSHG,7098336.231884059
002695.XSHE,1095494.5383809665
603327.XSHG,3786908.0234833662
603600.XSHG,1002718.0620095986
301220.XSHE,191842.06748025847
003028.XSHE,275866.4835351172
300181.XSHE,672803.462884509
002467.XSHE,1179709.5360979417
600083.XSHG,2280090.8402725207
600737.XSHG,1706369.4721825963
300742.XSHE,624743.1848314666
603305.XSHG,4623608.642144127
000488.XSHE,1737760.4056623706
000632.XSHE,608653.5510740903
600339.XSHG,13311826.060513914
600118.XSHG,701892.7049385811
002968.XSHE,302442.25179746066
688667.XSHG,231041.62688562152
603185.XSHG,1478948.485671266
603899.XSHG,4254024.635495224
600331.XSHG,2263052.083333333
300297.XSHE,1390464.2510514397
000420.XSHE,3182509.9552015928
002159.XSHE,906871.5307964956
002724.XSHE,1879441.5645617342
300007.XSHE,672455.7165861514
300429.XSHE,619835.8585858586
600523.XSHG,1934056.6430653895
601633.XSHG,16135251.633986928
603711.XSHG,3894059.0405904055
688092.XSHG,256550.1337514989
002333.XSHE,1149911.1374407583
002940.XSHE,828630.9861215235
300384.XSHE,389248.06674806675
301002.XSHE,426366.1414964356
001308.XSHE,416321.72559781786
301156.XSHE,199997.64678197436
605069.XSHG,638539.5150426583
000159.XSHE,1489878.0313327136
300135.XSHE,573712.5138837467
600051.XSHG,638219.5661185574
605588.XSHG,230059.68273912361
