code,date,volume_turnover_ratio
600418.XSHG,2021-12-21,2991360.378634212
603398.XSHG,2021-12-21,1092455.5512742884
300550.XSHE,2021-12-21,943698.7155505675
603178.XSHG,2021-12-21,1948423.4941739417
688505.XSHG,2021-12-21,2631107.56259581
001211.XSHE,2021-12-21,176907.15249340388
002408.XSHE,2021-12-21,3137337.1289901068
300191.XSHE,2021-12-21,505991.68839634943
600989.XSHG,2021-12-21,18465907.86189684
002586.XSHE,2021-12-21,1443355.3582490191
688521.XSHG,2021-12-21,2045128.400067579
600986.XSHG,2021-12-21,2275113.5774400705
002960.XSHE,2021-12-21,1220596.1880559085
002077.XSHE,2021-12-21,3705689.137150353
002959.XSHE,2021-12-21,572036.0460109492
600285.XSHG,2021-12-21,746388.9382747975
605258.XSHG,2021-12-21,372084.57373244886
600338.XSHG,2021-12-21,4821844.154936956
600640.XSHG,2021-12-21,800599.8636673483
600608.XSHG,2021-12-21,29848.63329087881
300800.XSHE,2021-12-21,478776.0869565217
002194.XSHE,2021-12-21,1725694.643711143
603881.XSHG,2021-12-21,2328534.402701562
002482.XSHE,2021-12-21,1803217.7462987555
002742.XSHE,2021-12-21,871685.5631141346
300229.XSHE,2021-12-21,1338429.8440979957
301047.XSHE,2021-12-21,169995.55011680943
601086.XSHG,2021-12-21,5329899.649569927
601988.XSHG,2021-12-21,1030668216.0392798
603060.XSHG,2021-12-21,2112487.9871863322
002724.XSHE,2021-12-21,1886824.7499073732
002839.XSHE,2021-12-21,13757244.560883928
688779.XSHG,2021-12-21,3475597.130470685
002115.XSHE,2021-12-21,922920.0988467875
003006.XSHE,2021-12-21,2131373.7075332347
300830.XSHE,2021-12-21,1924250.9288747348
605005.XSHG,2021-12-21,397604.2807237082
002941.XSHE,2021-12-21,6300467.603434817
603315.XSHG,2021-12-21,1064645.238095238
300521.XSHE,2021-12-21,792536.974408157
000632.XSHE,2021-12-21,608736.8922783604
000019.XSHE,2021-12-21,728971.5240727647
002639.XSHE,2021-12-21,1806302.8579135148
601998.XSHG,2021-12-21,209808180.30050084
000985.XSHE,2021-12-21,775399.784602815
600824.XSHG,2021-12-21,320345.4916175804
300903.XSHE,2021-12-21,911136.2409851346
300963.XSHE,2021-12-21,298586.32279305847
000922.XSHE,2021-12-21,2100252.5109232254
301149.XSHE,2021-12-21,619345.4066255236
688110.XSHG,2021-12-21,847869.7813430744
600655.XSHG,2021-12-21,62100.94131784498
300561.XSHE,2021-12-21,290085.26821457164
688767.XSHG,2021-12-21,222107.98769760408
688266.XSHG,2021-12-21,1342232.1097515759
600105.XSHG,2021-12-21,1189888.039084538
000609.XSHE,2021-12-21,480871.33722155856
300706.XSHE,2021-12-21,436914.0147626729
301088.XSHE,2021-12-21,523965.9709170046
600587.XSHG,2021-12-21,723023.2558139535
002461.XSHE,2021-12-21,10415551.716194425
002467.XSHE,2021-12-21,1020897.8267603567
601727.XSHG,2021-12-21,110599203.36269015
000880.XSHE,2021-12-21,413738.2160986222
601799.XSHG,2021-12-21,2235836.40189374
002080.XSHE,2021-12-21,3403480.1149531845
605300.XSHG,2021-12-21,400102.4433698142
603926.XSHG,2021-12-21,1086996.2385814078
688013.XSHG,2021-12-21,370737.28952100704
603050.XSHG,2021-12-21,1273436.3831827294
300806.XSHE,2021-12-21,648306.7450321858
600694.XSHG,2021-12-21,566967.3809198854
002980.XSHE,2021-12-21,318762.25066297705
300708.XSHE,2021-12-21,2008944.2413162708
003029.XSHE,2021-12-21,447748.5158519641
300377.XSHE,2021-12-21,564099.5681268093
300922.XSHE,2021-12-21,277286.9059656218
600118.XSHG,2021-12-21,704029.810298103
600877.XSHG,2021-12-21,1478690.0512183765
605100.XSHG,2021-12-21,385426.8698983842
002673.XSHE,2021-12-21,16208046.838407496
605598.XSHG,2021-12-21,431935.2336223254
002950.XSHE,2021-12-21,1446987.0508845523
300045.XSHE,2021-12-21,530645.7979147099
300249.XSHE,2021-12-21,625516.9932027189
300308.XSHE,2021-12-21,1473762.4602332981
600273.XSHG,2021-12-21,8272664.320723891
600295.XSHG,2021-12-21,1934068.7055325476
600429.XSHG,2021-12-21,10352029.128124384
688561.XSHG,2021-12-21,4596504.190560211
605003.XSHG,2021-12-21,216372.2641874879
300774.XSHE,2021-12-21,383786.5228955227
300376.XSHE,2021-12-21,1000704.9618777693
002758.XSHE,2021-12-21,494205.4314269269
000506.XSHE,2021-12-21,3093242.9111101
601375.XSHG,2021-12-21,33038047.514826316
002468.XSHE,2021-12-21,6643161.737860533
300425.XSHE,2021-12-21,803756.0595874173
688168.XSHG,2021-12-21,282099.28129700816
300185.XSHE,2021-12-21,3541015.191114015
688100.XSHG,2021-12-21,1629113.4583055794
688117.XSHG,2021-12-21,200002.71886895053
600790.XSHG,2021-12-21,1252531.5754487037
688080.XSHG,2021-12-21,371329.2339896644
688091.XSHG,2021-12-21,241337.59902498478
000530.XSHE,2021-12-21,561808.2788671025
600845.XSHG,2021-12-21,1448150.261531146
603906.XSHG,2021-12-21,2311757.9479394867
300329.XSHE,2021-12-21,674411.5570794675
688660.XSHG,2021-12-21,3840018.3476755307
002641.XSHE,2021-12-21,1822787.9982479194
600058.XSHG,2021-12-21,2241841.3550226395
600583.XSHG,2021-12-21,2181331.9386331937
002233.XSHE,2021-12-21,4130857.755539671
300870.XSHE,2021-12-21,388375.70713310357
002188.XSHE,2021-12-21,1216552.6315789472
300086.XSHE,2021-12-21,886939.9428026691
600315.XSHG,2021-12-21,1215012.5593078425
002280.XSHE,2021-12-21,1311065.8331403874
002537.XSHE,2021-12-21,1703857.4957921985
688069.XSHG,2021-12-21,308282.7877083752
300325.XSHE,2021-12-21,971454.098834409
300776.XSHE,2021-12-21,292722.7458651965
300471.XSHE,2021-12-21,657488.3343477378
301072.XSHE,2021-12-21,249060.46776000134
000850.XSHE,2021-12-21,1050049.8389351487
688160.XSHG,2021-12-21,262829.8049366737
603161.XSHG,2021-12-21,1279599.8366252645
605259.XSHG,2021-12-21,220001.2541281719
601677.XSHG,2021-12-21,6154476.421636616
002793.XSHE,2021-12-21,1067304.6374583654
002511.XSHE,2021-12-21,1587471.3871509233
300881.XSHE,2021-12-21,248905.70990089068
002621.XSHE,2021-12-21,970432.2597470335
688728.XSHG,2021-12-21,1646859.8645701825
000608.XSHE,2021-12-21,649238.1565534632
600184.XSHG,2021-12-21,1557221.0670059898
002745.XSHE,2021-12-21,4547861.380190733
600207.XSHG,2021-12-21,5553237.238825708
600059.XSHG,2021-12-21,1096944.8667680244
300408.XSHE,2021-12-21,4110555.935292777
300748.XSHE,2021-12-21,4333929.048156895
300142.XSHE,2021-12-21,1072117.3132429922
300251.XSHE,2021-12-21,1078182.6704164993
003001.XSHE,2021-12-21,334004.0276465616
002150.XSHE,2021-12-21,605109.5583746014
002702.XSHE,2021-12-21,543734.7707949864
603358.XSHG,2021-12-21,1438407.0361030814
300129.XSHE,2021-12-21,940437.5
002138.XSHE,2021-12-21,1068086.5726284054
002168.XSHE,2021-12-21,528193.468118196
300931.XSHE,2021-12-21,600408.0597014925
603658.XSHG,2021-12-21,4254059.7954366645
002074.XSHE,2021-12-21,2611399.585921325
000567.XSHE,2021-12-21,1356080.6382675595
301012.XSHE,2021-12-21,199121.04326516323
600490.XSHG,2021-12-21,1412143.6578425455
300034.XSHE,2021-12-21,1202600.291757841
603318.XSHG,2021-12-21,1248456.3556776242
002768.XSHE,2021-12-21,571349.4448073155
000858.XSHE,2021-12-21,2118386.5629654145
600377.XSHG,2021-12-21,12393644.76386037
605177.XSHG,2021-12-21,556161.0439210694
002654.XSHE,2021-12-21,1229167.218177807
603236.XSHG,2021-12-21,629008.2377644968
600811.XSHG,2021-12-21,2376401.879615126
300853.XSHE,2021-12-21,510337.4290760154
300407.XSHE,2021-12-21,514643.2722643494
300015.XSHE,2021-12-21,1188032.153032153
300231.XSHE,2021-12-21,359853.59723531257
002928.XSHE,2021-12-21,4418109.0589270005
600767.XSHG,2021-12-21,903075.82464658
601169.XSHG,2021-12-21,54798352.74542429
300877.XSHE,2021-12-21,527479.8431510773
603858.XSHG,2021-12-21,5557567.290438349
000566.XSHE,2021-12-21,1166733.748018051
002750.XSHE,2021-12-21,646607.776463631
601228.XSHG,2021-12-21,59339424.232837714
002444.XSHE,2021-12-21,2455724.4785949504
600076.XSHG,2021-12-21,3166876.2026940347
603666.XSHG,2021-12-21,737300.7203356288
002822.XSHE,2021-12-21,3106153.3335264972
600983.XSHG,2021-12-21,3101875.4014129736
002044.XSHE,2021-12-21,3964802.8431206634
002241.XSHE,2021-12-21,1287946.0000834619
600580.XSHG,2021-12-21,1795152.089752706
