code,date,volume_turnover_ratio
002793.XSHE,2023-02-09,1660954.3619234064
002511.XSHE,2023-02-09,1585043.269870856
300881.XSHE,2023-02-09,262740.5608504399
002621.XSHE,2023-02-09,973531.4725953476
688728.XSHG,2023-02-09,7619660.937132093
000608.XSHE,2023-02-09,649229.7177775991
600184.XSHG,2023-02-09,1551425.0411861613
002745.XSHE,2023-02-09,4475105.821050002
600207.XSHG,2023-02-09,5553020.316498668
600059.XSHG,2023-02-09,1088663.6130944362
300408.XSHE,2023-02-09,4296902.761104442
300748.XSHE,2023-02-09,4322057.858022159
300142.XSHE,2023-02-09,1084090.5874026893
300251.XSHE,2023-02-09,1051686.9348300593
003001.XSHE,2023-02-09,373088.13324080495
002150.XSHE,2023-02-09,590743.3935112507
002702.XSHE,2023-02-09,543715.9422640285
603358.XSHG,2023-02-09,1412710.6114276913
300129.XSHE,2023-02-09,937461.36624256
002138.XSHE,2023-02-09,1075765.644309628
002168.XSHE,2023-02-09,529010.9422233576
300931.XSHE,2023-02-09,1030619.6886515755
603658.XSHG,2023-02-09,4187949.2048421553
002074.XSHE,2023-02-09,2738339.0979993218
000567.XSHE,2023-02-09,1324498.8479262672
301012.XSHE,2023-02-09,419097.4738933183
600490.XSHG,2023-02-09,1412147.793726741
300034.XSHE,2023-02-09,1207836.5496396187
603318.XSHG,2023-02-09,1245310.87957354
002768.XSHE,2023-02-09,565399.0065157086
603122.XSHG,2023-02-09,981078.0549191701
000858.XSHE,2023-02-09,2086308.0335921408
600377.XSHG,2023-02-09,11674219.047619049
605177.XSHG,2023-02-09,551069.2189892802
002654.XSHE,2023-02-09,1229095.3380497033
603236.XSHG,2023-02-09,923776.9247174237
600811.XSHG,2023-02-09,2341015.98934044
300853.XSHE,2023-02-09,504553.4687619778
300407.XSHE,2023-02-09,518265.20569516433
300015.XSHE,2023-02-09,1186832.397754611
300231.XSHE,2023-02-09,328289.99064546305
002928.XSHE,2023-02-09,4417404.528556945
600767.XSHG,2023-02-09,903075.01549907
601169.XSHG,2023-02-09,51090894.30894309
300877.XSHE,2023-02-09,552433.5985655049
603858.XSHG,2023-02-09,5283528.54620365
000566.XSHE,2023-02-09,1166926.0657193605
002750.XSHE,2023-02-09,646613.2063651171
301318.XSHE,2023-02-09,162928.30408788216
601228.XSHG,2023-02-09,58359352.41990457
002444.XSHE,2023-02-09,2622590.711175617
600076.XSHG,2023-02-09,3167054.337464252
301368.XSHE,2023-02-09,268915.8398229039
603666.XSHG,2023-02-09,736829.4541424217
002822.XSHE,2023-02-09,3131669.566730468
600983.XSHG,2023-02-09,3101892.957746479
688381.XSHG,2023-02-09,569368.9551620586
002044.XSHE,2023-02-09,3998803.726445056
001256.XSHE,2023-02-09,356536.1692043367
002241.XSHE,2023-02-09,1294171.2295408593
600580.XSHG,2023-02-09,1780559.4855305466
300345.XSHE,2023-02-09,1024802.5843503231
002896.XSHE,2023-02-09,853446.0743492836
300898.XSHE,2023-02-09,508404.231101938
301099.XSHE,2023-02-09,280108.4136756108
603583.XSHG,2023-02-09,1288896.5881731163
002081.XSHE,2023-02-09,876630.0675675676
600879.XSHG,2023-02-09,744659.4851195911
600649.XSHG,2023-02-09,1111580.8219178081
001222.XSHE,2023-02-09,341003.01834223355
600666.XSHG,2023-02-09,691130.4029304029
002478.XSHE,2023-02-09,2376331.828442438
002570.XSHE,2023-02-09,4184471.8452501516
601669.XSHG,2023-02-09,88381977.40112995
300825.XSHE,2023-02-09,2730666.6666666665
605033.XSHG,2023-02-09,335581.4084825211
300991.XSHE,2023-02-09,401765.1700465557
301311.XSHE,2023-02-09,569084.5895772758
600108.XSHG,2023-02-09,2000154.365653642
600111.XSHG,2023-02-09,1813719.7124345433
002452.XSHE,2023-02-09,897030.2877175251
301155.XSHE,2023-02-09,876456.5050694386
002099.XSHE,2023-02-09,2225320.996116061
300465.XSHE,2023-02-09,1383183.7853433352
600626.XSHG,2023-02-09,748056.8627450981
600738.XSHG,2023-02-09,1007783.2512315272
603936.XSHG,2023-02-09,2553719.486794968
601611.XSHG,2023-02-09,25141537.76435045
300455.XSHE,2023-02-09,1889537.638082223
600883.XSHG,2023-02-09,495585.2317360566
688153.XSHG,2023-02-09,321544.3715201095
002876.XSHE,2023-02-09,803821.3877784123
300913.XSHE,2023-02-09,303050.5987320967
301016.XSHE,2023-02-09,297501.0789069378
688396.XSHG,2023-02-09,4390475.733175741
300130.XSHE,2023-02-09,523351.42820214556
600136.XSHG,2023-02-09,1950861.6332051829
600439.XSHG,2023-02-09,715308.5893060295
000035.XSHE,2023-02-09,5223332.298779226
300122.XSHE,2023-02-09,2176052.9388867263
688252.XSHG,2023-02-09,342667.69969009294
603557.XSHG,2023-02-09,4666855.707106963
600497.XSHG,2023-02-09,2288431.3725490193
600458.XSHG,2023-02-09,974751.0532363079
300660.XSHE,2023-02-09,937395.4722388984
300832.XSHE,2023-02-09,1447893.4233705224
600022.XSHG,2023-02-09,18140802.269043762
688737.XSHG,2023-02-09,448026.1179603935
000900.XSHE,2023-02-09,1082793.1274669142
603686.XSHG,2023-02-09,1348464.9223976012
601968.XSHG,2023-02-09,8654075.093867334
002575.XSHE,2023-02-09,1312689.1785495582
300337.XSHE,2023-02-09,1589954.6960753857
300735.XSHE,2023-02-09,3835418.921966621
002020.XSHE,2023-02-09,544628.8638115932
600229.XSHG,2023-02-09,4242671.738128169
600976.XSHG,2023-02-09,506143.7258153676
600255.XSHG,2023-02-09,1315199.65061143
301098.XSHE,2023-02-09,709190.1722090262
002965.XSHE,2023-02-09,1125354.645766732
300490.XSHE,2023-02-09,1582595.7631819614
000932.XSHE,2023-02-09,24503474.11876786
688233.XSHG,2023-02-09,822837.7130593196
002574.XSHE,2023-02-09,2257000.324792177
000761.XSHE,2023-02-09,15447748.294162245
002261.XSHE,2023-02-09,1100201.0557366868
002514.XSHE,2023-02-09,830761.2222126856
003018.XSHE,2023-02-09,726205.5600746447
000719.XSHE,2023-02-09,1639699.2829053898
600753.XSHG,2023-02-09,569667.172593235
600000.XSHG,2023-02-09,19750889.48787062
000885.XSHE,2023-02-09,3080806.1480552074
000799.XSHE,2023-02-09,1539560.1599418393
002192.XSHE,2023-02-09,849853.7609023543
603002.XSHG,2023-02-09,3498145.079921406
603016.XSHG,2023-02-09,1330415.7889916657
688041.XSHG,2023-02-09,1996058.5145702837
603118.XSHG,2023-02-09,3150231.04
002820.XSHE,2023-02-09,1147729.093486165
688105.XSHG,2023-02-09,1660338.1952235934
002266.XSHE,2023-02-09,2837788.383428107
600650.XSHG,2023-02-09,880221.6348108987
002306.XSHE,2023-02-09,1941023.216656413
000909.XSHE,2023-02-09,1814636.9353916522
600897.XSHG,2023-02-09,571717.1481826653
300454.XSHE,2023-02-09,2708270.457957958
000551.XSHE,2023-02-09,511682.0848375452
603099.XSHG,2023-02-09,2599263.1492574057
603357.XSHG,2023-02-09,2872901.593252109
002774.XSHE,2023-02-09,2531406.243673321
600449.XSHG,2023-02-09,1131861.2542415485
000536.XSHE,2023-02-09,5780127.695800227
603171.XSHG,2023-02-09,895344.827586207
002133.XSHE,2023-02-09,2461227.3256781497
601001.XSHG,2023-02-09,7579231.08162989
002920.XSHE,2023-02-09,5354976.2860269975
688799.XSHG,2023-02-09,540929.5048242691
301236.XSHE,2023-02-09,540234.1412478163
301239.XSHE,2023-02-09,374049.53659316077
000615.XSHE,2023-02-09,804496.644295302
002377.XSHE,2023-02-09,2110476.088355136
300626.XSHE,2023-02-09,975199.0761108667
