code,volume_turnover_ratio
600689.XSHG,605655.6011990674
300831.XSHE,798828.3090597559
600865.XSHG,679357.5384615385
601666.XSHG,8549991.764802767
002843.XSHE,1244679.7839506173
600476.XSHG,784558.1829495955
300259.XSHE,573630.1030927836
000831.XSHE,2361855.516544313
300216.XSHE,542432.4324324324
600008.XSHG,7254133.476856835
300534.XSHE,853317.6522474182
600720.XSHG,672310.6789672795
000707.XSHE,1446891.8509542563
300741.XSHE,989662.228506343
000603.XSHE,1354498.6127625841
600691.XSHG,1860305.3793751467
300305.XSHE,603854.8415648787
000688.XSHE,2271523.695260948
002441.XSHE,843389.890807586
300184.XSHE,1145343.9878555315
600064.XSHG,726557.6971407583
002841.XSHE,2424417.4868390937
600462.XSHG,1182754.647055417
300370.XSHE,427321.36069054395
600310.XSHG,979333.4333058408
600551.XSHG,1377328.5643808586
300711.XSHE,450278.22895987483
002890.XSHE,614597.917450759
601858.XSHG,7540359.995414072
002695.XSHE,1101919.0890020977
603327.XSHG,1014904.4786288949
603600.XSHG,1051472.6829501458
300181.XSHE,638202.1569999588
002467.XSHE,1047468.2435392028
600083.XSHG,2279915.7007376184
600737.XSHG,1722213.1879914226
300742.XSHE,431101.98172631656
603305.XSHG,4091123.90683176
000488.XSHE,1740968.1258642967
000632.XSHE,608763.2884479093
600339.XSHG,13654005.572636435
600118.XSHG,706619.0041577934
002968.XSHE,177869.90950226245
603185.XSHG,316073.8999374372
603899.XSHG,4315068.203650337
600331.XSHG,2263025.193010971
300297.XSHE,1111310.4378756287
000420.XSHE,2717275.8054586495
002159.XSHE,903158.0764914098
002724.XSHE,1748517.9887998067
300007.XSHE,584331.3450599943
300429.XSHE,525889.7397385073
600523.XSHG,1972909.7376611826
601633.XSHG,16128303.534303535
603711.XSHG,478181.36991213914
002333.XSHE,1304300.7701661938
002940.XSHE,417753.2767424464
300384.XSHE,398253.00823973195
603021.XSHG,1200473.372781065
000159.XSHE,1494593.6747738025
300135.XSHE,747804.5815026666
600051.XSHG,666792.0303431888
300507.XSHE,407711.23764644284
000301.XSHE,5399349.859154929
002540.XSHE,1124768.4568723184
601727.XSHG,96755960.98265895
000012.XSHE,607064.3788241554
603636.XSHG,1244921.5810817413
002237.XSHE,1102423.620133272
002122.XSHE,1400858.8957055213
000993.XSHE,2048317.6356674442
300809.XSHE,388805.8285327008
688028.XSHG,369232.579828574
002635.XSHE,765000.0
688312.XSHG,310401.38087386644
300770.XSHE,782998.0667746486
002665.XSHE,1657712.293665455
601698.XSHG,4074299.5835632933
002542.XSHE,717883.8658093747
603329.XSHG,631655.3718557319
600151.XSHG,3011673.8252806608
300644.XSHE,395292.63002823584
