code,volume_turnover_ratio
600689.XSHG,605666.0759688728
300831.XSHE,1839755.568883698
688359.XSHG,208967.104588494
605378.XSHG,329212.25090276846
600865.XSHG,679311.0005851375
300958.XSHE,302773.3309877738
601666.XSHG,8157563.0180658875
002843.XSHE,1231186.1514080213
600476.XSHG,784596.387386468
688216.XSHG,216314.81038560683
300259.XSHE,561767.5012774655
000831.XSHE,2350521.50616559
600008.XSHG,8568332.302767977
688087.XSHG,270700.2622613299
300534.XSHE,853324.6455379482
600720.XSHG,638941.1390896816
000707.XSHE,1446830.0148273672
300741.XSHE,953480.8570425009
000603.XSHE,1393696.6759478876
600691.XSHG,1860228.3817093414
300305.XSHE,594414.5001381258
000688.XSHE,2268767.977599593
688557.XSHG,172616.25441696114
002441.XSHE,827880.8437856329
300184.XSHE,1155960.6551068998
600064.XSHG,690719.4244604316
002841.XSHE,2719382.829208677
600462.XSHG,1182768.6522857707
300370.XSHE,575872.1827724606
600310.XSHG,963771.2895377128
600551.XSHG,1348854.5246277205
300711.XSHE,1417249.581239531
002890.XSHE,469944.494281229
601858.XSHG,7334470.0
002695.XSHE,1102930.4148970924
603327.XSHG,991757.2225869994
603600.XSHG,1029248.0201317446
003028.XSHE,272467.9533136417
300181.XSHE,670378.0718336484
002467.XSHE,1024177.2151898735
600083.XSHG,2279482.071713147
600737.XSHG,1708681.4770339236
300742.XSHE,431099.2929231885
603305.XSHG,4361690.870554988
000488.XSHE,1701276.628863687
000632.XSHE,608652.1207177814
600339.XSHG,13402804.917502427
600118.XSHG,704034.1995725053
002968.XSHE,305220.60916595504
688667.XSHG,118441.86101518519
603185.XSHG,552137.5960294622
603899.XSHG,4300609.222484012
600331.XSHG,2263049.561137368
300297.XSHE,1140394.3864155791
000420.XSHE,3182434.5770724295
002159.XSHE,906946.3454694771
002724.XSHE,1886478.7234042555
300007.XSHE,589527.857901928
300429.XSHE,606709.6709870389
600523.XSHG,1945044.0146501318
601633.XSHG,16105537.5
603711.XSHG,3909372.483221477
688092.XSHG,119356.79078619882
002333.XSHE,1149863.481228669
002940.XSHE,471959.83762839047
300384.XSHE,391111.8051217989
301002.XSHE,220985.3594852507
603021.XSHG,1200550.9830818472
000159.XSHE,1489919.047321373
300135.XSHE,744925.1853813559
600051.XSHG,647959.7183559849
605588.XSHG,182712.94928606597
688269.XSHG,212539.34309371057
300507.XSHE,412222.6855713094
000301.XSHE,7627338.951015907
002540.XSHE,1075334.8847356555
601727.XSHG,110589860.14334065
688777.XSHG,409321.02883403754
000012.XSHE,601198.751541307
300968.XSHE,873551.9418972468
688681.XSHG,213913.48914650097
603636.XSHG,1228809.2794087457
002237.XSHE,1096406.2328300478
002122.XSHE,1400793.7223098294
000993.XSHE,2414879.5854922277
300809.XSHE,446334.0793968665
688028.XSHG,374144.6064897522
300978.XSHE,389214.287875121
002635.XSHE,724632.9978221202
688312.XSHG,651810.5192178017
300770.XSHE,771526.7602483083
002665.XSHE,1692472.6867804017
601698.XSHG,4066844.2030790695
002542.XSHE,767859.9618077658
603329.XSHG,1274043.020193152
600151.XSHG,3011622.7035919935
300644.XSHE,544480.093676815
300567.XSHE,553086.1179027437
002514.XSHE,608098.5249621784
600641.XSHG,367700.83761660004
300877.XSHE,294959.15830595756
300525.XSHE,605607.7177053241
300752.XSHE,228702.01349706826
300205.XSHE,749859.4957127091
300572.XSHE,478530.04138718423
688682.XSHG,74804.3886960241
600354.XSHG,1769375.8616367967
688636.XSHG,101596.7494894486
603387.XSHG,1274292.595896521
000609.XSHE,480746.4652333915
002024.XSHE,862424.4897959183
601966.XSHG,12602947.08142273
002616.XSHE,1014225.0852595681
002826.XSHE,1311041.81184669
002992.XSHE,560213.6779892186
300414.XSHE,795331.046047686
300535.XSHE,501934.8092921762
601518.XSHG,11761413.793103458
000888.XSHE,834353.0335754958
300134.XSHE,1642664.6048669326
600444.XSHG,705567.0873200038
002252.XSHE,2051026.5377494344
000716.XSHE,1756125.5484306447
600111.XSHG,1845387.192246398
002790.XSHE,880522.6807639836
002384.XSHE,1890794.197196951
605369.XSHG,195630.3301528329
603982.XSHG,807543.6000679167
002607.XSHE,1938757.2390716828
600082.XSHG,1054342.4007986025
688456.XSHG,271534.4647885133
600393.XSHG,1090271.4589737526
688586.XSHG,1716981.427121341
000818.XSHE,3261321.998088435
300715.XSHE,736714.8047229791
600823.XSHG,676168.9587426326
601900.XSHG,7841328.871892925
002715.XSHE,862742.301458671
300243.XSHE,422345.9963459964
603986.XSHG,1106078.0149770873
601618.XSHG,150099539.6941005
300221.XSHE,1040714.0683639314
600200.XSHG,642504.9068783531
300474.XSHE,786953.547133139
002366.XSHE,2591729.195651661
300647.XSHE,1256329.5267175573
601611.XSHG,25274609.02011681
603788.XSHG,1300826.8229166667
603003.XSHG,3976273.3612273363
002747.XSHE,1201545.4898911354
600190.XSHG,6568675.645342312
603032.XSHG,1322468.8471699436
601918.XSHG,16858511.595127027
300324.XSHE,500249.53583364276
603803.XSHG,3970574.533151149
600259.XSHG,2871563.9250126667
603013.XSHG,4591616.718027735
603069.XSHG,3093492.6126126125
600225.XSHG,4339311.1006732425
601279.XSHG,1494259.2909294218
688513.XSHG,267965.2023692004
600613.XSHG,172465.9377628259
688315.XSHG,333456.52436812187
002957.XSHE,1513749.3846379009
603912.XSHG,1471112.5945705385
600917.XSHG,14286880.724174654
002694.XSHE,1290400.2423671188
300979.XSHE,769842.6602689282
600975.XSHG,889254.8144013396
002782.XSHE,1776446.0252391286
688168.XSHG,281891.40303589165
300883.XSHE,864219.959461832
300488.XSHE,510369.47742752096
601838.XSHG,31104885.954381753
300985.XSHE,316121.35524661443
002154.XSHE,938291.4332740449
300545.XSHE,388839.97901364113
300806.XSHE,647251.1499540018
605090.XSHG,829701.1214664399
605300.XSHG,400097.82307649695
600219.XSHG,16607414.215315778
000812.XSHE,1095032.2355811116
000608.XSHE,649225.5892255892
002047.XSHE,4102502.4686133447
300935.XSHE,139771.57256412358
600178.XSHG,2180696.667718808
688078.XSHG,335999.367744192
002316.XSHE,880529.1871249317
603053.XSHG,5389823.158914729
688768.XSHG,111711.85152340533
603579.XSHG,638745.8423009196
600071.XSHG,412189.03394255874
300909.XSHE,252268.77239160633
000552.XSHE,3219754.3209059
600777.XSHG,2042367.9232350925
603089.XSHG,1047433.5931286782
688180.XSHG,4276983.944954128
603879.XSHG,1418011.5975645115
600616.XSHG,17663.06445387881
688188.XSHG,266416.33728590247
301035.XSHE,654906.4104048474
300103.XSHE,477979.05759162304
300513.XSHE,802740.0230982989
600856.XSHG,2285514.5840238645
002323.XSHE,749251.7605633802
000759.XSHE,932054.0935672515
300439.XSHE,767167.8688983823
002193.XSHE,1258897.7832512315
002186.XSHE,1294325.3610108304
002699.XSHE,1096998.826137994
000985.XSHE,775438.0871050385
002250.XSHE,1520056.7375886526
300428.XSHE,558509.6770159147
600085.XSHG,1187775.274943686
300077.XSHE,1057317.6758631633
000155.XSHE,8078855.032757594
002073.XSHE,1012601.7707869614
603042.XSHG,1340865.6047087403
000810.XSHE,1899888.101454681
300109.XSHE,695104.4397229657
000666.XSHE,1526667.1182766564
002344.XSHE,2899629.8525428833
300908.XSHE,248072.96198446472
300933.XSHE,914406.5525137921
002897.XSHE,960451.8741021287
600143.XSHG,1285517.8911269808
601566.XSHG,3507375.1522533493
300464.XSHE,1140608.5653768664
688033.XSHG,3036292.6847776594
600864.XSHG,1975886.0989810773
300710.XSHE,678908.0286088446
002278.XSHE,1535366.0292823426
000526.XSHE,389302.5963441611
002168.XSHE,528221.984678425
603106.XSHG,2763548.573631457
300569.XSHE,589059.5416285986
603565.XSHG,650002.9710890184
688056.XSHG,160729.6517479702
000755.XSHE,1715711.6104868914
300047.XSHE,1016909.8756977733
601881.XSHG,60097038.85480573
002061.XSHE,6021077.321029083
688185.XSHG,668162.028427205
603259.XSHG,10704276.874845311
000848.XSHE,407700.56701652793
300721.XSHE,830521.4710416207
300964.XSHE,193245.59767565128
600626.XSHG,711167.3511293635
688106.XSHG,2508879.4011187893
002055.XSHE,714755.8887773777
300126.XSHE,543689.3982808023
600732.XSHG,1334338.6556278337
605088.XSHG,389338.7720051524
600715.XSHG,4773232.014663205
002440.XSHE,1836501.9363042598
002550.XSHE,944027.6862228082
688020.XSHG,370500.7298343593
300385.XSHE,613133.9774723571
000680.XSHE,1989153.3075363922
601328.XSHG,188058765.79203108
605198.XSHG,199581.3204508857
000899.XSHE,2523894.171145101
002632.XSHE,1015313.2691653493
601233.XSHG,7335972.44732577
002095.XSHE,567014.9513212795
300140.XSHE,921716.491350843
300939.XSHE,198164.97399058708
688678.XSHG,363103.21195230045
002472.XSHE,1272314.691677749
300615.XSHE,427524.6080292484
600419.XSHG,828251.9280205655
300401.XSHE,1029098.8712295671
603388.XSHG,987822.7754040498
300310.XSHE,896975.9443851841
300612.XSHE,702315.1587777112
300755.XSHE,654243.2818190766
300108.XSHE,717834.2677771124
600100.XSHG,1390791.112196313
002698.XSHE,2882287.687931735
300500.XSHE,578030.0463855736
002337.XSHE,1121264.9164677805
300368.XSHE,632925.4356312564
300923.XSHE,195347.4025974026
002378.XSHE,4374947.571877265
002150.XSHE,605117.4603174604
300437.XSHE,479746.0416450127
002576.XSHE,1202070.2198323582
