code,volume_turnover_ratio
600689.XSHG,606372.2451790634
600865.XSHG,691447.4467325319
600677.XSHG,663275.1060051462
601666.XSHG,9206025.154247746
002843.XSHE,1291433.0138985848
600476.XSHG,784547.5088776498
300259.XSHE,515361.0030263727
000831.XSHE,2361843.4502280233
600008.XSHG,7434707.588206863
300534.XSHE,851932.4818205794
600720.XSHG,696072.3733786535
000707.XSHE,1446789.5665816825
300741.XSHE,1054419.556840077
000603.XSHE,1365757.6375853533
600691.XSHG,1860162.0819541148
300305.XSHE,609477.0318021202
000688.XSHE,2271735.3654312436
002441.XSHE,864841.6911259602
300184.XSHE,1145335.7073228958
600064.XSHG,755643.6420722136
002841.XSHE,2242383.7422189675
600462.XSHG,1182791.6367552045
300370.XSHE,441643.1873512597
600310.XSHG,994587.178241865
600551.XSHG,1377487.1501998857
300711.XSHE,449818.64477239654
002890.XSHE,427001.4457831325
601858.XSHG,7689551.886792453
002695.XSHE,1098004.7090480996
603327.XSHG,509994.34539648745
603600.XSHG,1071795.31264139
300181.XSHE,640385.0031653732
002467.XSHE,1043189.1157831204
600083.XSHG,2279943.3314109473
600737.XSHG,1747988.8808315205
300742.XSHE,429610.3041528563
603305.XSHG,763253.1686973588
000488.XSHE,1790500.5925842316
000632.XSHE,608729.1666666666
600339.XSHG,13873262.079062957
600118.XSHG,708532.7554085396
002968.XSHE,179107.43015942664
603185.XSHG,318499.21573614824
603899.XSHG,4349052.194634484
600331.XSHG,2262779.0432801824
300297.XSHE,1111306.5564887566
000420.XSHE,2892314.5081893853
002159.XSHE,910288.5620126999
002724.XSHE,1772338.6133471825
300007.XSHE,576012.0677938178
300429.XSHE,500964.96866463125
600523.XSHG,1995085.082598435
601633.XSHG,16651747.014595313
603711.XSHG,482023.609198919
002333.XSHE,1304190.0647948163
002940.XSHE,415229.8850574712
300384.XSHE,316739.0483383686
603021.XSHG,1200536.7585630743
000159.XSHE,1499951.707975286
300135.XSHE,751003.4476501542
600051.XSHG,682583.30483681
300507.XSHE,391009.0122729949
000301.XSHE,5510671.345338983
002540.XSHE,1145712.9819758155
601727.XSHG,96753843.45794393
000012.XSHE,615812.580704667
603636.XSHG,1261835.2059925094
002237.XSHE,1033585.1806182216
002122.XSHE,1401009.0433127081
000993.XSHE,2048229.6570275724
300809.XSHE,392296.8144834419
688028.XSHG,189997.93449395103
002635.XSHE,764995.8745874587
300770.XSHE,321001.03818202787
002665.XSHE,1637445.7339872774
601698.XSHG,4000020.0119845783
002542.XSHE,721842.1701602959
603329.XSHG,631652.8179190751
600151.XSHG,3011781.3905223105
300644.XSHE,407738.22368712776
300567.XSHE,547956.6133108677
002514.XSHE,608108.268887567
600641.XSHG,369580.3751192116
300525.XSHE,507988.8796876848
300752.XSHE,202662.76676416423
300205.XSHE,756443.3068459658
300572.XSHE,658429.5916244887
603387.XSHG,651564.7913383129
000609.XSHE,480705.32237126783
002024.XSHE,888525.5524861878
601966.XSHG,11395316.35727476
002616.XSHE,1042877.5603095129
002826.XSHE,1325045.9726683039
300414.XSHE,779916.5695356113
300535.XSHE,485631.44879338273
601518.XSHG,10564312.075983718
000888.XSHE,848730.1875378101
300134.XSHE,1642689.3130296974
600444.XSHG,725628.7665729208
002252.XSHE,2058251.4349713004
000716.XSHE,1685615.7485121319
600111.XSHG,1851892.0443859322
002790.XSHE,924738.0508109661
002384.XSHE,1673898.5244628526
603982.XSHG,499999.56998921663
002607.XSHE,1001001.4357501795
600082.XSHG,1057989.5626242545
600393.XSHG,1090265.9281954593
000818.XSHE,3280468.081650333
300715.XSHE,387122.0590792775
600823.XSHG,745648.1069042316
601900.XSHG,8334329.123914759
002715.XSHE,866025.8922548107
300243.XSHE,426914.69519976445
603986.XSHG,1002349.4963691732
601618.XSHG,157381630.1703163
300221.XSHE,1002324.2148595711
600200.XSHG,641053.2978858083
300474.XSHE,709701.4765675155
002366.XSHE,2142774.8145678807
300647.XSHE,472126.2549855591
601611.XSHG,25714803.69515012
