code,date,volume_turnover_ratio
600418.XSHG,2023-04-13,2983932.067117222
603398.XSHG,2023-04-13,1092532.6108769816
300550.XSHE,2023-04-13,941901.146575767
603178.XSHG,2023-04-13,2210006.6280033137
688505.XSHG,2023-04-13,2660319.867549669
001211.XSHE,2023-04-13,362157.923952262
002408.XSHE,2023-04-13,3127089.483394834
300191.XSHE,2023-04-13,537404.0860885839
600989.XSHG,2023-04-13,65804830.383480825
002586.XSHE,2023-04-13,1443758.1699346404
688521.XSHG,2023-04-13,2081932.4294038548
600986.XSHG,2023-04-13,2275116.5501165497
002960.XSHE,2023-04-13,2167286.609240407
301366.XSHE,2023-04-13,193073.2253250906
002077.XSHE,2023-04-13,3950659.2092147525
002959.XSHE,2023-04-13,1156874.2655699176
600285.XSHG,2023-04-13,723980.9479910885
605258.XSHG,2023-04-13,367295.38367758424
301303.XSHE,2023-04-13,692377.8344403522
600338.XSHG,2023-04-13,4821842.426213513
600640.XSHG,2023-04-13,800597.1307745838
600608.XSHG,2023-04-13,29846.30318718654
300800.XSHE,2023-04-13,550818.8108662225
002194.XSHE,2023-04-13,1370755.3847324757
603881.XSHG,2023-04-13,2325463.758537123
301338.XSHE,2023-04-13,176940.2932163199
688502.XSHG,2023-04-13,120614.269538656
002482.XSHE,2023-04-13,1803046.5854949707
002742.XSHE,2023-04-13,877367.2774679511
300229.XSHE,2023-04-13,1483861.0622725599
301047.XSHE,2023-04-13,299244.3029490617
601086.XSHG,2023-04-13,5194464.285714286
601988.XSHG,2023-04-13,960148430.2325581
603060.XSHG,2023-04-13,2108213.465952563
002724.XSHE,2023-04-13,1879682.2559825238
002839.XSHE,2023-04-13,15213593.555524824
688779.XSHG,2023-04-13,10303742.95278365
002115.XSHE,2023-04-13,1109417.4043962662
003006.XSHE,2023-04-13,2066903.5108669691
300830.XSHE,2023-04-13,2379252.000359615
605005.XSHG,2023-04-13,503997.5858663448
002941.XSHE,2023-04-13,6275921.052631578
603315.XSHG,2023-04-13,1486256.7089185794
300521.XSHE,2023-04-13,792516.0462130937
000632.XSHE,2023-04-13,608639.6668571896
000019.XSHE,2023-04-13,707272.7887933952
002639.XSHE,2023-04-13,2103474.2336471155
301219.XSHE,2023-04-13,696452.2096608428
601998.XSHG,2023-04-13,196615728.81355932
000985.XSHE,2023-04-13,773058.4964174954
600824.XSHG,2023-04-13,317697.5128017557
300903.XSHE,2023-04-13,1523689.257448475
300963.XSHE,2023-04-13,510454.2004553989
000922.XSHE,2023-04-13,2091658.1419517861
301149.XSHE,2023-04-13,1837541.9530126257
688110.XSHG,2023-04-13,2519416.3450147132
600655.XSHG,2023-04-13,144696.2332928311
300561.XSHE,2023-04-13,298993.74027571734
688279.XSHG,2023-04-13,218545.1952219647
688767.XSHG,2023-04-13,374956.8965517242
688266.XSHG,2023-04-13,1433938.7326005376
600105.XSHG,2023-04-13,1189899.0732418853
000609.XSHE,2023-04-13,480890.30206677265
300706.XSHE,2023-04-13,533428.6474265194
301322.XSHE,2023-04-13,165865.01721981395
301088.XSHE,2023-04-13,546548.0728504871
600587.XSHG,2023-04-13,717299.9509081984
002461.XSHE,2023-04-13,10258306.078370873
002467.XSHE,2023-04-13,1179693.3902990702
601727.XSHG,2023-04-13,110593402.68747291
000880.XSHE,2023-04-13,412963.31761932827
601799.XSHG,2023-04-13,2217585.5130784707
002080.XSHE,2023-04-13,3308350.826396429
605300.XSHG,2023-04-13,571246.9237079573
603926.XSHG,2023-04-13,1071950.6172839506
688013.XSHG,2023-04-13,386237.21654068475
603050.XSHG,2023-04-13,1253926.4681600528
300806.XSHE,2023-04-13,663559.7574761073
600694.XSHG,2023-04-13,514309.7104463286
002980.XSHE,2023-04-13,306148.7401196559
300708.XSHE,2023-04-13,2036284.1266006283
003029.XSHE,2023-04-13,1116821.6714354723
300377.XSHE,2023-04-13,620763.083210353
300922.XSHE,2023-04-13,598191.3795328429
600118.XSHG,2023-04-13,701926.7938082614
600877.XSHG,2023-04-13,1983640.2208129934
605100.XSHG,2023-04-13,373245.11772221205
002673.XSHE,2023-04-13,15937837.837837838
301211.XSHE,2023-04-13,574451.9832985386
605598.XSHG,2023-04-13,525185.9886766496
002950.XSHE,2023-04-13,2107716.27998427
300045.XSHE,2023-04-13,600545.9357277883
300249.XSHE,2023-04-13,720000.4157255102
300308.XSHE,2023-04-13,1594353.7072206503
600273.XSHG,2023-04-13,7724181.405271488
600295.XSHG,2023-04-13,2794507.675028079
600429.XSHG,2023-04-13,10244120.94922174
688561.XSHG,2023-04-13,4636147.044489313
605003.XSHG,2023-04-13,212307.79006226966
300774.XSHE,2023-04-13,1223771.8434654197
300376.XSHE,2023-04-13,999385.505648939
002758.XSHE,2023-04-13,526154.2322896405
688343.XSHG,2023-04-13,745309.841813254
000506.XSHE,2023-04-13,3093506.253174968
601375.XSHG,2023-04-13,32872635.497319836
002468.XSHE,2023-04-13,6643013.054830287
300425.XSHE,2023-04-13,796162.4479889043
688168.XSHG,2023-04-13,505641.2608258515
300185.XSHE,2023-04-13,4233518.722466961
688100.XSHG,2023-04-13,4866109.191430546
688117.XSHG,2023-04-13,468189.022699764
001318.XSHE,2023-04-13,707009.9865385217
600790.XSHG,2023-04-13,1202234.649285238
688080.XSHG,2023-04-13,521042.51064048
