code,volume_turnover_ratio
600689.XSHG,605640.9156704015
300831.XSHE,1839747.0142950737
688359.XSHG,230467.19615564306
605378.XSHG,329208.94394923706
600865.XSHG,679360.6377989682
300958.XSHE,319321.6816752811
601666.XSHG,8157399.334129028
002843.XSHE,1231219.7499118678
600476.XSHG,784556.9047159589
688216.XSHG,225160.25108771466
300259.XSHE,563859.1971240264
000831.XSHE,2350513.0990682323
600008.XSHG,8568085.333967198
688087.XSHG,282695.8017894012
300534.XSHE,855051.2624330528
600720.XSHG,638930.1040793173
000707.XSHE,1446801.798120147
300741.XSHE,5067226.513830053
000603.XSHE,1377905.047245909
600691.XSHG,2515877.4208786017
300305.XSHE,594427.754583409
000688.XSHE,2268992.1312573245
688557.XSHG,428219.4508985727
002441.XSHE,827891.2816224126
300184.XSHE,1140518.1209480285
600064.XSHG,690621.3811608531
002841.XSHE,2719978.3666846943
600462.XSHG,1238174.1573033708
300370.XSHE,575533.1900938596
600310.XSHG,963713.1142031323
600551.XSHG,1326740.3574788335
300711.XSHE,1420426.9036417494
002890.XSHE,472539.70063065115
601858.XSHG,7334779.935275081
002695.XSHE,1101340.9698049056
603327.XSHG,991782.9727843684
603600.XSHG,1029284.8498184618
003028.XSHE,272467.367657723
300181.XSHE,670375.8983676742
002467.XSHE,1021533.792896748
600083.XSHG,2279937.9123011255
600737.XSHG,1708577.3004508088
300742.XSHE,778312.3473031386
603305.XSHG,4361508.982035928
000488.XSHE,1707165.9983961505
000632.XSHE,608702.5392262547
600339.XSHG,13404235.985533455
600118.XSHG,703954.9436795994
002968.XSHE,305169.23935279896
688667.XSHG,122961.88286959207
603185.XSHG,1479540.619520748
603899.XSHG,4300037.296037296
600331.XSHG,2263073.715721388
300297.XSHE,1106453.143009132
000420.XSHE,3182402.27311865
002159.XSHE,906883.052174532
002724.XSHE,1886443.998765813
300007.XSHE,600440.1266163794
300429.XSHE,606718.3379430115
600523.XSHG,1945010.886627171
601633.XSHG,16032546.66325748
603711.XSHG,3950646.84139785
688092.XSHG,127084.03291496966
002333.XSHE,1149880.285101377
002940.XSHE,834731.3060927473
300384.XSHE,396082.29697976966
301002.XSHE,233053.76461588897
603021.XSHG,1200522.6884606
605069.XSHG,407111.487356072
000159.XSHE,1489909.960607766
300135.XSHE,516620.7640563523
600051.XSHG,647976.0454730004
605588.XSHG,182752.14277327698
688269.XSHG,232373.18391431545
300507.XSHE,412221.865227263
000301.XSHE,7627714.107477051
002540.XSHE,1075156.0331752026
601727.XSHG,110589101.66150379
688091.XSHG,241338.48345386807
688777.XSHG,2712999.297588387
000012.XSHE,600864.8733187363
300968.XSHE,930412.5254230783
688681.XSHG,223531.50956613506
603636.XSHG,1228815.9484494564
002237.XSHE,1096428.3717028615
002122.XSHE,1408799.3553585818
000993.XSHE,2414870.901639344
300809.XSHE,446333.5874371093
688028.XSHG,371644.5145302996
300978.XSHE,414525.40510848665
002635.XSHE,856094.4065321691
688312.XSHG,657849.1039945901
300770.XSHE,771525.682837342
002665.XSHE,1780483.4411306744
601698.XSHG,4066755.225267069
002542.XSHE,792884.7619047619
603329.XSHG,1492262.9941982178
600151.XSHG,3011824.351839283
300644.XSHE,544201.2596621815
300567.XSHE,655391.1953797537
002514.XSHE,595771.5848417763
600641.XSHG,367713.65832235396
300877.XSHE,558444.986800817
300525.XSHE,611335.5299286107
300752.XSHE,500973.3530717987
300205.XSHE,749876.3849464335
300572.XSHE,598652.8517995084
688682.XSHG,78241.33333333333
600354.XSHG,1769355.6208327506
688636.XSHG,106082.37044817927
603387.XSHG,1274270.3757102874
000609.XSHE,480883.4476003918
002024.XSHE,862315.9722222222
601966.XSHG,12594130.154639175
002616.XSHE,1014217.6376579979
002826.XSHE,1170539.2286881332
002992.XSHE,560250.3978779841
300414.XSHE,796723.4724778814
300535.XSHE,501436.91043242736
601518.XSHG,11760748.51013111
000888.XSHE,834344.824390696
300134.XSHE,1642614.2302023317
600444.XSHG,705562.5849937918
002252.XSHE,2050813.3779264214
000716.XSHE,1756120.5050695888
600111.XSHG,1845369.3522590965
002790.XSHE,880558.2057075906
002384.XSHE,1890822.8460793805
605369.XSHG,195625.27512839323
603982.XSHG,807552.3491412197
002607.XSHE,1987437.2886133033
600082.XSHG,1054371.6850972371
688456.XSHG,283508.4875363206
600393.XSHG,1090247.3256960777
688586.XSHG,1716916.5143205363
000818.XSHE,3247390.1780895847
300715.XSHE,751719.131809688
600823.XSHG,676044.8012954592
601900.XSHG,7845229.483023375
002715.XSHE,914237.1613961455
300243.XSHE,422285.3463079565
603986.XSHG,1109885.9678687789
601618.XSHG,150099391.92516002
300221.XSHE,1038762.9643597964
600200.XSHG,642508.4364454444
300474.XSHE,1012038.9094670804
002366.XSHE,2591726.158640095
300647.XSHE,1526644.6520618557
601611.XSHG,25276732.965009205
603788.XSHG,1300853.6285362854
603003.XSHG,3976647.9058043575
002747.XSHE,1245841.809891266
600190.XSHG,6568790.233074361
603032.XSHG,1322476.750490012
601918.XSHG,16858402.243682414
300324.XSHE,501976.58448722283
603803.XSHG,3970555.0604080013
600259.XSHG,2871616.0819865987
603013.XSHG,4591414.874674702
