code,high_close_diff
002381.XSHE,0.0011578274610257906
300963.XSHE,0.0037906455088710595
000899.XSHE,0.00332139078893431
002249.XSHE,-0.003072538507967536
002538.XSHE,0.0050431582479105765
300461.XSHE,0.0039058904694692616
300768.XSHE,0.001757225034851068
002161.XSHE,-0.005928497259293975
000539.XSHE,-0.005323696881216207
002641.XSHE,-0.000352415393825317
300481.XSHE,-0.00148334691740808
300338.XSHE,0.0038010527768845993
002778.XSHE,0.008759099629435598
002687.XSHE,0.0017947008871689197
002846.XSHE,0.002788220790544405
300664.XSHE,0.006520148392366224
600004.XSHG,-0.0016805122211264074
000786.XSHE,-0.016786599560730107
002072.XSHE,0.007923599554402482
601860.XSHG,0.004140344317834809
688507.XSHG,-0.01856668730299962
301229.XSHE,0.0030506054044688556
002327.XSHE,-0.003506881583568402
002390.XSHE,0.003203223571714194
688013.XSHG,0.00825781477781148
301176.XSHE,0.002878935512167592
301037.XSHE,0.004829897803720367
605376.XSHG,-4.021045575234965e-05
301323.XSHE,-0.0007987134905958785
688368.XSHG,-0.026756062132133284
002905.XSHE,0.003038730391773885
601898.XSHG,-0.004308893727014176
002481.XSHE,0.0004956568058633358
600020.XSHG,0.0034653241539832624
002588.XSHE,0.002556602888221072
000402.XSHE,-0.00047950215661011174
000837.XSHE,-0.0032227023982546285
300432.XSHE,-0.0007136369194224667
002705.XSHE,-0.006942250358542764
600892.XSHG,-0.0033887132139925405
301288.XSHE,0.007488108121087848
600749.XSHG,-0.004591645158083689
603297.XSHG,-0.04220462108359462
688716.XSHG,0.007007659325233181
002636.XSHE,-0.0015504111036595582
300632.XSHE,0.0010313410237141642
300540.XSHE,0.006382443106336914
300530.XSHE,0.005792094374838205
688027.XSHG,-0.04970361641693983
688798.XSHG,-0.009004645058755673
000537.XSHE,-0.0030368791162186846
601366.XSHG,0.005909651827228085
000005.XSHE,0.006052192218116537
301216.XSHE,0.00447343366081856
688107.XSHG,-0.009063645286377653
300567.XSHE,-0.23591769274984267
300992.XSHE,0.00717226903051651
600391.XSHG,-0.0010728070021705036
688485.XSHG,0.006978417047758867
300921.XSHE,0.00158089505176621
002810.XSHE,0.0014064506353976209
000517.XSHE,0.00298213974384548
301248.XSHE,0.0046052865013196465
001914.XSHE,-0.010099692542710266
600562.XSHG,-0.0110373211174245
300188.XSHE,-0.01307193603769062
300684.XSHE,-0.044285195533534695
600338.XSHG,-0.003703367997908907
300948.XSHE,0.008929773993024378
603266.XSHG,0.0013569769705374102
001318.XSHE,0.005755482653769158
002160.XSHE,0.006009034174215756
002629.XSHE,0.008545534723700768
300074.XSHE,0.0031905103621260034
300848.XSHE,-0.015131891084953532
301050.XSHE,-0.014343141052678175
601116.XSHG,0.004149749914938413
000420.XSHE,0.002206590426467578
300457.XSHE,-0.0325586533643239
688373.XSHG,0.006341959600261223
002605.XSHE,-0.009756105535535069
600961.XSHG,0.0022657509724536644
000062.XSHE,-0.009636976204120802
300630.XSHE,-0.0007429883743841478
000552.XSHE,0.0010986335446238275
603886.XSHG,0.0061046400781140965
688410.XSHG,-0.00012570735768179745
600986.XSHG,0.0041531222116554176
300609.XSHE,-0.0042045620453355645
600300.XSHG,0.004837414474445354
300062.XSHE,0.0014313798801959318
300709.XSHE,-0.008462100821180929
002490.XSHE,0.003919941976269668
002468.XSHE,-0.003059340389995832
300751.XSHE,-0.13710545909487887
002457.XSHE,0.00610174469499349
600927.XSHG,0.0012967128082045382
601187.XSHG,0.0028417908349882377
603017.XSHG,0.0008537192932713553
603958.XSHG,0.0009706365712581367
688093.XSHG,-0.0034736736237401733
688660.XSHG,0.005134832034680398
301290.XSHE,0.0063585443026417275
603939.XSHG,-0.008620835807657181
301332.XSHE,0.004471064532884054
301151.XSHE,0.006832171837849601
600819.XSHG,0.004655146382183894
600739.XSHG,-0.0013366709008350603
002935.XSHE,-6.287200342845918e-05
000709.XSHE,0.00011452172867273719
002556.XSHE,-0.0011354817366452333
300980.XSHE,0.003656552899700059
002855.XSHE,-0.049280947876124845
002067.XSHE,0.006981250999704395
300558.XSHE,-0.009554568072677223
301110.XSHE,-0.0027995517940941047
301359.XSHE,0.0030289899768552453
000757.XSHE,-0.00020512440937038232
002564.XSHE,0.0072540381840149
002930.XSHE,-0.005439254084936248
000685.XSHE,0.0021468489832492995
600529.XSHG,-0.008611781363459949
603309.XSHG,0.0052584031111039585
300551.XSHE,-0.021239140112416684
600227.XSHG,0.005979518252789205
603330.XSHG,-0.010872050851950997
600717.XSHG,0.003288140276645331
688586.XSHG,0.0018570367972349038
688351.XSHG,-0.002326464855066609
002285.XSHE,0.003021579877491683
000589.XSHE,-0.007692723646913665
002535.XSHE,0.00671477794768097
002614.XSHE,3.577257582982208e-05
600419.XSHG,0.003145126030408217
002933.XSHE,-0.0013181573165409813
601929.XSHG,0.005190176084637387
301298.XSHE,0.0009172022671882678
600421.XSHG,0.007989243591577528
300634.XSHE,0.0011224200776817727
000755.XSHE,0.0033485814820523973
600598.XSHG,0.0002243386600969243
300350.XSHE,0.00633845860041124
300371.XSHE,-0.02274278814458735
603928.XSHG,0.0065950538393620434
688146.XSHG,-0.0032756139924100727
300057.XSHE,0.0044758419466494215
603321.XSHG,0.0073925335310060306
600729.XSHG,-0.02146666203397556
000635.XSHE,0.0025303464966501266
601066.XSHG,-0.0033088937270141614
301153.XSHE,-0.018093335459143052
600531.XSHG,-0.0004400131775983999
002002.XSHE,0.00035751755751755893
600246.XSHG,-0.005978230289614867
688053.XSHG,-0.010977132124431884
002027.XSHE,-0.01060889372701413
300420.XSHE,0.0037964983091163126
300450.XSHE,-0.03292038601567451
