code,price_amplitude
002433.XSHE,-0.013319881579424542
000713.XSHE,0.03801846611823664
000576.XSHE,0.03522283144274366
603227.XSHG,-0.012231239352971403
002731.XSHE,-0.015981300503771105
300564.XSHE,-0.008839088031567782
300675.XSHE,-0.0042759410939532064
300267.XSHE,-0.002023090685795888
000626.XSHE,0.0331254083659657
300144.XSHE,0.16104268118098947
688520.XSHG,-2.0421838361930726e-05
000633.XSHE,0.034814159168466606
600901.XSHG,-0.004301845374006097
002134.XSHE,-0.009298347015250827
603583.XSHG,0.07228331850034556
300044.XSHE,-0.002897507377052508
002902.XSHE,-0.012365490361240414
601199.XSHG,-0.00970025100785087
688136.XSHG,0.0010000896664262293
002471.XSHE,-0.010181551571451002
601801.XSHG,-0.006595307604514908
002410.XSHE,0.3383501251986177
603012.XSHG,-0.011210927677349339
002401.XSHE,-0.0045254849200506205
688011.XSHG,-0.004270861909269157
603278.XSHG,-0.014758006633991414
600537.XSHG,-0.009860699880099855
000620.XSHE,-0.009546738405266583
000691.XSHE,-0.01367371167689639
300379.XSHE,0.07096668634817765
603093.XSHG,-0.0008674912793912434
300404.XSHE,-0.008082900604133782
600202.XSHG,-0.012787348642223178
000825.XSHE,0.014578325079078
002474.XSHE,-0.007820592877481287
300039.XSHE,-0.0033761811211031386
002715.XSHE,-0.010136544779424578
600211.XSHG,0.017247413652205904
001914.XSHE,0.05471842098004017
300327.XSHE,0.03385886853468281
000716.XSHE,-0.013407763465317506
000882.XSHE,-0.010725963510559745
300555.XSHE,-0.011541991050340053
300829.XSHE,0.02306295522009958
002799.XSHE,0.0030435662005930467
000968.XSHE,-0.009127313702049849
600372.XSHG,0.007678060042637973
300355.XSHE,0.018668237162179885
300812.XSHE,0.05040534806300711
000921.XSHE,0.00642005755745917
603001.XSHG,-0.013554138992345617
600587.XSHG,-0.003644791469831772
600690.XSHG,0.6589262301935199
000655.XSHE,0.008358419649819385
601816.XSHG,0.0063262301935210746
002716.XSHE,-0.009520677237584992
603388.XSHG,-0.012700023363417454
600479.XSHG,-0.006158716346004564
000020.XSHE,0.0027202960590432448
600648.XSHG,0.004557334068181833
600714.XSHG,-0.009435464260252399
000776.XSHE,0.012751943977290178
600348.XSHG,0.005765138279026132
002365.XSHE,-0.013069808229287562
002388.XSHE,-0.012221203162949834
000090.XSHE,0.004737247658252018
000880.XSHE,-0.008827042322084182
603377.XSHG,-0.0025608027225887007
600332.XSHG,0.0062358258554846245
002862.XSHE,-0.00453300579544914
002325.XSHE,-0.008157196945944408
600178.XSHG,-0.00846361613541251
000803.XSHE,0.013345951284696135
000835.XSHE,-0.017544253406904818
600538.XSHG,-0.009942407300679032
300558.XSHE,0.04262615418957417
002272.XSHE,0.012324278010944168
300718.XSHE,-0.004921911960012683
603113.XSHG,0.005197455649527229
603777.XSHG,-0.0066675656972945375
002565.XSHE,-0.008967398013641648
600775.XSHG,-0.009294403430784567
002153.XSHE,0.1161690106788023
603239.XSHG,-0.0024880449954431377
688030.XSHG,-0.004341367954918718
002298.XSHE,-0.006476583586061255
603039.XSHG,0.052746206806171855
600163.XSHG,-0.0040637358742428974
002673.XSHE,0.0018138868741993748
600446.XSHG,0.03235106645872253
603637.XSHG,-0.011744334899904785
000301.XSHE,0.02136830346778342
300562.XSHE,-0.007146442259867879
002424.XSHE,0.052810408643701914
300447.XSHE,-0.0027075707723745804
600566.XSHG,0.004780005635886219
002823.XSHE,-0.013187592634157728
688488.XSHG,-0.006687867063957707
300862.XSHE,0.01222880467557841
002825.XSHE,-0.002443340570736875
600615.XSHG,0.06073773484877515
002315.XSHE,0.011956947706219075
300639.XSHE,0.009242578215599375
600979.XSHG,-0.008336289197470925
000029.XSHE,0.005445281770666829
003004.XSHE,-0.008274115971755105
300419.XSHE,0.0004606906675244833
300915.XSHE,0.005053462217245596
688185.XSHG,0.14390235415852357
300214.XSHE,-0.011140461951287803
002842.XSHE,-0.0059161637490133725
000938.XSHE,0.021436876851741667
002050.XSHE,0.1168443800374525
300100.XSHE,-0.001987451118602185
600555.XSHG,-0.01502636463397998
002208.XSHE,-0.001592899402148757
605318.XSHG,-0.012037291273477487
000798.XSHE,0.008112053577277656
600094.XSHG,-0.0030710589935843266
000925.XSHE,-0.009231949431094469
000809.XSHE,-0.016266414420668906
300791.XSHE,0.023615291109532005
000860.XSHE,0.03277490132030812
002221.XSHE,0.010860710126635
300857.XSHE,0.011578612684291946
300864.XSHE,0.038261679202007126
600121.XSHG,0.021929178593698185
688390.XSHG,0.10122224573997742
300790.XSHE,-0.00995664985447
688557.XSHG,-0.009124389944404265
002370.XSHE,-0.012395381534704198
603909.XSHG,-0.010879469403508545
000547.XSHE,0.10268082459568893
300001.XSHE,0.06690952514836715
002304.XSHE,0.20142623019352102
600328.XSHG,0.0009640376302988401
600894.XSHG,-0.004189323941117069
601188.XSHG,-0.012764179818245068
002078.XSHE,0.057355040908290515
002869.XSHE,-0.00013280340351407884
000783.XSHE,0.0025973269439244534
600603.XSHG,0.11044762372920441
600612.XSHG,0.6517016446305613
600575.XSHG,0.001858580318853437
300020.XSHE,-0.002833477126833699
600528.XSHG,0.0008107243086888666
600691.XSHG,-0.004635144447101517
600750.XSHG,0.012297132481558622
002106.XSHE,-0.002233155301051672
300671.XSHE,0.008938999643606994
300707.XSHE,-0.0008723056110145639
603587.XSHG,0.0055376676906450616
603665.XSHG,-0.004483844914721638
300117.XSHE,-0.004494351155716277
600997.XSHG,0.010197006215823323
002481.XSHE,0.13160473405725961
601099.XSHG,-0.002720442455631129
002127.XSHE,0.04359673202988025
000619.XSHE,-0.0023900422544414456
300070.XSHE,0.0296114584811518
300337.XSHE,-0.004430668838250492
000526.XSHE,0.023851630263159267
300024.XSHE,0.0566148717482324
002384.XSHE,0.03545251516245572
600352.XSHG,0.07846144997217884
603527.XSHG,-0.014121498454524636
300604.XSHE,0.03534077590668097
002997.XSHE,-0.008202865200826793
300625.XSHE,-0.006674769870502993
002555.XSHE,0.07024008705644245
300782.XSHE,0.6588376069391361
300410.XSHE,0.01828221913202951
300797.XSHE,-0.009615834542502557
600493.XSHG,-0.01710891931734331
002235.XSHE,0.00363626455234467
002503.XSHE,0.015674426083967855
600598.XSHG,0.011660123996632637
603839.XSHG,-0.012172839343695755
002982.XSHE,0.020388468320230058
002367.XSHE,0.0017351336491312382
600444.XSHG,-0.016937987871203156
002714.XSHE,0.6594752345546988
300537.XSHE,-0.00504188003377627
300613.XSHE,0.1626964092280213
002479.XSHE,-0.0021505945791461534
600811.XSHG,0.012040092057781733
300622.XSHE,-0.007339487446691599
300183.XSHE,0.004323608130804988
000915.XSHE,0.003622949778909859
600769.XSHG,-0.013190179134119136
605068.XSHG,-0.0025725248986425402
002244.XSHE,0.001706998731439059
603365.XSHG,-0.011065070816561438
603707.XSHG,0.07354705541114279
000971.XSHE,-0.013616369007403479
300006.XSHE,-0.003333014212732433
300225.XSHE,0.061497871594882576
002442.XSHE,-0.012841504346882398
600586.XSHG,0.021474272369075065
300097.XSHE,0.0036736955101798006
600067.XSHG,-0.002927545189663769
300847.XSHE,0.025984304167075707
600963.XSHG,0.006832905695865105
600395.XSHG,-0.0004592209823583099
605266.XSHG,0.03515609184277248
000638.XSHE,-0.012148636786560672
003022.XSHE,0.010140349835745776
002734.XSHE,-0.004777266886120152
002125.XSHE,0.0009184996670628092
600746.XSHG,0.10607828274621012
000709.XSHE,0.004052577685356426
300470.XSHE,0.05250167171164015
300891.XSHE,-0.00013952520415934887
300747.XSHE,0.0630213097861955
600089.XSHG,0.11202493001996232
603186.XSHG,0.0040429751297294085
600825.XSHG,0.00395623634703585
603517.XSHG,0.08203551055660756
300318.XSHE,0.003989959112325442
605218.XSHG,-0.01135408073921285
605500.XSHG,-0.010047145262245588
300800.XSHE,0.01991027749758295
000796.XSHE,0.019893936489474823
600658.XSHG,-0.0012728481882152733
002398.XSHE,0.0012288620137609393
000523.XSHE,-0.003593715739353553
000795.XSHE,-0.0040097937236528505
601615.XSHG,0.005237582232860469
000797.XSHE,-0.00364362433341903
600530.XSHG,-0.008876170751666478
002610.XSHE,0.013199570146362156
002969.XSHE,-0.011259335780976059
601258.XSHG,-0.005320761231578842
603136.XSHG,0.005833015247989451
603060.XSHG,0.01629803805860197
