code,open_close_diff
600543.XSHG,-0.0004349721831528319
601107.XSHG,0.0007530275232374088
000955.XSHE,0.0024344102177063674
600882.XSHG,0.012691748073199527
000403.XSHE,-0.006844215124530817
300791.XSHE,-0.0006289390977492411
600592.XSHG,0.0013903643651109352
603041.XSHG,0.0036783332956972573
002566.XSHE,0.002359322295780875
003026.XSHE,-0.010001445344481366
301158.XSHE,0.00360013067776031
002828.XSHE,0.0019884094559268805
601921.XSHG,-0.0034612168980573768
600811.XSHG,0.0006155594231445146
605298.XSHG,0.012773658964214717
000567.XSHE,0.024199644237052433
688313.XSHG,0.00023092794640601022
300879.XSHE,0.0029861991819270075
002019.XSHE,0.012082442497563269
301106.XSHE,-0.000388051860299567
000797.XSHE,0.001568601336417996
002231.XSHE,-0.002272678845388191
603268.XSHG,-0.002812188695569283
300742.XSHE,0.0008134824056025414
002902.XSHE,-0.0007611938563407629
001339.XSHE,-0.00020758839528509966
601118.XSHG,0.00028251444874626756
603201.XSHG,0.005915752818444284
600855.XSHG,-0.003060741936567246
301055.XSHE,-3.370417881998168e-05
000026.XSHE,-0.03167122842629118
601579.XSHG,0.003665933652627431
300074.XSHE,-0.009558130565713918
002789.XSHE,-0.0049712801642977185
000886.XSHE,-0.0012790877413570729
688409.XSHG,-0.00018230441733487222
300114.XSHE,0.01622928421478828
003030.XSHE,0.006551320741960039
300946.XSHE,0.009636368537393586
600993.XSHG,-0.14656826503611653
300880.XSHE,0.007078692801770147
601019.XSHG,-0.0002529944998538142
600153.XSHG,-0.03125909679218417
605168.XSHG,-0.07489004461764046
002759.XSHE,0.017067713716578378
600222.XSHG,0.002281687801058195
688269.XSHG,0.01724403296011033
002386.XSHE,0.00371939238327824
600089.XSHG,0.17776950700513583
000909.XSHE,-0.0010897857590406424
300789.XSHE,0.007256940087867475
600163.XSHG,0.0027144476316999025
603733.XSHG,0.0006647920822420762
688128.XSHG,-0.0002465760381206957
300729.XSHE,0.012366107167372692
300895.XSHE,-0.07429477725829345
688126.XSHG,-0.008687480660708144
300079.XSHE,-0.004509651356415737
600995.XSHG,0.022481961048190037
300165.XSHE,-0.002376479864287788
001205.XSHE,0.00268113797756678
688498.XSHG,-0.01826871512621886
300894.XSHE,0.003562164574962046
002452.XSHE,0.003702842613307182
300085.XSHE,-0.008190081050524467
300306.XSHE,-0.00402229529998355
301089.XSHE,0.006966167223435037
603926.XSHG,0.001574133509300747
601698.XSHG,-0.0009744555003400801
300276.XSHE,-0.0041074394188047245
603833.XSHG,0.015135838592952715
601866.XSHG,0.00025220786161328203
300945.XSHE,0.00032946754564199834
688577.XSHG,0.0025242064586003575
300857.XSHE,-0.0011177642889040407
600584.XSHG,0.004652031352267591
300622.XSHE,9.559758666550882e-05
300355.XSHE,-0.007344475146555224
603179.XSHG,0.03196814750268945
601985.XSHG,0.00037646871869454184
603605.XSHG,0.03251407864214115
688419.XSHG,0.004175945847107862
300597.XSHE,0.0003064449139528459
000981.XSHE,-0.007759455050548405
301238.XSHE,-0.00032738437033218306
605218.XSHG,-0.000975620609118894
601808.XSHG,0.0012733683299397036
300852.XSHE,0.0006807814655930182
002986.XSHE,0.011059834854081302
605266.XSHG,-0.012350429710113065
688533.XSHG,0.004793375251484669
300993.XSHE,0.00028327031118286394
603029.XSHG,0.0013699011992055663
001213.XSHE,0.0003608575585461768
301128.XSHE,0.002284497307700993
688379.XSHG,0.0005620595186185962
688139.XSHG,0.009089194263493179
000993.XSHE,0.005936656258845062
002305.XSHE,0.0016654247541713191
002080.XSHE,0.007368638517325361
300508.XSHE,0.019638601519485453
002332.XSHE,-0.003018751891975459
301078.XSHE,-0.0057820272595134805
002014.XSHE,0.016016693340718056
002938.XSHE,-0.005472695316442257
002780.XSHE,0.00019221904222340574
603658.XSHG,0.008159934503688454
000656.XSHE,0.0008513750586641639
000301.XSHE,-0.007880678653821117
688656.XSHG,0.0074311487080092
002263.XSHE,0.002643427572206305
603123.XSHG,0.0002350373986158078
000931.XSHE,0.00046648106398289427
301029.XSHE,0.006178321233513593
605366.XSHG,0.0011772046182984524
688290.XSHG,0.010004184149153508
300411.XSHE,0.003287506364403185
301303.XSHE,0.00431041686839868
603790.XSHG,-0.0009118082277951394
600565.XSHG,-0.004056322386934697
600613.XSHG,-0.013170908513763041
002832.XSHE,0.042680628745486116
300347.XSHE,0.05725498501061771
300130.XSHE,-0.06682522533565675
300699.XSHE,0.01728712007298733
300832.XSHE,0.0019191489130817826
002763.XSHE,0.0030742144437835668
301198.XSHE,0.004359343922726102
301390.XSHE,-0.006721829821478161
002422.XSHE,0.004732168334091476
