code,date,high_close_diff
002563.XSHE,2021-03-08,3.0799999999999983
603721.XSHG,2021-03-08,0.3699999999999992
688677.XSHG,2021-03-08,7.010000000000005
002370.XSHE,2021-03-08,0.3100000000000005
688033.XSHG,2021-03-08,0.5099999999999998
300063.XSHE,2021-03-08,1.5700000000000003
000402.XSHE,2021-03-08,0.0
300852.XSHE,2021-03-08,1.9300000000000068
603860.XSHG,2021-03-08,0.5899999999999999
002323.XSHE,2021-03-08,0.4800000000000004
002826.XSHE,2021-03-08,0.25
605066.XSHG,2021-03-08,0.2599999999999998
603993.XSHG,2021-03-08,1.0899999999999999
000881.XSHE,2021-03-08,3.780000000000001
600122.XSHG,2021-03-08,0.29000000000000004
000790.XSHE,2021-03-08,1.3800000000000026
603607.XSHG,2021-03-08,1.2000000000000028
600535.XSHG,2021-03-08,4.200000000000017
600961.XSHG,2021-03-08,0.5
002073.XSHE,2021-03-08,1.2000000000000028
000812.XSHE,2021-03-08,1.5399999999999991
300397.XSHE,2021-03-08,1.9099999999999966
603089.XSHG,2021-03-08,0.7399999999999984
002019.XSHE,2021-03-08,18.189999999999998
600238.XSHG,2021-03-08,1.3299999999999983
002568.XSHE,2021-03-08,38.96999999999997
600516.XSHG,2021-03-08,0.0
603886.XSHG,2021-03-08,0.3000000000000007
000868.XSHE,2021-03-08,1.3599999999999994
300027.XSHE,2021-03-08,1.0599999999999952
600815.XSHG,2021-03-08,0.8899999999999988
000816.XSHE,2021-03-08,1.3500000000000014
600007.XSHG,2021-03-08,0.25
300752.XSHE,2021-03-08,5.189999999999998
600821.XSHG,2021-03-08,0.0
605376.XSHG,2021-03-08,4.359999999999999
002403.XSHE,2021-03-08,0.16000000000000014
002321.XSHE,2021-03-08,0.22999999999999954
600229.XSHG,2021-03-08,0.17999999999999972
603798.XSHG,2021-03-08,0.4399999999999977
000407.XSHE,2021-03-08,1.2100000000000009
688077.XSHG,2021-03-08,3.5900000000000034
600512.XSHG,2021-03-08,0.39000000000000057
000096.XSHE,2021-03-08,1.0400000000000027
300479.XSHE,2021-03-08,0.8099999999999987
600399.XSHG,2021-03-08,2.8200000000000003
688788.XSHG,2021-03-08,4.650000000000006
603861.XSHG,2021-03-08,0.15000000000000036
001696.XSHE,2021-03-08,4.909999999999997
300418.XSHE,2021-03-08,4.310000000000002
002839.XSHE,2021-03-08,0.1200000000000001
300555.XSHE,2021-03-08,0.6099999999999994
603260.XSHG,2021-03-08,3.260000000000005
000851.XSHE,2021-03-08,0.4800000000000004
600664.XSHG,2021-03-08,0.41999999999999815
601669.XSHG,2021-03-08,0.1200000000000001
601881.XSHG,2021-03-08,0.3200000000000003
688009.XSHG,2021-03-08,0.04999999999999982
688571.XSHG,2021-03-08,0.33999999999999986
600243.XSHG,2021-03-08,0.08000000000000007
603996.XSHG,2021-03-08,0.0
000046.XSHE,2021-03-08,4.420000000000002
300769.XSHE,2021-03-08,26.629999999999995
603585.XSHG,2021-03-08,0.23000000000000043
002335.XSHE,2021-03-08,7.040000000000006
300055.XSHE,2021-03-08,1.3599999999999994
002243.XSHE,2021-03-08,0.35999999999999943
300138.XSHE,2021-03-08,2.739999999999995
002047.XSHE,2021-03-08,0.1899999999999995
000563.XSHE,2021-03-08,0.8599999999999994
