code,date,high_close_diff
002563.XSHE,2022-12-12,0.4399999999999977
603721.XSHG,2022-12-12,1.4800000000000004
688677.XSHG,2022-12-12,0.7800000000000011
002370.XSHE,2022-12-12,0.6799999999999997
688211.XSHG,2022-12-12,1.1100000000000065
688033.XSHG,2022-12-12,0.23000000000000043
300063.XSHE,2022-12-12,0.629999999999999
000402.XSHE,2022-12-12,6.6699999999999875
300852.XSHE,2022-12-12,0.3500000000000014
603860.XSHG,2022-12-12,1.2199999999999989
688489.XSHG,2022-12-12,0.25
002323.XSHE,2022-12-12,0.5400000000000027
603237.XSHG,2022-12-12,1.0300000000000011
002826.XSHE,2022-12-12,0.129999999999999
605066.XSHG,2022-12-12,0.07000000000000028
688426.XSHG,2022-12-12,0.8200000000000003
001299.XSHE,2022-12-12,0.00999999999999801
301122.XSHE,2022-12-12,1.8200000000000003
603993.XSHG,2022-12-12,0.28000000000000114
000881.XSHE,2022-12-12,0.9100000000000037
600122.XSHG,2022-12-12,0.16999999999999993
000790.XSHE,2022-12-12,4.930000000000007
603255.XSHG,2022-12-12,1.3999999999999986
603607.XSHG,2022-12-12,0.379999999999999
600535.XSHG,2022-12-12,0.9899999999999807
688167.XSHG,2022-12-12,0.8299999999999983
600961.XSHG,2022-12-12,0.4499999999999993
002073.XSHE,2022-12-12,1.009999999999998
000812.XSHE,2022-12-12,0.5600000000000023
300397.XSHE,2022-12-12,0.259999999999998
603089.XSHG,2022-12-12,0.129999999999999
002019.XSHE,2022-12-12,2.640000000000015
600238.XSHG,2022-12-12,1.5700000000000003
002568.XSHE,2022-12-12,5.329999999999984
600516.XSHG,2022-12-12,1.7399999999999949
603886.XSHG,2022-12-12,0.4800000000000004
000868.XSHE,2022-12-12,0.46000000000000085
300959.XSHE,2022-12-12,0.4400000000000013
300027.XSHE,2022-12-12,1.3600000000000065
688772.XSHG,2022-12-12,0.6099999999999994
600815.XSHG,2022-12-12,0.3200000000000003
000816.XSHE,2022-12-12,0.4599999999999973
001289.XSHE,2022-12-12,0.6099999999999994
600007.XSHG,2022-12-12,0.33000000000000185
300752.XSHE,2022-12-12,0.44999999999999574
600821.XSHG,2022-12-12,0.5599999999999987
605376.XSHG,2022-12-12,0.5799999999999983
002403.XSHE,2022-12-12,0.3100000000000005
002321.XSHE,2022-12-12,0.08999999999999986
600229.XSHG,2022-12-12,0.120000000000001
603798.XSHG,2022-12-12,1.3699999999999974
000407.XSHE,2022-12-12,0.5
688077.XSHG,2022-12-12,0.480000000000004
001223.XSHE,2022-12-12,14.719999999999999
600512.XSHG,2022-12-12,0.7800000000000011
000096.XSHE,2022-12-12,0.3999999999999986
300479.XSHE,2022-12-12,0.8300000000000054
