code,date,price_amplitude
300911.XSHE,2023-11-15,-0.8699999999999974
000887.XSHE,2023-11-15,-4.899999999999977
301429.XSHE,2023-11-15,-0.48999999999999844
600415.XSHG,2023-11-15,-15.100000000000023
600939.XSHG,2023-11-15,-0.08999999999999986
002313.XSHE,2023-11-15,-0.870000000000001
300532.XSHE,2023-11-15,-0.9600000000000009
301196.XSHE,2023-11-15,-0.5599999999999952
300002.XSHE,2023-11-15,-4.950000000000017
000822.XSHE,2023-11-15,-0.16999999999999815
002732.XSHE,2023-11-15,-0.35999999999999943
300520.XSHE,2023-11-15,-1.5100000000000051
300426.XSHE,2023-11-15,-2.519999999999996
301259.XSHE,2023-11-15,-0.389999999999997
601298.XSHG,2023-11-15,-0.0600000000000005
300593.XSHE,2023-11-15,-1.5400000000000063
002697.XSHE,2023-11-15,-0.4799999999999969
688599.XSHG,2023-11-15,-0.5700000000000003
600997.XSHG,2023-11-15,-0.5799999999999983
601198.XSHG,2023-11-15,-0.5399999999999991
300540.XSHE,2023-11-15,-1.509999999999998
000719.XSHE,2023-11-15,-0.8500000000000014
600238.XSHG,2023-11-15,-0.8399999999999963
601963.XSHG,2023-11-15,-0.08000000000000007
600469.XSHG,2023-11-15,-0.41000000000000014
600211.XSHG,2023-11-15,-3.3900000000000006
600843.XSHG,2023-11-15,-0.3999999999999986
300854.XSHE,2023-11-15,-0.33000000000000185
300212.XSHE,2023-11-15,-7.6200000000000045
002565.XSHE,2023-11-15,-0.41999999999999815
603232.XSHG,2023-11-15,-1.4799999999999969
600867.XSHG,2023-11-15,-13.410000000000025
603012.XSHG,2023-11-15,-0.10999999999999943
601155.XSHG,2023-11-15,-0.46000000000000085
603688.XSHG,2023-11-15,-2.9099999999999966
603192.XSHG,2023-11-15,-0.41000000000000014
688004.XSHG,2023-11-15,-0.6799999999999997
300956.XSHE,2023-11-15,-0.4299999999999997
600794.XSHG,2023-11-15,-1.0600000000000023
600499.XSHG,2023-11-15,-7.019999999999982
002722.XSHE,2023-11-15,-1.0500000000000007
300779.XSHE,2023-11-15,-2.0700000000000003
300428.XSHE,2023-11-15,-3.0799999999999983
605099.XSHG,2023-11-15,-0.41999999999999815
688027.XSHG,2023-11-15,-3.8000000000000114
601789.XSHG,2023-11-15,-0.2400000000000002
002500.XSHE,2023-11-15,-0.1200000000000001
688535.XSHG,2023-11-15,-11.629999999999995
600125.XSHG,2023-11-15,-1.0499999999999972
300182.XSHE,2023-11-15,-4.310000000000002
002970.XSHE,2023-11-15,-2.469999999999999
300209.XSHE,2023-11-15,-0.21000000000000085
301022.XSHE,2023-11-15,-3.8400000000000034
601019.XSHG,2023-11-15,-0.25
002867.XSHE,2023-11-15,-0.8299999999999983
300936.XSHE,2023-11-15,-1.3999999999999986
600753.XSHG,2023-11-15,-4.079999999999998
002678.XSHE,2023-11-15,-0.16999999999999993
300142.XSHE,2023-11-15,-6.0400000000000205
002759.XSHE,2023-11-15,-0.5300000000000011
002879.XSHE,2023-11-15,-0.2699999999999996
688298.XSHG,2023-11-15,-1.059999999999988
603083.XSHG,2023-11-15,-3.5200000000000102
600556.XSHG,2023-11-15,-0.48999999999999844
600109.XSHG,2023-11-15,-4.490000000000009
300897.XSHE,2023-11-15,-0.5900000000000034
300758.XSHE,2023-11-15,-0.759999999999998
688058.XSHG,2023-11-15,-3.0700000000000074
300021.XSHE,2023-11-15,-1.009999999999998
688295.XSHG,2023-11-15,-1.1000000000000014
002414.XSHE,2023-11-15,-1.440000000000012
600571.XSHG,2023-11-15,-2.160000000000011
603779.XSHG,2023-11-15,-0.34999999999999964
300487.XSHE,2023-11-15,-6.930000000000007
002093.XSHE,2023-11-15,-5.510000000000005
688689.XSHG,2023-11-15,-0.3999999999999986
002034.XSHE,2023-11-15,-0.5799999999999983
300721.XSHE,2023-11-15,-0.39000000000000057
000836.XSHE,2023-11-15,-0.4400000000000013
301101.XSHE,2023-11-15,-1.2199999999999989
301177.XSHE,2023-11-15,-0.4200000000000017
301372.XSHE,2023-11-15,-1.3500000000000014
600483.XSHG,2023-11-15,-0.4299999999999997
688588.XSHG,2023-11-15,-0.3199999999999985
300249.XSHE,2023-11-15,-1.7899999999999991
688565.XSHG,2023-11-15,-0.1999999999999993
002440.XSHE,2023-11-15,-0.3999999999999986
300666.XSHE,2023-11-15,-1.7700000000000102
688671.XSHG,2023-11-15,-2.5799999999999983
601006.XSHG,2023-11-15,-0.07000000000000028
301306.XSHE,2023-11-15,-4.580000000000005
003004.XSHE,2023-11-15,-0.6199999999999974
688601.XSHG,2023-11-15,-3.6599999999999966
300401.XSHE,2023-11-15,-0.46999999999999886
688167.XSHG,2023-11-15,-9.22999999999999
002610.XSHE,2023-11-15,-1.629999999999999
600115.XSHG,2023-11-15,-0.08000000000000007
301246.XSHE,2023-11-15,-0.26000000000000156
000151.XSHE,2023-11-15,-0.3299999999999983
000959.XSHE,2023-11-15,-0.17999999999999972
300619.XSHE,2023-11-15,-1.3100000000000023
300605.XSHE,2023-11-15,-0.6699999999999982
600114.XSHG,2023-11-15,-5.219999999999999
603071.XSHG,2023-11-15,-0.129999999999999
300022.XSHE,2023-11-15,-0.25
002569.XSHE,2023-11-15,-0.5800000000000001
000090.XSHE,2023-11-15,-1.6200000000000045
301278.XSHE,2023-11-15,-1.559999999999988
600735.XSHG,2023-11-15,-0.8400000000000034
000422.XSHE,2023-11-15,-1.6399999999999864
600438.XSHG,2023-11-15,-6.939999999999998
603209.XSHG,2023-11-15,-0.5799999999999983
002370.XSHE,2023-11-15,-0.5
603683.XSHG,2023-11-15,-0.40000000000000213
300077.XSHE,2023-11-15,-1.289999999999992
603613.XSHG,2023-11-15,-4.360000000000014
000888.XSHE,2023-11-15,-0.7700000000000031
300964.XSHE,2023-11-15,-1.1499999999999986
601318.XSHG,2023-11-15,-2.0800000000000125
603680.XSHG,2023-11-15,-0.3400000000000034
003021.XSHE,2023-11-15,-7.13000000000001
300252.XSHE,2023-11-15,-1.8900000000000006
688439.XSHG,2023-11-15,-3.5400000000000063
000016.XSHE,2023-11-15,-1.2199999999999989
002004.XSHE,2023-11-15,-1.1300000000000097
300033.XSHE,2023-11-15,-52.049999999999955
688184.XSHG,2023-11-15,-0.2799999999999976
603776.XSHG,2023-11-15,-0.6000000000000014
300495.XSHE,2023-11-15,-0.8399999999999999
600200.XSHG,2023-11-15,-4.329999999999998
600642.XSHG,2023-11-15,-0.8100000000000023
002384.XSHE,2023-11-15,-3.269999999999982
002273.XSHE,2023-11-15,-5.439999999999998
300869.XSHE,2023-11-15,-0.2699999999999996
000758.XSHE,2023-11-15,-0.8499999999999943
002009.XSHE,2023-11-15,-2.269999999999996
300085.XSHE,2023-11-15,-10.349999999999994
600626.XSHG,2023-11-15,-0.7999999999999972
300894.XSHE,2023-11-15,-0.28999999999999915
000498.XSHE,2023-11-15,-0.17999999999999972
001367.XSHE,2023-11-15,-0.5200000000000031
000571.XSHE,2023-11-15,-1.879999999999999
002127.XSHE,2023-11-15,-0.6200000000000045
002514.XSHE,2023-11-15,-2.270000000000003
301082.XSHE,2023-11-15,-0.2799999999999976
600299.XSHG,2023-11-15,-0.21999999999999886
300114.XSHE,2023-11-15,-4.840000000000032
600969.XSHG,2023-11-15,-0.15000000000000036
002987.XSHE,2023-11-15,-1.230000000000004
300529.XSHE,2023-11-15,-0.7000000000000028
300011.XSHE,2023-11-15,-1.6000000000000085
688016.XSHG,2023-11-15,-17.57000000000002
688373.XSHG,2023-11-15,-0.3799999999999999
600983.XSHG,2023-11-15,-0.4499999999999993
605388.XSHG,2023-11-15,-0.39000000000000057
688538.XSHG,2023-11-15,-0.020000000000000018
002442.XSHE,2023-11-15,-0.2900000000000009
300364.XSHE,2023-11-15,-13.259999999999991
002961.XSHE,2023-11-15,-0.4299999999999997
688218.XSHG,2023-11-15,-0.6699999999999982
600760.XSHG,2023-11-15,-8.939999999999998
600348.XSHG,2023-11-15,-1.420000000000016
002030.XSHE,2023-11-15,-3.509999999999991
300496.XSHE,2023-11-15,-16.0
600143.XSHG,2023-11-15,-7.7900000000000205
000909.XSHE,2023-11-15,-0.1899999999999995
001328.XSHE,2023-11-15,-0.36999999999999744
300050.XSHE,2023-11-15,-0.75
300435.XSHE,2023-11-15,-0.5400000000000063
300916.XSHE,2023-11-15,-1.6800000000000068
301283.XSHE,2023-11-15,-0.7000000000000028
300919.XSHE,2023-11-15,-0.730000000000004
000591.XSHE,2023-11-15,-0.8799999999999955
002438.XSHE,2023-11-15,-0.75
002271.XSHE,2023-11-15,-18.680000000000064
688234.XSHG,2023-11-15,-2.6600000000000037
002885.XSHE,2023-11-15,-1.3400000000000034
688318.XSHG,2023-11-15,-16.04000000000002
688496.XSHG,2023-11-15,-0.8499999999999979
600345.XSHG,2023-11-15,-2.3299999999999983
002653.XSHE,2023-11-15,-2.7099999999999937
603826.XSHG,2023-11-15,-0.9799999999999898
601169.XSHG,2023-11-15,-0.129999999999999
603878.XSHG,2023-11-15,-0.3500000000000014
688300.XSHG,2023-11-15,-16.14
300180.XSHE,2023-11-15,-1.2600000000000051
600361.XSHG,2023-11-15,-0.28000000000000114
600573.XSHG,2023-11-15,-0.2400000000000002
002590.XSHE,2023-11-15,-1.3700000000000045
603810.XSHG,2023-11-15,-0.3099999999999987
003033.XSHE,2023-11-15,-0.7800000000000011
300163.XSHE,2023-11-15,-0.4499999999999993
003016.XSHE,2023-11-15,-0.08999999999999986
300655.XSHE,2023-11-15,-2.789999999999992
002845.XSHE,2023-11-15,-3.960000000000001
688981.XSHG,2023-11-15,-0.8699999999999974
300059.XSHE,2023-11-15,-21.860000000000127
000010.XSHE,2023-11-15,-1.0700000000000003
002846.XSHE,2023-11-15,-0.6099999999999994
300132.XSHE,2023-11-15,-0.8599999999999994
002984.XSHE,2023-11-15,-0.5700000000000003
300662.XSHE,2023-11-15,-0.879999999999999
000923.XSHE,2023-11-15,-0.9400000000000013
688429.XSHG,2023-11-15,-0.5400000000000027
300139.XSHE,2023-11-15,-1.2299999999999969
600082.XSHG,2023-11-15,-0.370000000000001
600123.XSHG,2023-11-15,-1.3199999999999932
301397.XSHE,2023-11-15,-1.9799999999999969
600558.XSHG,2023-11-15,-0.7199999999999989
605136.XSHG,2023-11-15,-0.13000000000000078
000301.XSHE,2023-11-15,-0.21000000000000085
000565.XSHE,2023-11-15,-0.7800000000000011
301517.XSHE,2023-11-15,-3.030000000000001
002941.XSHE,2023-11-15,-0.2400000000000002
600408.XSHG,2023-11-15,-0.33000000000000007
002818.XSHE,2023-11-15,-0.5700000000000003
600169.XSHG,2023-11-15,-0.3000000000000007
688455.XSHG,2023-11-15,-0.14000000000000057
600456.XSHG,2023-11-15,-1.0600000000000023
688502.XSHG,2023-11-15,-20.180000000000007
301200.XSHE,2023-11-15,-0.6300000000000026
603138.XSHG,2023-11-15,-1.6200000000000045
300382.XSHE,2023-11-15,-2.0900000000000034
000156.XSHE,2023-11-15,-0.22000000000000064
001210.XSHE,2023-11-15,-0.25
688247.XSHG,2023-11-15,-0.15000000000000036
