code,date,price_amplitude
300911.XSHE,2020-12-04,5.759999999999998
000887.XSHE,2020-12-04,6.919999999999959
600415.XSHG,2020-12-04,4.069999999999993
600939.XSHG,2020-12-04,0.02999999999999936
002313.XSHE,2020-12-04,0.7800000000000011
300532.XSHE,2020-12-04,0.6099999999999994
300002.XSHE,2020-12-04,2.769999999999996
000822.XSHE,2020-12-04,0.2699999999999996
002732.XSHE,2020-12-04,0.8399999999999999
300520.XSHE,2020-12-04,2.539999999999999
300426.XSHE,2020-12-04,0.6099999999999994
601298.XSHG,2020-12-04,0.07000000000000028
300593.XSHE,2020-12-04,1.0899999999999999
002697.XSHE,2020-12-04,1.1499999999999986
688599.XSHG,2020-12-04,1.0400000000000027
600997.XSHG,2020-12-04,0.5599999999999987
601198.XSHG,2020-12-04,0.34999999999999964
300540.XSHE,2020-12-04,1.0300000000000011
000719.XSHE,2020-12-04,0.36999999999999744
000806.XSHE,2020-12-04,0.6800000000000015
600238.XSHG,2020-12-04,1.0500000000000007
600469.XSHG,2020-12-04,0.3200000000000003
600211.XSHG,2020-12-04,6.530000000000001
600843.XSHG,2020-12-04,0.10999999999999943
300212.XSHE,2020-12-04,6.400000000000006
002565.XSHE,2020-12-04,2.770000000000003
603232.XSHG,2020-12-04,2.9200000000000017
600867.XSHG,2020-12-04,9.470000000000027
603012.XSHG,2020-12-04,0.14000000000000057
601155.XSHG,2020-12-04,1.740000000000002
603688.XSHG,2020-12-04,0.8999999999999986
603192.XSHG,2020-12-04,0.41000000000000014
688004.XSHG,2020-12-04,0.5600000000000023
600093.XSHG,2020-12-04,1.1300000000000026
600794.XSHG,2020-12-04,1.0300000000000011
600499.XSHG,2020-12-04,6.490000000000009
002722.XSHE,2020-12-04,0.1899999999999995
300779.XSHE,2020-12-04,0.1999999999999993
300428.XSHE,2020-12-04,1.0600000000000023
605099.XSHG,2020-12-04,1.5100000000000016
688027.XSHG,2020-12-04,8.5
601789.XSHG,2020-12-04,0.10999999999999943
002500.XSHE,2020-12-04,0.23000000000000043
600125.XSHG,2020-12-04,1.8199999999999932
300182.XSHE,2020-12-04,3.079999999999984
002970.XSHE,2020-12-04,4.069999999999993
300209.XSHE,2020-12-04,0.5100000000000051
601019.XSHG,2020-12-04,0.16000000000000014
002867.XSHE,2020-12-04,0.6099999999999994
600753.XSHG,2020-12-04,4.3700000000000045
002678.XSHE,2020-12-04,0.25
