date,code,zt,dt,paused
2023-11-17,000001.XSHE,0,0,0.0
2023-11-17,000002.XSHE,0,0,0.0
2023-11-17,000004.XSHE,0,0,0.0
2023-11-17,000005.XSHE,0,0,0.0
2023-11-17,000006.XSHE,0,0,0.0
2023-11-17,000007.XSHE,0,0,0.0
2023-11-17,000008.XSHE,0,0,0.0
2023-11-17,000009.XSHE,0,0,0.0
2023-11-17,000010.XSHE,0,0,0.0
2023-11-17,000011.XSHE,0,0,0.0
2023-11-17,000012.XSHE,0,0,0.0
2023-11-17,000014.XSHE,0,0,0.0
2023-11-17,000016.XSHE,0,0,0.0
2023-11-17,000017.XSHE,0,0,0.0
2023-11-17,000018.XSHE,0,0,
2023-11-17,000019.XSHE,0,0,0.0
2023-11-17,000020.XSHE,0,0,0.0
2023-11-17,000021.XSHE,0,0,0.0
2023-11-17,000022.XSHE,0,0,
2023-11-17,000023.XSHE,0,0,0.0
2023-11-17,000024.XSHE,0,0,
2023-11-17,000025.XSHE,0,0,0.0
2023-11-17,000026.XSHE,0,0,0.0
2023-11-17,000027.XSHE,0,0,0.0
2023-11-17,000028.XSHE,0,0,0.0
2023-11-17,000029.XSHE,0,0,0.0
2023-11-17,000030.XSHE,0,0,0.0
2023-11-17,000031.XSHE,0,0,0.0
2023-11-17,000032.XSHE,0,0,0.0
2023-11-17,000033.XSHE,0,0,
2023-11-17,000034.XSHE,0,0,0.0
2023-11-17,000035.XSHE,0,0,0.0
2023-11-17,000036.XSHE,0,0,0.0
2023-11-17,000037.XSHE,0,0,0.0
2023-11-17,000038.XSHE,0,0,
2023-11-17,000039.XSHE,0,0,0.0
2023-11-17,000040.XSHE,0,0,0.0
2023-11-17,000042.XSHE,0,0,0.0
2023-11-17,000043.XSHE,0,0,
2023-11-17,000045.XSHE,1,1,1.0
2023-11-17,000046.XSHE,0,1,0.0
2023-11-17,000048.XSHE,0,0,0.0
2023-11-17,000049.XSHE,0,0,0.0
2023-11-17,000050.XSHE,0,0,0.0
2023-11-17,000055.XSHE,0,0,0.0
2023-11-17,000056.XSHE,0,1,0.0
2023-11-17,000058.XSHE,0,0,0.0
2023-11-17,000059.XSHE,0,0,0.0
2023-11-17,000060.XSHE,0,0,0.0
2023-11-17,000061.XSHE,0,0,0.0
2023-11-17,000062.XSHE,0,0,0.0
2023-11-17,000063.XSHE,0,0,0.0
2023-11-17,000065.XSHE,0,0,0.0
2023-11-17,000066.XSHE,0,0,0.0
2023-11-17,000068.XSHE,0,0,0.0
2023-11-17,000069.XSHE,0,0,0.0
2023-11-17,000070.XSHE,0,0,0.0
2023-11-17,000078.XSHE,0,0,0.0
2023-11-17,000088.XSHE,0,0,0.0
2023-11-17,000089.XSHE,0,0,0.0
2023-11-17,000090.XSHE,0,0,0.0
2023-11-17,000096.XSHE,0,0,0.0
2023-11-17,000099.XSHE,0,0,0.0
2023-11-17,000100.XSHE,0,0,0.0
2023-11-17,000150.XSHE,0,0,
2023-11-17,000151.XSHE,0,0,0.0
2023-11-17,000153.XSHE,0,0,0.0
2023-11-17,000155.XSHE,0,0,0.0
2023-11-17,000156.XSHE,0,0,0.0
2023-11-17,000157.XSHE,0,0,0.0
2023-11-17,000158.XSHE,0,0,0.0
2023-11-17,000159.XSHE,0,0,0.0
2023-11-17,000166.XSHE,0,0,0.0
2023-11-17,000301.XSHE,0,0,0.0
2023-11-17,000333.XSHE,0,0,0.0
2023-11-17,000338.XSHE,0,0,0.0
2023-11-17,000400.XSHE,0,0,0.0
2023-11-17,000401.XSHE,0,0,0.0
2023-11-17,000402.XSHE,0,0,0.0
2023-11-17,000403.XSHE,0,0,0.0
2023-11-17,000404.XSHE,0,0,0.0
2023-11-17,000406.XSHE,0,0,
2023-11-17,000407.XSHE,0,0,0.0
2023-11-17,000408.XSHE,0,0,0.0
2023-11-17,000409.XSHE,0,0,0.0
2023-11-17,000410.XSHE,0,0,0.0
2023-11-17,000411.XSHE,0,0,0.0
2023-11-17,000413.XSHE,0,0,0.0
2023-11-17,000415.XSHE,0,0,0.0
2023-11-17,000416.XSHE,0,0,0.0
2023-11-17,000417.XSHE,0,0,0.0
2023-11-17,000418.XSHE,0,0,
2023-11-17,000419.XSHE,0,0,0.0
2023-11-17,000420.XSHE,0,0,0.0
2023-11-17,000421.XSHE,0,0,0.0
2023-11-17,000422.XSHE,0,0,0.0
2023-11-17,000423.XSHE,0,0,0.0
2023-11-17,000425.XSHE,0,0,0.0
2023-11-17,000426.XSHE,0,0,0.0
2023-11-17,000428.XSHE,0,0,0.0
