date,code,open,pre_close,high_limit,low_limit,paused,zt,dt
2020-07-15,000001.XSHE,14.78,14.68,16.15,13.21,0.0,0,0
2020-07-15,000002.XSHE,29.0,28.94,31.83,26.05,0.0,0,0
2020-07-15,000004.XSHE,32.54,32.44,35.68,29.2,0.0,0,0
2020-07-15,000005.XSHE,3.08,3.1,3.41,2.79,0.0,0,0
2020-07-15,000006.XSHE,8.68,8.7,9.57,7.83,0.0,0,0
2020-07-15,000007.XSHE,9.26,9.26,10.19,8.33,0.0,0,0
2020-07-15,000008.XSHE,3.18,3.22,3.54,2.9,0.0,0,0
2020-07-15,000009.XSHE,10.37,10.37,11.41,9.33,0.0,0,0
2020-07-15,000010.XSHE,3.86,3.85,4.04,3.66,0.0,0,0
2020-07-15,000011.XSHE,25.0,25.27,27.8,22.74,0.0,0,0
2020-07-15,000012.XSHE,5.82,5.79,6.37,5.21,0.0,0,0
2020-07-15,000014.XSHE,13.99,14.39,15.83,12.95,0.0,0,0
2020-07-15,000016.XSHE,8.48,8.65,9.52,7.79,0.0,0,0
2020-07-15,000017.XSHE,2.82,2.82,2.96,2.68,0.0,0,0
2020-07-15,000019.XSHE,10.53,10.85,11.94,9.77,0.0,0,0
2020-07-15,000020.XSHE,13.3,13.25,14.58,11.93,0.0,0,0
2020-07-15,000021.XSHE,27.47,27.47,30.22,24.72,0.0,0,0
2020-07-15,000023.XSHE,18.15,18.26,20.09,16.43,0.0,0,0
2020-07-15,000025.XSHE,22.4,22.51,24.76,20.26,0.0,0,0
2020-07-15,000026.XSHE,12.75,12.82,14.1,11.54,0.0,0,0
2020-07-15,000027.XSHE,6.01,5.91,6.5,5.32,0.0,0,0
2020-07-15,000028.XSHE,48.85,48.7,53.57,43.83,0.0,0,0
2020-07-15,000029.XSHE,11.17,11.17,11.17,11.17,1.0,0,0
2020-07-15,000030.XSHE,8.58,8.47,9.32,7.62,0.0,0,0
2020-07-15,000031.XSHE,6.33,6.34,6.97,5.71,0.0,0,0
2020-07-15,000032.XSHE,26.15,26.2,28.82,23.58,0.0,0,0
2020-07-15,000034.XSHE,26.86,26.85,29.54,24.17,0.0,0,0
2020-07-15,000035.XSHE,5.57,5.59,6.15,5.03,0.0,0,0
2020-07-15,000036.XSHE,4.63,4.63,5.09,4.17,0.0,0,0
2020-07-15,000037.XSHE,16.6,18.12,19.93,16.31,0.0,0,0
2020-07-15,000038.XSHE,14.75,14.69,16.16,13.22,0.0,0,0
2020-07-15,000039.XSHE,8.62,8.67,9.54,7.8,0.0,0,0
2020-07-15,000040.XSHE,3.4,3.47,3.82,3.12,0.0,0,0
2020-07-15,000042.XSHE,10.51,10.48,11.53,9.43,0.0,0,0
2020-07-15,000045.XSHE,9.46,9.37,10.31,8.43,0.0,0,0
2020-07-15,000046.XSHE,4.69,4.74,5.21,4.27,0.0,0,0
2020-07-15,000048.XSHE,27.3,27.33,30.06,24.6,0.0,0,0
2020-07-15,000049.XSHE,54.21,54.2,59.62,48.78,0.0,0,0
2020-07-15,000050.XSHE,17.45,17.34,19.07,15.61,0.0,0,0
2020-07-15,000055.XSHE,5.27,5.23,5.75,4.71,0.0,0,0
2020-07-15,000056.XSHE,4.22,4.22,4.64,3.8,0.0,0,0
2020-07-15,000058.XSHE,10.3,10.64,11.7,9.58,0.0,0,0
2020-07-15,000059.XSHE,5.1,5.06,5.57,4.55,0.0,0,0
2020-07-15,000060.XSHE,4.84,4.8,5.28,4.32,0.0,0,0
2020-07-15,000061.XSHE,8.8,8.77,9.65,7.89,0.0,0,0
2020-07-15,000062.XSHE,17.97,17.91,19.7,16.12,0.0,0,0
2020-07-15,000063.XSHE,44.8,44.8,49.28,40.32,0.0,0,0
2020-07-15,000065.XSHE,8.3,8.28,9.11,7.45,0.0,0,0
2020-07-15,000066.XSHE,17.19,17.5,19.25,15.75,0.0,0,0
2020-07-15,000068.XSHE,4.01,4.1,4.51,3.69,0.0,0,0
2020-07-15,000069.XSHE,8.18,8.16,8.98,7.34,0.0,0,0
2020-07-15,000070.XSHE,11.2,11.26,12.39,10.13,0.0,0,0
2020-07-15,000078.XSHE,4.81,4.8,5.28,4.32,0.0,0,0
2020-07-15,000088.XSHE,7.41,7.52,8.27,6.77,0.0,0,0
2020-07-15,000089.XSHE,9.83,9.82,10.8,8.84,0.0,0,0
2020-07-15,000090.XSHE,9.15,9.27,10.2,8.34,0.0,0,0
2020-07-15,000096.XSHE,13.06,13.06,14.37,11.75,0.0,0,0
2020-07-15,000099.XSHE,7.76,7.75,8.53,6.98,0.0,0,0
2020-07-15,000100.XSHE,6.74,6.76,7.44,6.08,0.0,0,0
2020-07-15,000150.XSHE,3.93,3.96,4.36,3.56,0.0,0,0
