date,code,zt,dt,paused
2023-05-23,000001.XSHE,0,0,0.0
2023-05-23,000002.XSHE,0,0,0.0
2023-05-23,000004.XSHE,0,0,0.0
2023-05-23,000005.XSHE,0,1,0.0
2023-05-23,000006.XSHE,0,0,0.0
2023-05-23,000007.XSHE,0,1,0.0
2023-05-23,000008.XSHE,0,0,0.0
2023-05-23,000009.XSHE,0,0,0.0
2023-05-23,000010.XSHE,0,0,0.0
2023-05-23,000011.XSHE,0,0,0.0
2023-05-23,000012.XSHE,0,0,0.0
2023-05-23,000014.XSHE,0,0,0.0
2023-05-23,000016.XSHE,0,0,0.0
2023-05-23,000017.XSHE,0,0,0.0
2023-05-23,000018.XSHE,0,0,
2023-05-23,000019.XSHE,0,0,0.0
2023-05-23,000020.XSHE,0,0,0.0
2023-05-23,000021.XSHE,0,0,0.0
2023-05-23,000022.XSHE,0,0,
2023-05-23,000023.XSHE,0,0,0.0
2023-05-23,000024.XSHE,0,0,
2023-05-23,000025.XSHE,0,0,0.0
2023-05-23,000026.XSHE,0,0,0.0
2023-05-23,000027.XSHE,0,0,0.0
2023-05-23,000028.XSHE,0,0,0.0
2023-05-23,000029.XSHE,0,0,0.0
2023-05-23,000030.XSHE,0,0,0.0
2023-05-23,000031.XSHE,0,0,0.0
2023-05-23,000032.XSHE,0,0,0.0
2023-05-23,000033.XSHE,0,0,
2023-05-23,000034.XSHE,0,0,0.0
2023-05-23,000035.XSHE,0,0,0.0
2023-05-23,000036.XSHE,0,0,0.0
2023-05-23,000037.XSHE,0,0,0.0
2023-05-23,000038.XSHE,1,1,1.0
2023-05-23,000039.XSHE,0,0,0.0
2023-05-23,000040.XSHE,0,0,0.0
2023-05-23,000042.XSHE,0,0,0.0
2023-05-23,000043.XSHE,0,0,
2023-05-23,000045.XSHE,0,0,0.0
2023-05-23,000046.XSHE,1,0,0.0
2023-05-23,000048.XSHE,0,0,0.0
2023-05-23,000049.XSHE,0,0,0.0
2023-05-23,000050.XSHE,0,0,0.0
2023-05-23,000055.XSHE,0,0,0.0
2023-05-23,000056.XSHE,0,0,0.0
2023-05-23,000058.XSHE,0,0,0.0
2023-05-23,000059.XSHE,0,0,0.0
2023-05-23,000060.XSHE,0,0,0.0
2023-05-23,000061.XSHE,0,0,0.0
2023-05-23,000062.XSHE,0,0,0.0
2023-05-23,000063.XSHE,0,0,0.0
2023-05-23,000065.XSHE,0,0,0.0
2023-05-23,000066.XSHE,0,0,0.0
2023-05-23,000068.XSHE,1,0,0.0
2023-05-23,000069.XSHE,0,0,0.0
2023-05-23,000070.XSHE,0,0,0.0
2023-05-23,000078.XSHE,0,0,0.0
2023-05-23,000088.XSHE,0,0,0.0
2023-05-23,000089.XSHE,0,0,0.0
2023-05-23,000090.XSHE,0,0,0.0
2023-05-23,000096.XSHE,0,0,0.0
2023-05-23,000099.XSHE,0,0,0.0
2023-05-23,000100.XSHE,0,0,0.0
2023-05-23,000150.XSHE,1,1,1.0
2023-05-23,000151.XSHE,0,0,0.0
2023-05-23,000153.XSHE,0,0,0.0
2023-05-23,000155.XSHE,0,0,0.0
2023-05-23,000156.XSHE,0,0,0.0
2023-05-23,000157.XSHE,0,0,0.0
2023-05-23,000158.XSHE,0,0,0.0
2023-05-23,000159.XSHE,0,0,0.0
2023-05-23,000166.XSHE,0,0,0.0
2023-05-23,000301.XSHE,0,0,0.0
2023-05-23,000333.XSHE,0,0,0.0
2023-05-23,000338.XSHE,0,0,0.0
2023-05-23,000400.XSHE,0,0,0.0
2023-05-23,000401.XSHE,0,0,0.0
2023-05-23,000402.XSHE,0,0,0.0
2023-05-23,000403.XSHE,0,0,0.0
2023-05-23,000404.XSHE,0,0,0.0
2023-05-23,000406.XSHE,0,0,
2023-05-23,000407.XSHE,0,0,0.0
2023-05-23,000408.XSHE,0,0,0.0
2023-05-23,000409.XSHE,0,0,0.0
2023-05-23,000410.XSHE,0,0,0.0
2023-05-23,000411.XSHE,0,0,0.0
2023-05-23,000413.XSHE,0,0,0.0
2023-05-23,000415.XSHE,0,0,0.0
2023-05-23,000416.XSHE,1,0,0.0
