date,code,open,pre_close,high_limit,low_limit,paused,zt,dt
2022-06-08,000001.XSHE,14.16,14.16,15.58,12.74,0.0,0,0
2022-06-08,000002.XSHE,17.44,17.43,19.17,15.69,0.0,0,0
2022-06-08,000004.XSHE,10.02,10.01,10.51,9.51,0.0,0,0
2022-06-08,000005.XSHE,1.88,1.88,1.97,1.79,0.0,0,0
2022-06-08,000006.XSHE,4.4,4.46,4.91,4.01,0.0,0,0
2022-06-08,000007.XSHE,7.12,7.12,7.48,6.76,0.0,0,0
2022-06-08,000008.XSHE,2.59,2.6,2.86,2.34,0.0,0,0
2022-06-08,000009.XSHE,13.55,13.4,14.74,12.06,0.0,0,0
2022-06-08,000010.XSHE,4.14,4.37,4.81,3.93,0.0,0,0
2022-06-08,000011.XSHE,12.62,12.75,14.03,11.48,0.0,0,0
2022-06-08,000012.XSHE,6.35,6.39,7.03,5.75,0.0,0,0
2022-06-08,000014.XSHE,9.36,9.5,10.45,8.55,0.0,0,0
2022-06-08,000016.XSHE,5.61,5.67,6.24,5.1,0.0,0,0
2022-06-08,000017.XSHE,3.42,3.44,3.78,3.1,0.0,0,0
2022-06-08,000019.XSHE,8.74,8.71,9.58,7.84,0.0,0,0
2022-06-08,000020.XSHE,9.07,9.07,9.98,8.16,0.0,0,0
2022-06-08,000021.XSHE,11.23,11.29,12.42,10.16,0.0,0,0
2022-06-08,000023.XSHE,11.25,11.26,12.39,10.13,0.0,0,0
2022-06-08,000025.XSHE,23.5,23.62,25.98,21.26,0.0,0,0
2022-06-08,000026.XSHE,10.36,10.51,11.56,9.46,0.0,0,0
2022-06-08,000027.XSHE,6.4,6.38,7.02,5.74,0.0,0,0
2022-06-08,000028.XSHE,29.45,29.45,32.4,26.51,0.0,0,0
2022-06-08,000029.XSHE,10.21,10.21,11.23,9.19,0.0,0,0
2022-06-08,000030.XSHE,5.79,5.78,6.36,5.2,0.0,0,0
2022-06-08,000031.XSHE,3.86,3.86,4.25,3.47,0.0,0,0
2022-06-08,000032.XSHE,15.73,15.82,17.4,14.24,0.0,0,0
2022-06-08,000034.XSHE,15.49,15.42,16.96,13.88,0.0,0,0
