date,code,open,pre_close,high_limit,low_limit,paused,zt,dt
2020-10-15,000001.XSHE,16.2,16.03,17.63,14.43,0.0,0,0
2020-10-15,000002.XSHE,27.61,27.78,30.56,25.0,0.0,0,0
2020-10-15,000004.XSHE,24.87,23.5,25.85,21.15,0.0,0,0
2020-10-15,000005.XSHE,2.68,2.68,2.95,2.41,0.0,0,0
2020-10-15,000006.XSHE,6.3,6.39,7.03,5.75,0.0,0,0
2020-10-15,000007.XSHE,9.3,9.38,10.32,8.44,0.0,0,0
2020-10-15,000008.XSHE,2.9,2.91,3.2,2.62,0.0,0,0
2020-10-15,000009.XSHE,7.95,7.89,8.68,7.1,0.0,0,0
2020-10-15,000010.XSHE,4.21,4.61,5.07,4.15,0.0,0,0
2020-10-15,000011.XSHE,17.82,18.17,19.99,16.35,0.0,0,0
2020-10-15,000012.XSHE,6.32,6.36,7.0,5.72,0.0,0,0
2020-10-15,000014.XSHE,10.86,10.81,11.89,9.73,0.0,0,0
2020-10-15,000016.XSHE,6.4,6.35,6.99,5.72,0.0,0,0
2020-10-15,000017.XSHE,2.53,2.52,2.65,2.39,0.0,0,0
2020-10-15,000019.XSHE,8.88,8.9,9.79,8.01,0.0,0,0
2020-10-15,000020.XSHE,11.82,11.8,12.98,10.62,0.0,0,0
2020-10-15,000021.XSHE,23.08,22.8,25.08,20.52,0.0,0,0
2020-10-15,000023.XSHE,17.65,17.61,19.37,15.85,0.0,0,0
2020-10-15,000025.XSHE,20.73,20.68,22.75,18.61,0.0,0,0
2020-10-15,000026.XSHE,16.3,16.29,17.92,14.66,0.0,0,0
2020-10-15,000027.XSHE,5.83,5.77,6.35,5.19,0.0,0,0
2020-10-15,000028.XSHE,49.3,49.5,54.45,44.55,0.0,0,0
2020-10-15,000029.XSHE,11.17,11.17,11.17,11.17,1.0,0,0
2020-10-15,000030.XSHE,7.01,7.01,7.71,6.31,0.0,0,0
2020-10-15,000031.XSHE,4.78,4.8,5.28,4.32,0.0,0,0
2020-10-15,000032.XSHE,23.22,23.04,25.34,20.74,0.0,0,0
2020-10-15,000034.XSHE,28.1,29.81,32.79,26.83,0.0,0,0
2020-10-15,000035.XSHE,4.78,4.78,5.26,4.3,0.0,0,0
2020-10-15,000036.XSHE,4.22,4.23,4.65,3.81,0.0,0,0
2020-10-15,000037.XSHE,15.36,15.37,16.91,13.83,0.0,0,0
2020-10-15,000038.XSHE,12.51,12.39,13.63,11.15,0.0,0,0
2020-10-15,000039.XSHE,9.57,9.56,10.52,8.6,0.0,0,0
2020-10-15,000040.XSHE,3.62,3.56,3.92,3.2,0.0,0,0
2020-10-15,000042.XSHE,9.45,9.53,10.48,8.58,0.0,0,0
2020-10-15,000045.XSHE,8.46,8.45,9.3,7.61,0.0,0,0
2020-10-15,000046.XSHE,4.39,4.47,4.92,4.02,0.0,0,0
2020-10-15,000048.XSHE,38.65,38.65,42.52,34.79,0.0,0,0
2020-10-15,000049.XSHE,51.98,51.52,56.67,46.37,0.0,0,0
2020-10-15,000050.XSHE,15.59,15.59,17.15,14.03,0.0,0,0
2020-10-15,000055.XSHE,5.03,5.04,5.54,4.54,0.0,0,0
2020-10-15,000056.XSHE,3.4,3.38,3.72,3.04,0.0,0,0
2020-10-15,000058.XSHE,8.13,8.2,9.02,7.38,0.0,0,0
2020-10-15,000059.XSHE,5.01,5.0,5.5,4.5,0.0,0,0
2020-10-15,000060.XSHE,4.32,4.34,4.77,3.91,0.0,0,0
2020-10-15,000061.XSHE,7.53,7.55,8.31,6.8,0.0,0,0
2020-10-15,000062.XSHE,14.92,14.89,16.38,13.4,0.0,0,0
2020-10-15,000063.XSHE,35.3,35.3,38.83,31.77,0.0,0,0
2020-10-15,000065.XSHE,7.71,7.71,8.48,6.94,0.0,0,0
2020-10-15,000066.XSHE,16.63,16.59,18.25,14.93,0.0,0,0
2020-10-15,000068.XSHE,3.3,3.28,3.61,2.95,0.0,0,0
2020-10-15,000069.XSHE,6.86,6.86,7.55,6.17,0.0,0,0
2020-10-15,000070.XSHE,10.32,10.38,11.42,9.34,0.0,0,0
2020-10-15,000078.XSHE,4.33,4.32,4.75,3.89,0.0,0,0
2020-10-15,000088.XSHE,7.1,7.5,8.25,6.75,0.0,0,0
2020-10-15,000089.XSHE,8.95,8.92,9.81,8.03,0.0,0,0
2020-10-15,000090.XSHE,7.46,7.46,8.21,6.71,0.0,0,0
2020-10-15,000096.XSHE,11.23,11.23,12.35,10.11,0.0,0,0
2020-10-15,000099.XSHE,7.81,7.82,8.6,7.04,0.0,0,0
2020-10-15,000100.XSHE,6.32,6.33,6.96,5.7,0.0,0,0
2020-10-15,000150.XSHE,3.45,3.48,3.83,3.13,0.0,0,0
2020-10-15,000151.XSHE,9.16,9.23,10.15,8.31,0.0,0,0
2020-10-15,000153.XSHE,9.69,9.72,10.69,8.75,0.0,0,0
2020-10-15,000155.XSHE,4.91,4.95,5.45,4.46,0.0,0,0
2020-10-15,000156.XSHE,10.21,10.2,11.22,9.18,0.0,0,0
2020-10-15,000157.XSHE,8.8,8.74,9.61,7.87,0.0,0,0
2020-10-15,000158.XSHE,7.9,7.86,8.65,7.07,0.0,0,0
2020-10-15,000159.XSHE,5.84,5.87,6.46,5.28,0.0,0,0
2020-10-15,000166.XSHE,5.44,5.44,5.98,4.9,0.0,0,0
2020-10-15,000301.XSHE,6.77,6.68,7.35,6.01,0.0,0,0
2020-10-15,000333.XSHE,75.03,75.25,82.78,67.73,0.0,0,0
2020-10-15,000338.XSHE,16.12,16.22,17.84,14.6,0.0,0,0
2020-10-15,000400.XSHE,15.01,15.01,16.51,13.51,0.0,0,0
2020-10-15,000401.XSHE,16.0,16.09,17.7,14.48,0.0,0,0
2020-10-15,000402.XSHE,6.66,6.68,7.35,6.01,0.0,0,0
2020-10-15,000403.XSHE,36.11,36.08,39.69,32.47,0.0,0,0
2020-10-15,000404.XSHE,4.08,4.07,4.48,3.66,0.0,0,0
2020-10-15,000407.XSHE,3.81,3.81,4.19,3.43,0.0,0,0
2020-10-15,000408.XSHE,7.02,7.02,7.37,6.67,0.0,0,0
2020-10-15,000409.XSHE,4.16,4.17,4.38,3.96,0.0,0,0
2020-10-15,000410.XSHE,4.42,4.47,4.69,4.25,0.0,0,0
2020-10-15,000411.XSHE,19.5,19.94,21.93,17.95,0.0,0,0
2020-10-15,000413.XSHE,3.05,3.12,3.43,2.81,0.0,0,0
2020-10-15,000415.XSHE,2.84,2.83,3.11,2.55,0.0,0,0
2020-10-15,000416.XSHE,7.5,7.4,8.14,6.66,0.0,0,0
2020-10-15,000417.XSHE,5.51,5.52,6.07,4.97,0.0,0,0
2020-10-15,000419.XSHE,4.74,4.76,5.24,4.28,0.0,0,0
2020-10-15,000420.XSHE,2.08,2.11,2.32,1.9,0.0,0,0
2020-10-15,000421.XSHE,6.8,6.77,7.45,6.09,0.0,0,0
