date,code,open,close,low,high,volume,money,turnover_ratio
2021-01-27,000001.XSHE,2694.37,2787.36,2694.37,2834.46,1071590.0,2976800955.73,0.6669
2021-01-27,000002.XSHE,4246.73,4205.25,4200.96,4283.92,506379.0,2146772480.09,0.7456
2021-01-27,000004.XSHE,144.75,148.7,140.8,151.82,418722.0,61586705.57,2.7082
2021-01-27,000005.XSHE,22.18,22.49,22.18,22.59,366671.0,8208341.37,0.3543
2021-01-27,000006.XSHE,240.99,240.99,240.04,244.78,106004.0,25630890.35,0.373
2021-01-27,000007.XSHE,36.89,36.16,35.92,36.89,1333822.0,48434000.5,5.2045
2021-01-27,000008.XSHE,67.74,68.55,67.47,69.36,461786.0,31546001.54,0.4658
2021-01-27,000009.XSHE,71.35,71.25,70.94,72.15,3469261.0,247876557.48,1.3642
2021-01-27,000010.XSHE,49.98,50.38,49.85,51.18,294027.0,14837830.0,0.7485
2021-01-27,000011.XSHE,41.69,42.63,41.38,43.8,1648152.0,70158383.92,1.2243
2021-01-27,000012.XSHE,218.57,219.86,212.77,220.83,997697.0,216434229.21,1.6435
2021-01-27,000014.XSHE,69.59,70.87,69.14,71.88,273674.0,19328445.21,1.2408
2021-01-27,000016.XSHE,169.61,167.47,164.38,171.51,1723235.0,288043978.03,2.5639
2021-01-27,000017.XSHE,7.58,8.0,7.52,8.0,1545304.0,12142645.12,1.6596
2021-01-27,000019.XSHE,36.95,36.17,35.78,36.95,823782.0,29743843.45,1.1015
2021-01-27,000020.XSHE,20.67,20.55,19.99,21.96,5005501.0,103292926.2,6.6394
2021-01-27,000021.XSHE,319.1,320.53,319.1,330.51,1383510.0,447630473.94,1.4922
2021-01-27,000023.XSHE,44.61,44.45,44.24,45.5,95411.0,4269054.0,0.1841
2021-01-27,000025.XSHE,42.83,42.94,42.47,43.62,580742.0,24982657.38,0.4049
2021-01-27,000026.XSHE,104.4,114.75,104.4,114.75,1016296.0,112934801.61,2.4994
2021-01-27,000027.XSHE,128.96,133.12,128.96,135.09,2480767.0,329559997.77,1.1417
2021-01-27,000028.XSHE,156.28,160.79,155.8,160.91,1219046.0,192598471.38,1.321
2021-01-27,000029.XSHE,15.65,15.46,15.44,15.9,3456812.0,53913382.29,0.8987
2021-01-27,000030.XSHE,23.01,22.97,22.7,23.21,1281659.0,29402722.04,0.2486
2021-01-27,000031.XSHE,78.48,77.71,77.52,80.2,319376.0,25141271.86,0.3233
2021-01-27,000032.XSHE,75.16,75.87,74.62,77.41,308649.0,23500473.28,0.3127
2021-01-27,000034.XSHE,57.23,57.78,56.56,58.58,2981230.0,172172800.43,1.8288
2021-01-27,000035.XSHE,17.77,18.0,17.77,18.14,1107714.0,19942808.78,0.2084
2021-01-27,000036.XSHE,33.19,32.93,32.75,33.37,466190.0,15346614.1,0.2782
2021-01-27,000037.XSHE,52.63,51.74,51.57,53.04,639487.0,33202940.85,1.1096
2021-01-27,000038.XSHE,29.31,29.68,29.02,29.9,973155.0,28855452.6,1.2834
2021-01-27,000039.XSHE,529.49,514.98,501.7,538.44,1789148.0,918435685.36,3.6003
2021-01-27,000040.XSHE,13.8,13.56,13.47,13.8,3882675.0,52961461.46,1.6952
2021-01-27,000042.XSHE,118.24,117.85,117.32,120.09,107757.0,12797927.91,0.214
2021-01-27,000045.XSHE,20.17,20.2,19.9,20.55,611958.0,12362565.0,0.3919
2021-01-27,000046.XSHE,103.46,101.76,101.76,104.82,324955.0,33352417.13,0.2139
2021-01-27,000048.XSHE,145.38,141.24,140.46,145.57,254178.0,36138679.25,0.4089
2021-01-27,000049.XSHE,406.82,391.63,376.94,407.37,1284719.0,502242990.84,3.4319
2021-01-27,000050.XSHE,140.83,137.73,137.39,143.59,3213075.0,447969518.82,1.4727
