date,code,open,close,low,high,volume,money,turnover_ratio
2021-10-28,000728.XSHE,20.28,20.17,20.09,20.42,6217847.0,125778263.01,0.3982
2021-10-28,000729.XSHE,52.68,52.76,52.34,53.26,1154252.0,60753653.85,0.3821
2021-10-28,000731.XSHE,130.76,120.13,120.13,132.69,5571774.0,694039520.63,11.485
2021-10-28,000732.XSHE,7.2,6.95,6.88,7.2,5798685.0,40747222.0,0.8316
2021-10-28,000733.XSHE,234.63,227.62,227.09,242.88,2362291.0,551998446.34,1.0148
2021-10-28,000735.XSHE,41.9,40.94,40.88,42.02,1958013.0,80585172.51,1.0287
2021-10-28,000736.XSHE,22.94,21.9,21.81,23.17,485508.0,10816730.05,0.3172
2021-10-28,000737.XSHE,29.1,28.31,28.2,29.42,1290769.0,36893219.6,0.9289
2021-10-28,000738.XSHE,48.2,47.46,46.4,48.7,12428957.0,591434445.9,1.9801
2021-10-28,000739.XSHE,408.95,423.58,407.06,424.84,706565.0,294092632.92,0.7559
2021-10-28,000750.XSHE,49.72,49.85,49.46,49.98,1654111.0,82332679.6,0.3954
2021-10-28,000751.XSHE,13.57,13.02,12.88,13.74,12169143.0,159880826.98,2.9727
2021-10-28,000752.XSHE,28.8,28.49,28.14,29.81,362134.0,10415863.98,0.6936
2021-10-28,000753.XSHE,29.18,28.85,28.52,29.18,482954.0,13925305.38,0.5323
2021-10-28,000755.XSHE,9.76,9.57,9.49,9.9,2110181.0,20398359.0,1.2299
2021-10-28,000756.XSHE,15.19,15.01,14.93,15.19,503162.0,7540130.5,0.2373
2021-10-28,000757.XSHE,20.09,19.09,19.04,20.14,2277718.0,44123726.69,2.2266
2021-10-28,000758.XSHE,90.04,86.45,85.59,90.38,2296440.0,200495382.02,1.9922
2021-10-28,000759.XSHE,35.26,35.91,35.04,35.91,327998.0,11654248.31,0.3518
2021-10-28,000761.XSHE,9.68,9.39,9.26,9.76,27142036.0,256166819.75,1.5369
2021-10-28,000762.XSHE,299.57,271.68,269.47,302.83,10481998.0,2970915335.65,11.1141
