code,low_close_diff
603398.XSHG,-0.25
600871.XSHG,-0.09999999999999964
600215.XSHG,-0.11000000000000121
000521.XSHE,-0.17999999999999972
688221.XSHG,-0.08999999999999986
600311.XSHG,-0.23000000000000043
002119.XSHE,-0.030000000000001137
600621.XSHG,-22.36999999999989
000421.XSHE,-0.8000000000000043
601155.XSHG,-0.3199999999999932
601020.XSHG,-0.5
300690.XSHE,-0.30999999999998806
002133.XSHE,-0.030000000000001137
300536.XSHE,-1.0300000000000011
003016.XSHE,0.0
002577.XSHE,-0.14000000000000057
000545.XSHE,0.0
600151.XSHG,-0.4200000000000017
600815.XSHG,-0.129999999999999
603739.XSHG,-0.370000000000001
000607.XSHE,-0.03999999999999915
002369.XSHE,-0.7699999999999996
300011.XSHE,-0.3400000000000034
600888.XSHG,-0.7800000000000011
002631.XSHE,-1.1899999999999977
002552.XSHE,-0.13000000000000256
000514.XSHE,0.0
601106.XSHG,-0.040000000000000036
600649.XSHG,-0.6499999999999915
600184.XSHG,-0.490000000000002
600297.XSHG,-0.13000000000000256
002970.XSHE,-0.8499999999999943
600429.XSHG,-0.08000000000000007
600537.XSHG,-0.08999999999999986
300649.XSHE,-0.08000000000000185
688586.XSHG,-0.030000000000001137
688037.XSHG,-0.20999999999999375
688059.XSHG,-7.799999999999997
002632.XSHE,-0.6300000000000026
300267.XSHE,-0.09999999999999432
688058.XSHG,-1.5300000000000011
688002.XSHG,-1.4100000000000108
002543.XSHE,-0.19000000000000483
603607.XSHG,-0.16000000000000014
600676.XSHG,-0.14999999999999858
002224.XSHE,0.0
002556.XSHE,-0.5899999999999963
002474.XSHE,-0.13000000000000256
688006.XSHG,-0.5600000000000023
002522.XSHE,-0.0799999999999983
000985.XSHE,-0.129999999999999
002296.XSHE,-0.8699999999999974
000955.XSHE,-0.07000000000000028
300806.XSHE,-0.9099999999999966
601233.XSHG,-2.9200000000000017
600802.XSHG,-0.3999999999999986
600501.XSHG,-0.22999999999999687
300545.XSHE,-0.6300000000000026
000961.XSHE,-0.04999999999999716
603906.XSHG,-0.259999999999998
601949.XSHG,-0.10999999999999943
002430.XSHE,-0.7000000000000028
600236.XSHG,-0.4899999999999949
600860.XSHG,-0.09999999999999964
601118.XSHG,-0.0600000000000005
002753.XSHE,-0.3500000000000014
600856.XSHG,-0.4800000000000004
601577.XSHG,-0.019999999999999574
