code,date,low_close_diff
300256.XSHE,2021-12-22,-0.1899999999999995
002225.XSHE,2021-12-22,-0.23000000000000043
688588.XSHG,2021-12-22,-0.13000000000000078
300588.XSHE,2021-12-22,-0.5300000000000011
603269.XSHG,2021-12-22,-0.09999999999999964
605277.XSHG,2021-12-22,-0.35999999999999943
601668.XSHG,2021-12-22,-0.03999999999999915
300287.XSHE,2021-12-22,-2.0999999999999943
002295.XSHE,2021-12-22,-0.11999999999999922
600858.XSHG,2021-12-22,-0.4200000000000017
603323.XSHG,2021-12-22,0.0
300166.XSHE,2021-12-22,-5.049999999999983
603676.XSHG,2021-12-22,-0.21000000000000085
600536.XSHG,2021-12-22,-1.8000000000000114
000929.XSHE,2021-12-22,-0.15000000000000213
600103.XSHG,2021-12-22,-0.3800000000000008
603015.XSHG,2021-12-22,-0.22000000000000064
688109.XSHG,2021-12-22,-0.480000000000004
688698.XSHG,2021-12-22,-0.1999999999999993
688800.XSHG,2021-12-22,-0.8899999999999864
000758.XSHE,2021-12-22,-0.3399999999999892
300595.XSHE,2021-12-22,-3.9700000000000273
600352.XSHG,2021-12-22,-0.5699999999999932
300931.XSHE,2021-12-22,-0.030000000000001137
002048.XSHE,2021-12-22,-2.1299999999999955
002327.XSHE,2021-12-22,-1.5
300789.XSHE,2021-12-22,-0.7100000000000009
605001.XSHG,2021-12-22,-0.040000000000000924
002433.XSHE,2021-12-22,-2.1900000000000013
600105.XSHG,2021-12-22,-3.489999999999995
002324.XSHE,2021-12-22,-5.920000000000002
002641.XSHE,2021-12-22,-0.8100000000000023
300618.XSHE,2021-12-22,-0.6800000000000068
601390.XSHG,2021-12-22,-0.08999999999999986
002892.XSHE,2021-12-22,-1.019999999999996
000533.XSHE,2021-12-22,-0.5
002441.XSHE,2021-12-22,-2.8999999999999986
000950.XSHE,2021-12-22,-0.049999999999998934
300469.XSHE,2021-12-22,-0.18999999999999773
000989.XSHE,2021-12-22,-1.240000000000002
600892.XSHG,2021-12-22,-0.240000000000002
688598.XSHG,2021-12-22,-6.829999999999984
603713.XSHG,2021-12-22,-5.780000000000001
002352.XSHE,2021-12-22,-7.5400000000000205
301046.XSHE,2021-12-22,-0.6099999999999994
688212.XSHG,2021-12-22,-0.9799999999999969
603882.XSHG,2021-12-22,-0.8100000000000023
001211.XSHE,2021-12-22,0.0
603868.XSHG,2021-12-22,-0.9500000000000028
300279.XSHE,2021-12-22,-0.28999999999999915
688678.XSHG,2021-12-22,-1.6199999999999974
600760.XSHG,2021-12-22,-1.1800000000000068
000506.XSHE,2021-12-22,-0.05999999999999872
002606.XSHE,2021-12-22,-0.25
300653.XSHE,2021-12-22,-0.480000000000004
688219.XSHG,2021-12-22,-0.22999999999999865
601377.XSHG,2021-12-22,-0.14999999999999858
600576.XSHG,2021-12-22,-0.6999999999999993
600327.XSHG,2021-12-22,-0.3299999999999983
002231.XSHE,2021-12-22,-0.07000000000000028
603650.XSHG,2021-12-22,-0.2700000000000031
002403.XSHE,2021-12-22,-0.0600000000000005
600810.XSHG,2021-12-22,-0.8599999999999994
601600.XSHG,2021-12-22,-0.07999999999999918
002313.XSHE,2021-12-22,-0.129999999999999
603326.XSHG,2021-12-22,-0.5399999999999991
002291.XSHE,2021-12-22,-1.7100000000000009
300699.XSHE,2021-12-22,-0.4099999999999966
300828.XSHE,2021-12-22,-0.46999999999999886
300270.XSHE,2021-12-22,-0.6700000000000017
002377.XSHE,2021-12-22,-0.03999999999999915
600651.XSHG,2021-12-22,-281.16999999999825
688425.XSHG,2021-12-22,-0.009999999999999787
688319.XSHG,2021-12-22,-0.6799999999999997
601881.XSHG,2021-12-22,-0.009999999999999787
003016.XSHE,2021-12-22,-0.16000000000000014
688700.XSHG,2021-12-22,-3.259999999999991
300313.XSHE,2021-12-22,-0.41999999999999815
603363.XSHG,2021-12-22,-0.27999999999999936
600336.XSHG,2021-12-22,-0.19000000000000128
600854.XSHG,2021-12-22,-1.4399999999999977
002788.XSHE,2021-12-22,-0.23000000000000043
600495.XSHG,2021-12-22,-0.759999999999998
000856.XSHE,2021-12-22,-0.1999999999999993
603798.XSHG,2021-12-22,-0.490000000000002
