code,date,low_close_diff
300256.XSHE,2021-11-30,-0.08999999999999986
002225.XSHE,2021-11-30,-0.21000000000000085
688588.XSHG,2021-11-30,-0.7100000000000009
300588.XSHE,2021-11-30,-0.129999999999999
603269.XSHG,2021-11-30,-0.33999999999999986
605277.XSHG,2021-11-30,-0.30999999999999517
601668.XSHG,2021-11-30,-0.019999999999999574
300287.XSHE,2021-11-30,-0.8600000000000136
002295.XSHE,2021-11-30,-0.17999999999999972
600858.XSHG,2021-11-30,-0.9000000000000057
603323.XSHG,2021-11-30,-0.05999999999999961
300166.XSHE,2021-11-30,-7.469999999999999
603676.XSHG,2021-11-30,-0.3299999999999983
600536.XSHG,2021-11-30,-8.120000000000005
000929.XSHE,2021-11-30,-0.25
600103.XSHG,2021-11-30,-0.5400000000000009
603015.XSHG,2021-11-30,-0.370000000000001
688109.XSHG,2021-11-30,-0.7100000000000009
688698.XSHG,2021-11-30,-0.25
688800.XSHG,2021-11-30,-8.670000000000002
000758.XSHE,2021-11-30,-0.5100000000000051
300595.XSHE,2021-11-30,-8.549999999999955
600352.XSHG,2021-11-30,-0.5699999999999932
300931.XSHE,2021-11-30,-0.7999999999999989
002048.XSHE,2021-11-30,-5.859999999999985
002327.XSHE,2021-11-30,-1.1800000000000068
300789.XSHE,2021-11-30,-0.2700000000000031
605001.XSHG,2021-11-30,-0.129999999999999
002433.XSHE,2021-11-30,-1.3499999999999979
600105.XSHG,2021-11-30,-0.5799999999999983
002324.XSHE,2021-11-30,-1.0600000000000023
002641.XSHE,2021-11-30,-0.36999999999999744
300618.XSHE,2021-11-30,-0.6700000000000159
601390.XSHG,2021-11-30,-0.009999999999999787
002892.XSHE,2021-11-30,-0.4799999999999969
000533.XSHE,2021-11-30,-0.120000000000001
002441.XSHE,2021-11-30,-0.9200000000000017
000950.XSHE,2021-11-30,-0.14000000000000057
300469.XSHE,2021-11-30,-1.6000000000000014
000989.XSHE,2021-11-30,-0.9500000000000028
600892.XSHG,2021-11-30,-0.3000000000000007
688598.XSHG,2021-11-30,-12.069999999999993
603713.XSHG,2021-11-30,-2.6100000000000136
002352.XSHE,2021-11-30,-0.7299999999999898
301046.XSHE,2021-11-30,0.0
688212.XSHG,2021-11-30,-0.8500000000000014
603882.XSHG,2021-11-30,-2.9200000000000017
001211.XSHE,2021-11-30,-0.07000000000000028
603868.XSHG,2021-11-30,-0.38000000000000256
300279.XSHE,2021-11-30,-0.5799999999999983
688678.XSHG,2021-11-30,-0.39000000000000057
600760.XSHG,2021-11-30,-6.099999999999966
000506.XSHE,2021-11-30,-0.05999999999999872
002606.XSHE,2021-11-30,-0.6199999999999974
300653.XSHE,2021-11-30,-1.6099999999999994
688219.XSHG,2021-11-30,-0.6300000000000008
601377.XSHG,2021-11-30,-0.07000000000000028
600576.XSHG,2021-11-30,-0.08999999999999986
600327.XSHG,2021-11-30,-0.6599999999999966
002231.XSHE,2021-11-30,-1.0500000000000007
603650.XSHG,2021-11-30,-1.0399999999999991
002403.XSHE,2021-11-30,-0.15000000000000036
600810.XSHG,2021-11-30,-0.779999999999994
601600.XSHG,2021-11-30,-0.0699999999999994
002313.XSHE,2021-11-30,-1.0199999999999996
603326.XSHG,2021-11-30,-0.21000000000000085
002291.XSHE,2021-11-30,-0.14999999999999858
300699.XSHE,2021-11-30,-0.9100000000000108
300828.XSHE,2021-11-30,-1.0799999999999983
300270.XSHE,2021-11-30,-1.2000000000000028
002377.XSHE,2021-11-30,-0.129999999999999
600651.XSHG,2021-11-30,-112.45999999999913
688425.XSHG,2021-11-30,-0.02999999999999936
688319.XSHG,2021-11-30,-0.26000000000000156
601881.XSHG,2021-11-30,-0.02999999999999936
003016.XSHE,2021-11-30,-0.06999999999999851
688700.XSHG,2021-11-30,-1.1899999999999977
300313.XSHE,2021-11-30,-0.16000000000000014
603363.XSHG,2021-11-30,-0.10999999999999943
600336.XSHG,2021-11-30,-0.8200000000000003
600854.XSHG,2021-11-30,-1.3100000000000023
002788.XSHE,2021-11-30,-0.34999999999999787
600495.XSHG,2021-11-30,-0.379999999999999
000856.XSHE,2021-11-30,-0.25
603798.XSHG,2021-11-30,-0.19000000000000128
300338.XSHE,2021-11-30,-0.9200000000000017
600371.XSHG,2021-11-30,-0.4299999999999997
300232.XSHE,2021-11-30,-0.10000000000000853
000421.XSHE,2021-11-30,-0.6099999999999994
002816.XSHE,2021-11-30,-0.3500000000000014
300157.XSHE,2021-11-30,-0.48999999999999844
300762.XSHE,2021-11-30,-4.800000000000011
605090.XSHG,2021-11-30,-1.1199999999999974
601226.XSHG,2021-11-30,-0.129999999999999
601999.XSHG,2021-11-30,-0.03000000000000025
000877.XSHE,2021-11-30,-0.5099999999999909
