code,date,momentum_5d
603999.XSHG,2020-01-06,
300510.XSHE,2020-01-06,
002289.XSHE,2020-01-06,
002481.XSHE,2020-01-06,
300724.XSHE,2020-01-06,
600220.XSHG,2020-01-06,
600730.XSHG,2020-01-06,
603108.XSHG,2020-01-06,
600199.XSHG,2020-01-06,
601018.XSHG,2020-01-06,
601336.XSHG,2020-01-06,
000951.XSHE,2020-01-06,
600599.XSHG,2020-01-06,
002443.XSHE,2020-01-06,
603969.XSHG,2020-01-06,
600883.XSHG,2020-01-06,
300307.XSHE,2020-01-06,
603917.XSHG,2020-01-06,
600355.XSHG,2020-01-06,
300547.XSHE,2020-01-06,
000554.XSHE,2020-01-06,
000516.XSHE,2020-01-06,
601229.XSHG,2020-01-06,
600039.XSHG,2020-01-06,
601020.XSHG,2020-01-06,
000869.XSHE,2020-01-06,
603725.XSHG,2020-01-06,
603177.XSHG,2020-01-06,
600288.XSHG,2020-01-06,
300164.XSHE,2020-01-06,
002012.XSHE,2020-01-06,
002590.XSHE,2020-01-06,
300738.XSHE,2020-01-06,
300207.XSHE,2020-01-06,
002938.XSHE,2020-01-06,
600095.XSHG,2020-01-06,
002876.XSHE,2020-01-06,
002502.XSHE,2020-01-06,
002542.XSHE,2020-01-06,
000736.XSHE,2020-01-06,
600623.XSHG,2020-01-06,
300534.XSHE,2020-01-06,
603815.XSHG,2020-01-06,
000096.XSHE,2020-01-06,
300359.XSHE,2020-01-06,
002826.XSHE,2020-01-06,
600382.XSHG,2020-01-06,
300512.XSHE,2020-01-06,
600588.XSHG,2020-01-06,
600361.XSHG,2020-01-06,
600236.XSHG,2020-01-06,
000565.XSHE,2020-01-06,
000998.XSHE,2020-01-06,
300531.XSHE,2020-01-06,
002224.XSHE,2020-01-06,
002337.XSHE,2020-01-06,
002453.XSHE,2020-01-06,
601512.XSHG,2020-01-06,
300799.XSHE,2020-01-06,
603697.XSHG,2020-01-06,
000155.XSHE,2020-01-06,
600667.XSHG,2020-01-06,
300437.XSHE,2020-01-06,
002836.XSHE,2020-01-06,
600537.XSHG,2020-01-06,
603816.XSHG,2020-01-06,
300514.XSHE,2020-01-06,
300033.XSHE,2020-01-06,
002459.XSHE,2020-01-06,
300084.XSHE,2020-01-06,
000679.XSHE,2020-01-06,
600403.XSHG,2020-01-06,
300366.XSHE,2020-01-06,
000055.XSHE,2020-01-06,
300025.XSHE,2020-01-06,
300363.XSHE,2020-01-06,
600290.XSHG,2020-01-06,
603008.XSHG,2020-01-06,
601236.XSHG,2020-01-06,
600742.XSHG,2020-01-06,
300346.XSHE,2020-01-06,
300726.XSHE,2020-01-06,
002467.XSHE,2020-01-06,
000159.XSHE,2020-01-06,
600592.XSHG,2020-01-06,
600331.XSHG,2020-01-06,
002261.XSHE,2020-01-06,
002310.XSHE,2020-01-06,
002181.XSHE,2020-01-06,
000837.XSHE,2020-01-06,
600808.XSHG,2020-01-06,
002714.XSHE,2020-01-06,
