code,date,momentum_5d
603999.XSHG,2023-03-09,-0.008264462809917439
300510.XSHE,2023-03-09,-0.028633171258779067
002289.XSHE,2023-03-09,-0.012221423436376666
002481.XSHE,2023-03-09,-0.029034494713121806
300724.XSHE,2023-03-09,0.035857532488368316
688328.XSHG,2023-03-09,0.03907256333190201
600220.XSHG,2023-03-09,-0.041101356743814765
600730.XSHG,2023-03-09,0.016158940397350996
603108.XSHG,2023-03-09,0.12479547820913273
600199.XSHG,2023-03-09,-0.026628521126760507
601018.XSHG,2023-03-09,-0.002123142250530785
601336.XSHG,2023-03-09,-0.05164806644173381
000951.XSHE,2023-03-09,-0.09892127610741341
600599.XSHG,2023-03-09,0.026154891304347894
002443.XSHE,2023-03-09,-0.016538037486218293
688161.XSHG,2023-03-09,0.007637231503579978
603969.XSHG,2023-03-09,-0.026767043078209984
600883.XSHG,2023-03-09,-0.019979242345614878
300307.XSHE,2023-03-09,-0.018379281537176273
603917.XSHG,2023-03-09,-0.10023918243096319
301088.XSHE,2023-03-09,-0.035300316122234054
600355.XSHG,2023-03-09,-0.024234110653863827
300547.XSHE,2023-03-09,-0.07237698516011437
000554.XSHE,2023-03-09,-0.009890109890109855
000516.XSHE,2023-03-09,-0.017165305569532108
301236.XSHE,2023-03-09,-0.0041386445938955685
601229.XSHG,2023-03-09,0.009895547003848204
600039.XSHG,2023-03-09,0.003000617774247649
301228.XSHE,2023-03-09,0.04692082111436946
301260.XSHE,2023-03-09,-0.10654857756307035
601020.XSHG,2023-03-09,-0.06112759643916921
000869.XSHE,2023-03-09,-0.03560229945126747
603725.XSHG,2023-03-09,-0.011607142857142816
603177.XSHG,2023-03-09,-0.03357996585088219
301419.XSHE,2023-03-09,0.008916920400174
600288.XSHG,2023-03-09,0.038404968132047745
300164.XSHE,2023-03-09,0.009181050312155659
002012.XSHE,2023-03-09,-0.033292978208232404
605133.XSHG,2023-03-09,-0.039628313746925437
300936.XSHE,2023-03-09,0.005428571428571338
688182.XSHG,2023-03-09,-0.049336870026525204
002590.XSHE,2023-03-09,-0.057613168724279906
300738.XSHE,2023-03-09,0.00521570672826166
300894.XSHE,2023-03-09,-0.0873128002260527
300207.XSHE,2023-03-09,-0.036837196909139336
002938.XSHE,2023-03-09,0.020322580645161237
600095.XSHG,2023-03-09,-0.06474413344642349
002876.XSHE,2023-03-09,-0.037202191361957015
002502.XSHE,2023-03-09,-0.04510978043912173
002542.XSHE,2023-03-09,-0.012641159615708775
000736.XSHE,2023-03-09,-0.0342990775626868
600623.XSHG,2023-03-09,-0.012816299704239142
301012.XSHE,2023-03-09,-0.02751854510648477
300534.XSHE,2023-03-09,-0.02262709374081706
603815.XSHG,2023-03-09,-0.0035545023696681444
000096.XSHE,2023-03-09,-0.01572945340149423
300359.XSHE,2023-03-09,-0.059658223985352477
002826.XSHE,2023-03-09,-0.030962343096234246
600382.XSHG,2023-03-09,-0.01714677640603568
300512.XSHE,2023-03-09,0.0
600588.XSHG,2023-03-09,-0.037020340328755674
300885.XSHE,2023-03-09,0.007280785058562778
600361.XSHG,2023-03-09,-0.02346208869814026
600236.XSHG,2023-03-09,-0.008545034642032268
000565.XSHE,2023-03-09,-0.013348810214741658
000998.XSHE,2023-03-09,-0.024762208406397757
300531.XSHE,2023-03-09,-0.0027527986786566316
002224.XSHE,2023-03-09,-0.006053617757278751
002337.XSHE,2023-03-09,-0.027402011793270842
688055.XSHG,2023-03-09,0.0065502183406114245
002453.XSHE,2023-03-09,-0.018928164196123087
601512.XSHG,2023-03-09,-0.01821493624772319
300799.XSHE,2023-03-09,-0.013347727941898091
603697.XSHG,2023-03-09,-0.055893074119076624
000155.XSHE,2023-03-09,-0.017094017094017033
301205.XSHE,2023-03-09,-0.10071428571428565
301129.XSHE,2023-03-09,-0.012981199641897923
600667.XSHG,2023-03-09,0.005307524196066282
300437.XSHE,2023-03-09,0.054169769173492144
002836.XSHE,2023-03-09,-0.02471346704871069
600537.XSHG,2023-03-09,-0.029730480689080352
603816.XSHG,2023-03-09,-0.08623465486013271
300514.XSHE,2023-03-09,0.017423014586709806
300033.XSHE,2023-03-09,-0.08594830151035193
002459.XSHE,2023-03-09,0.034303244398996124
300084.XSHE,2023-03-09,0.001378359751895264
301176.XSHE,2023-03-09,0.06775956284152995
688278.XSHG,2023-03-09,0.01410078594544606
000679.XSHE,2023-03-09,-0.01538015089959377
688766.XSHG,2023-03-09,-0.01651731654153543
600403.XSHG,2023-03-09,0.007567939456484263
688173.XSHG,2023-03-09,-0.02345058626465657
300366.XSHE,2023-03-09,-0.018438999747411033
603280.XSHG,2023-03-09,-0.04479878511769175
000055.XSHE,2023-03-09,-0.02114041892940266
300876.XSHE,2023-03-09,-0.010940170940170968
002992.XSHE,2023-03-09,-0.02397498262682418
300025.XSHE,2023-03-09,-0.003426124197002167
688676.XSHG,2023-03-09,-0.0012742099898064296
300363.XSHE,2023-03-09,-0.04805194805194812
600290.XSHG,2023-03-09,-0.013489208633093441
300994.XSHE,2023-03-09,-0.0919331395348838
688419.XSHG,2023-03-09,0.10666285387474983
603008.XSHG,2023-03-09,-0.06098191214470283
601236.XSHG,2023-03-09,-0.014198782961460377
600742.XSHG,2023-03-09,-0.020363206533419276
300346.XSHE,2023-03-09,0.09721256374594356
300726.XSHE,2023-03-09,-0.030411073825503454
688323.XSHG,2023-03-09,0.03507340946166382
601956.XSHG,2023-03-09,-0.024767801857585203
002467.XSHE,2023-03-09,-0.057464708398688225
000159.XSHE,2023-03-09,-0.004638577502899199
001218.XSHE,2023-03-09,-0.015426497277677087
688251.XSHG,2023-03-09,-0.017763541059988563
301121.XSHE,2023-03-09,-0.017952127659574435
600592.XSHG,2023-03-09,-0.016997167138810054
600331.XSHG,2023-03-09,0.017739816031537403
688680.XSHG,2023-03-09,-0.0849837577281779
002261.XSHE,2023-03-09,-0.010894802643329204
002310.XSHE,2023-03-09,0.009377836039124565
300841.XSHE,2023-03-09,0.013344226579520724
300850.XSHE,2023-03-09,-0.038590604026845776
002181.XSHE,2023-03-09,0.0
000837.XSHE,2023-03-09,-0.011222819733458178
688767.XSHG,2023-03-09,0.01651868676440227
600808.XSHG,2023-03-09,0.0
002714.XSHE,2023-03-09,-0.04125314528234647
601288.XSHG,2023-03-09,0.027272727272727337
603617.XSHG,2023-03-09,-0.026019690576652654
603799.XSHG,2023-03-09,0.006823027718550145
002579.XSHE,2023-03-09,0.017928633594429755
688656.XSHG,2023-03-09,-0.017428167687235097
300386.XSHE,2023-03-09,0.014353126228863644
600428.XSHG,2023-03-09,0.10513501549358129
300286.XSHE,2023-03-09,-0.0061907317945963936
600828.XSHG,2023-03-09,-0.010932775063968392
002285.XSHE,2023-03-09,-0.03489875053856106
002574.XSHE,2023-03-09,-0.10136986301369866
688348.XSHG,2023-03-09,0.04702576112412182
301238.XSHE,2023-03-09,-0.04421768707482998
000739.XSHE,2023-03-09,0.035557197058724954
002900.XSHE,2023-03-09,-0.022697512003491904
600186.XSHG,2023-03-09,-0.029352901934623032
600584.XSHG,2023-03-09,-0.020812401320510987
603070.XSHG,2023-03-09,-0.04512067156348376
002806.XSHE,2023-03-09,-0.021904336164506155
688237.XSHG,2023-03-09,-0.05736434108527133
300639.XSHE,2023-03-09,-0.019198055893074106
601991.XSHG,2023-03-09,0.027194066749073098
688351.XSHG,2023-03-09,0.08858527985896858
002398.XSHE,2023-03-09,-0.019830713422007262
301239.XSHE,2023-03-09,0.09387283236994226
002627.XSHE,2023-03-09,0.007061379684953684
300323.XSHE,2023-03-09,0.016778523489932917
002027.XSHE,2023-03-09,-0.05603854614014869
601113.XSHG,2023-03-09,-0.020506634499396825
300866.XSHE,2023-03-09,-0.037105182459368335
600276.XSHG,2023-03-09,-0.033802067798193836
002377.XSHE,2023-03-09,-0.011092150170648574
002738.XSHE,2023-03-09,-0.005504000000000064
002802.XSHE,2023-03-09,-0.018056749785038795
002140.XSHE,2023-03-09,-0.022093143864744258
300130.XSHE,2023-03-09,-0.10602652602187235
002021.XSHE,2023-03-09,0.058519793459552494
603555.XSHG,2023-03-09,-0.054455445544554504
