code,date,momentum_5d
603999.XSHG,2020-01-03,
300510.XSHE,2020-01-03,
002289.XSHE,2020-01-03,
002481.XSHE,2020-01-03,
300724.XSHE,2020-01-03,
600220.XSHG,2020-01-03,
600730.XSHG,2020-01-03,
603108.XSHG,2020-01-03,
600199.XSHG,2020-01-03,
601018.XSHG,2020-01-03,
601336.XSHG,2020-01-03,
000951.XSHE,2020-01-03,
600599.XSHG,2020-01-03,
002443.XSHE,2020-01-03,
603969.XSHG,2020-01-03,
600883.XSHG,2020-01-03,
300307.XSHE,2020-01-03,
603917.XSHG,2020-01-03,
600355.XSHG,2020-01-03,
300547.XSHE,2020-01-03,
000554.XSHE,2020-01-03,
000516.XSHE,2020-01-03,
601229.XSHG,2020-01-03,
600039.XSHG,2020-01-03,
601020.XSHG,2020-01-03,
000869.XSHE,2020-01-03,
603725.XSHG,2020-01-03,
603177.XSHG,2020-01-03,
600288.XSHG,2020-01-03,
300164.XSHE,2020-01-03,
002012.XSHE,2020-01-03,
002590.XSHE,2020-01-03,
300738.XSHE,2020-01-03,
300207.XSHE,2020-01-03,
002938.XSHE,2020-01-03,
600095.XSHG,2020-01-03,
002876.XSHE,2020-01-03,
002502.XSHE,2020-01-03,
002542.XSHE,2020-01-03,
000736.XSHE,2020-01-03,
600623.XSHG,2020-01-03,
300534.XSHE,2020-01-03,
603815.XSHG,2020-01-03,
000096.XSHE,2020-01-03,
300359.XSHE,2020-01-03,
002826.XSHE,2020-01-03,
600382.XSHG,2020-01-03,
300512.XSHE,2020-01-03,
600588.XSHG,2020-01-03,
600361.XSHG,2020-01-03,
600236.XSHG,2020-01-03,
000565.XSHE,2020-01-03,
000998.XSHE,2020-01-03,
300531.XSHE,2020-01-03,
002224.XSHE,2020-01-03,
002337.XSHE,2020-01-03,
002453.XSHE,2020-01-03,
601512.XSHG,2020-01-03,
300799.XSHE,2020-01-03,
603697.XSHG,2020-01-03,
000155.XSHE,2020-01-03,
600667.XSHG,2020-01-03,
300437.XSHE,2020-01-03,
002836.XSHE,2020-01-03,
600537.XSHG,2020-01-03,
603816.XSHG,2020-01-03,
300514.XSHE,2020-01-03,
300033.XSHE,2020-01-03,
002459.XSHE,2020-01-03,
300084.XSHE,2020-01-03,
000679.XSHE,2020-01-03,
600403.XSHG,2020-01-03,
300366.XSHE,2020-01-03,
000055.XSHE,2020-01-03,
300025.XSHE,2020-01-03,
300363.XSHE,2020-01-03,
600290.XSHG,2020-01-03,
603008.XSHG,2020-01-03,
601236.XSHG,2020-01-03,
600742.XSHG,2020-01-03,
300346.XSHE,2020-01-03,
300726.XSHE,2020-01-03,
002467.XSHE,2020-01-03,
000159.XSHE,2020-01-03,
600592.XSHG,2020-01-03,
600331.XSHG,2020-01-03,
