code,momentum_5d
603713.XSHG,-0.015170374980550738
002144.XSHE,0.008928571428571397
605008.XSHG,0.023872679045092715
603157.XSHG,-0.03041825095057038
002302.XSHE,0.0490921318090114
600478.XSHG,0.027196149217809884
600409.XSHG,0.04510739856801904
603797.XSHG,-0.03796791443850267
002560.XSHE,-0.022085015435763466
002683.XSHE,-0.027003163858435597
603777.XSHG,-0.05276487969607424
002548.XSHE,-0.04245076586433272
600389.XSHG,-0.02324366675372158
002976.XSHE,-0.045454545454545414
300602.XSHE,-0.04240468327829483
002708.XSHE,-0.004157043879907563
002990.XSHE,-0.05874514158800659
600980.XSHG,-0.021447721179624568
300527.XSHE,-0.11586147926464307
600237.XSHG,0.08537220197813644
603318.XSHG,-0.00987202925045716
300328.XSHE,0.012612612612612706
603311.XSHG,-0.03662750518313762
002433.XSHE,-0.06235565819861422
300806.XSHE,0.02004008016032066
600158.XSHG,-0.049292337725719726
601118.XSHG,-0.029143897996357082
002922.XSHE,-0.035098522167487545
300170.XSHE,-0.025568564123267468
688181.XSHG,-0.0181950509461426
600232.XSHG,-0.08908202064095605
603392.XSHG,-0.06773192203959089
600250.XSHG,0.008968609865470878
002183.XSHE,0.003800836183960543
002307.XSHE,-0.0074573863636363535
300427.XSHE,-0.040135979822348955
300213.XSHE,-0.04623824451410652
000735.XSHE,-0.05621127176158158
300132.XSHE,0.02874443714890207
000793.XSHE,-0.045201668984701016
002478.XSHE,-0.03312788906009245
603183.XSHG,-0.054906542056074814
601116.XSHG,0.009689922480620172
002690.XSHE,-0.05267938237965486
002365.XSHE,-0.06979485970290011
300454.XSHE,-0.036487322201608
600640.XSHG,-0.002956794593289902
600874.XSHG,-0.04939271255060729
688365.XSHG,-0.03816610657705222
000078.XSHE,-0.03913630229419707
300443.XSHE,0.016650625601539737
000600.XSHE,-0.02282491944146081
002582.XSHE,-0.005865567533291038
002335.XSHE,-0.01838066354195389
000796.XSHE,0.1248541423570595
300006.XSHE,-0.025394190871369293
002028.XSHE,-0.006486862568552021
300694.XSHE,-0.08783344176968122
600615.XSHG,-0.03528600013799754
600570.XSHG,-0.029266379904465345
601929.XSHG,-0.04536862003780717
601198.XSHG,-0.05115273775216145
002414.XSHE,-0.06104177970699942
002493.XSHE,0.013462370242214527
002556.XSHE,-0.040761982793936946
000585.XSHE,0.06486486486486487
600726.XSHG,-0.09061135371179041
300865.XSHE,-0.011867582760774487
002637.XSHE,-0.04912734324499024
603329.XSHG,-0.1000625390869293
002203.XSHE,-0.015413652091852748
600769.XSHG,0.014548693586698302
688077.XSHG,-0.0390330889637408
600381.XSHG,-0.06055045871559639
300668.XSHE,-0.0871670702179177
300109.XSHE,0.012879256965944386
002294.XSHE,-0.0923145665773013
300879.XSHE,-0.05252808988764057
300271.XSHE,-0.04737398336626386
600563.XSHG,-0.03815010900031135
002015.XSHE,-0.05436337625178822
300442.XSHE,0.015529071867099953
600802.XSHG,-0.04668601838413178
002685.XSHE,-0.17593643586833152
600048.XSHG,0.003007686309457691
000813.XSHE,-0.0077911959485782445
600326.XSHG,-0.01980627439641469
600422.XSHG,-0.05092549093300758
688521.XSHG,0.07889344262295084
688335.XSHG,-0.06313372871628098
000498.XSHE,-0.011003236245954673
601311.XSHG,-0.0013129102844638973
603103.XSHG,-0.028102305020524132
002889.XSHE,0.01656238498343754
002793.XSHE,-0.08578595317725746
002142.XSHE,-0.022892080193374076
300140.XSHE,-0.1426746943988323
600738.XSHG,-0.04862782859894066
300616.XSHE,0.04893316875330633
002238.XSHE,-0.007060900264783787
000908.XSHE,-0.05093488072211472
600095.XSHG,-0.006395348837209269
002551.XSHE,-0.04132497186042772
600549.XSHG,-0.0028218507081247957
603053.XSHG,-0.049032258064516165
002979.XSHE,-0.05389514943655083
603289.XSHG,-0.06482213438735185
688309.XSHG,-0.06803455723542118
000557.XSHE,-0.02249488752556239
002871.XSHE,-0.03312063202673954
300627.XSHE,-0.052093826449848724
300342.XSHE,0.03945666235446299
600892.XSHG,-0.022454308093994735
300656.XSHE,-0.10360807679576312
300416.XSHE,-0.011250592136428317
605388.XSHG,-0.03087248322147651
300603.XSHE,-0.07727272727272727
