code,date,momentum_5d
603999.XSHG,2020-01-08,
300510.XSHE,2020-01-08,
002289.XSHE,2020-01-08,
002481.XSHE,2020-01-08,
300724.XSHE,2020-01-08,
600220.XSHG,2020-01-08,
600730.XSHG,2020-01-08,
603108.XSHG,2020-01-08,
600199.XSHG,2020-01-08,
601018.XSHG,2020-01-08,
601336.XSHG,2020-01-08,
000951.XSHE,2020-01-08,
600599.XSHG,2020-01-08,
002443.XSHE,2020-01-08,
603969.XSHG,2020-01-08,
600883.XSHG,2020-01-08,
300307.XSHE,2020-01-08,
603917.XSHG,2020-01-08,
600355.XSHG,2020-01-08,
300547.XSHE,2020-01-08,
000554.XSHE,2020-01-08,
000516.XSHE,2020-01-08,
601229.XSHG,2020-01-08,
600039.XSHG,2020-01-08,
601020.XSHG,2020-01-08,
000869.XSHE,2020-01-08,
603725.XSHG,2020-01-08,
603177.XSHG,2020-01-08,
600288.XSHG,2020-01-08,
300164.XSHE,2020-01-08,
002012.XSHE,2020-01-08,
002590.XSHE,2020-01-08,
300738.XSHE,2020-01-08,
300207.XSHE,2020-01-08,
002938.XSHE,2020-01-08,
600095.XSHG,2020-01-08,
002876.XSHE,2020-01-08,
002502.XSHE,2020-01-08,
002542.XSHE,2020-01-08,
000736.XSHE,2020-01-08,
600623.XSHG,2020-01-08,
300534.XSHE,2020-01-08,
603815.XSHG,2020-01-08,
000096.XSHE,2020-01-08,
300359.XSHE,2020-01-08,
002826.XSHE,2020-01-08,
600382.XSHG,2020-01-08,
300512.XSHE,2020-01-08,
600588.XSHG,2020-01-08,
600361.XSHG,2020-01-08,
600236.XSHG,2020-01-08,
000565.XSHE,2020-01-08,
000998.XSHE,2020-01-08,
300531.XSHE,2020-01-08,
002224.XSHE,2020-01-08,
002337.XSHE,2020-01-08,
002453.XSHE,2020-01-08,
601512.XSHG,2020-01-08,
300799.XSHE,2020-01-08,
603697.XSHG,2020-01-08,
000155.XSHE,2020-01-08,
600667.XSHG,2020-01-08,
300437.XSHE,2020-01-08,
002836.XSHE,2020-01-08,
600537.XSHG,2020-01-08,
603816.XSHG,2020-01-08,
300514.XSHE,2020-01-08,
300033.XSHE,2020-01-08,
002459.XSHE,2020-01-08,
300084.XSHE,2020-01-08,
000679.XSHE,2020-01-08,
600403.XSHG,2020-01-08,
300366.XSHE,2020-01-08,
000055.XSHE,2020-01-08,
300025.XSHE,2020-01-08,
300363.XSHE,2020-01-08,
600290.XSHG,2020-01-08,
603008.XSHG,2020-01-08,
601236.XSHG,2020-01-08,
600742.XSHG,2020-01-08,
300346.XSHE,2020-01-08,
300726.XSHE,2020-01-08,
002467.XSHE,2020-01-08,
000159.XSHE,2020-01-08,
600592.XSHG,2020-01-08,
600331.XSHG,2020-01-08,
002261.XSHE,2020-01-08,
002310.XSHE,2020-01-08,
002181.XSHE,2020-01-08,
000837.XSHE,2020-01-08,
600808.XSHG,2020-01-08,
002714.XSHE,2020-01-08,
601288.XSHG,2020-01-08,
603617.XSHG,2020-01-08,
603799.XSHG,2020-01-08,
002579.XSHE,2020-01-08,
300386.XSHE,2020-01-08,
600428.XSHG,2020-01-08,
300286.XSHE,2020-01-08,
600828.XSHG,2020-01-08,
002285.XSHE,2020-01-08,
002574.XSHE,2020-01-08,
000739.XSHE,2020-01-08,
002900.XSHE,2020-01-08,
600856.XSHG,2020-01-08,
600186.XSHG,2020-01-08,
600584.XSHG,2020-01-08,
600485.XSHG,2020-01-08,
002806.XSHE,2020-01-08,
300639.XSHE,2020-01-08,
601991.XSHG,2020-01-08,
002398.XSHE,2020-01-08,
002627.XSHE,2020-01-08,
300323.XSHE,2020-01-08,
002027.XSHE,2020-01-08,
601113.XSHG,2020-01-08,
600276.XSHG,2020-01-08,
002377.XSHE,2020-01-08,
002738.XSHE,2020-01-08,
002802.XSHE,2020-01-08,
002140.XSHE,2020-01-08,
300130.XSHE,2020-01-08,
002021.XSHE,2020-01-08,
603555.XSHG,2020-01-08,
300777.XSHE,2020-01-08,
002884.XSHE,2020-01-08,
603031.XSHG,2020-01-08,
300698.XSHE,2020-01-08,
000933.XSHE,2020-01-08,
002776.XSHE,2020-01-08,
300083.XSHE,2020-01-08,
002304.XSHE,2020-01-08,
601233.XSHG,2020-01-08,
300658.XSHE,2020-01-08,
002392.XSHE,2020-01-08,
601598.XSHG,2020-01-08,
300563.XSHE,2020-01-08,
002683.XSHE,2020-01-08,
002882.XSHE,2020-01-08,
600969.XSHG,2020-01-08,
603131.XSHG,2020-01-08,
002347.XSHE,2020-01-08,
002316.XSHE,2020-01-08,
688019.XSHG,2020-01-08,
002333.XSHE,2020-01-08,
601866.XSHG,2020-01-08,
603505.XSHG,2020-01-08,
002501.XSHE,2020-01-08,
300310.XSHE,2020-01-08,
300498.XSHE,2020-01-08,
300038.XSHE,2020-01-08,
000690.XSHE,2020-01-08,
002364.XSHE,2020-01-08,
600178.XSHG,2020-01-08,
002136.XSHE,2020-01-08,
002816.XSHE,2020-01-08,
603878.XSHG,2020-01-08,
601811.XSHG,2020-01-08,
300508.XSHE,2020-01-08,
300493.XSHE,2020-01-08,
603611.XSHG,2020-01-08,
300219.XSHE,2020-01-08,
300487.XSHE,2020-01-08,
603386.XSHG,2020-01-08,
603786.XSHG,2020-01-08,
300129.XSHE,2020-01-08,
300620.XSHE,2020-01-08,
600083.XSHG,2020-01-08,
603896.XSHG,2020-01-08,
000812.XSHE,2020-01-08,
600691.XSHG,2020-01-08,
002044.XSHE,2020-01-08,
300741.XSHE,2020-01-08,
600500.XSHG,2020-01-08,
002962.XSHE,2020-01-08,
002074.XSHE,2020-01-08,
300431.XSHE,2020-01-08,
300541.XSHE,2020-01-08,
600128.XSHG,2020-01-08,
600379.XSHG,2020-01-08,
601166.XSHG,2020-01-08,
603026.XSHG,2020-01-08,
300333.XSHE,2020-01-08,
601066.XSHG,2020-01-08,
002275.XSHE,2020-01-08,
000636.XSHE,2020-01-08,
601698.XSHG,2020-01-08,
000719.XSHE,2020-01-08,
600839.XSHG,2020-01-08,
002932.XSHE,2020-01-08,
000829.XSHE,2020-01-08,
000695.XSHE,2020-01-08,
300760.XSHE,2020-01-08,
600172.XSHG,2020-01-08,
000420.XSHE,2020-01-08,
600115.XSHG,2020-01-08,
300094.XSHE,2020-01-08,
300594.XSHE,2020-01-08,
600655.XSHG,2020-01-08,
300713.XSHE,2020-01-08,
601619.XSHG,2020-01-08,
603322.XSHG,2020-01-08,
603988.XSHG,2020-01-08,
600161.XSHG,2020-01-08,
603985.XSHG,2020-01-08,
002086.XSHE,2020-01-08,
600119.XSHG,2020-01-08,
600810.XSHG,2020-01-08,
300505.XSHE,2020-01-08,
002670.XSHE,2020-01-08,
600809.XSHG,2020-01-08,
002749.XSHE,2020-01-08,
000623.XSHE,2020-01-08,
600638.XSHG,2020-01-08,
603520.XSHG,2020-01-08,
002931.XSHE,2020-01-08,
600105.XSHG,2020-01-08,
000016.XSHE,2020-01-08,
000030.XSHE,2020-01-08,
603289.XSHG,2020-01-08,
002840.XSHE,2020-01-08,
300520.XSHE,2020-01-08,
688202.XSHG,2020-01-08,
603298.XSHG,2020-01-08,
002629.XSHE,2020-01-08,
000504.XSHE,2020-01-08,
000526.XSHE,2020-01-08,
002734.XSHE,2020-01-08,
300057.XSHE,2020-01-08,
300440.XSHE,2020-01-08,
601838.XSHG,2020-01-08,
600847.XSHG,2020-01-08,
300454.XSHE,2020-01-08,
002848.XSHE,2020-01-08,
002718.XSHE,2020-01-08,
002730.XSHE,2020-01-08,
002022.XSHE,2020-01-08,
002953.XSHE,2020-01-08,
300315.XSHE,2020-01-08,
300773.XSHE,2020-01-08,
300647.XSHE,2020-01-08,
600897.XSHG,2020-01-08,
002668.XSHE,2020-01-08,
000589.XSHE,2020-01-08,
000591.XSHE,2020-01-08,
002507.XSHE,2020-01-08,
002942.XSHE,2020-01-08,
300662.XSHE,2020-01-08,
002809.XSHE,2020-01-08,
603638.XSHG,2020-01-08,
000682.XSHE,2020-01-08,
600606.XSHG,2020-01-08,
600960.XSHG,2020-01-08,
002686.XSHE,2020-01-08,
002765.XSHE,2020-01-08,
600976.XSHG,2020-01-08,
600527.XSHG,2020-01-08,
000880.XSHE,2020-01-08,
600857.XSHG,2020-01-08,
000402.XSHE,2020-01-08,
000848.XSHE,2020-01-08,
603767.XSHG,2020-01-08,
603088.XSHG,2020-01-08,
603300.XSHG,2020-01-08,
002368.XSHE,2020-01-08,
600498.XSHG,2020-01-08,
000593.XSHE,2020-01-08,
688123.XSHG,2020-01-08,
000967.XSHE,2020-01-08,
000572.XSHE,2020-01-08,
