code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000001.XSHE,0.879732,-0.064206,0.4791569999999999,-0.054224,-1.123531,0.7596729999999999,-0.670197,-0.0967529999999999,-0.199216,1.673554
000002.XSHE,0.879732,-1.355107,-0.987402,-0.121331,-1.123531,1.126821,-0.0690559999999999,2.100298,0.274971,1.425756
000004.XSHE,-2.428993,-0.7039810000000001,-1.835861,1.893785,1.316677,-0.030755,1.432739,-0.621834,-1.332811,-1.237578
000005.XSHE,-2.861949,-1.956041,-2.098615,0.542614,0.008053,0.5138229999999999,-0.4879479999999999,-1.233989,-1.223421,-0.6505029999999999
000006.XSHE,-1.797882,-1.065337,-0.92203,-0.89804,2.139764,2.067183,-0.648946,0.37464,-0.4308,0.457682
000007.XSHE,-3.138552,-2.197938,-2.803012,2.323666,-1.20488,-1.303729,0.8211959999999999,-0.92067,-1.338767,-0.486401
000008.XSHE,-1.871792,-1.721391,-1.601669,-1.086624,2.100588,1.897631,-1.003587,-0.460983,-0.8883530000000001,-0.115004
000009.XSHE,-0.067428,0.393624,0.388251,1.327246,0.3988,-0.952557,1.601826,-0.506574,0.389158,0.213651
000010.XSHE,-2.440762,-2.067234,-0.599826,0.246758,1.289836,-0.956664,0.145359,-1.16993,0.786096,0.079644
000011.XSHE,-1.731137,-0.194681,-0.393821,0.815703,2.163592,0.1932,0.410889,0.939799,0.602209,0.929947
000012.XSHE,-0.375487,0.226043,1.387881,0.5016430000000001,0.932409,-0.423799,0.911786,0.055052,-0.848068,-0.483995
000014.XSHE,-3.09295,-1.168402,-1.202728,-0.863519,-0.983088,0.3501869999999999,-0.498981,0.516836,-1.347041,-0.200349
000016.XSHE,-1.025424,-0.252596,-0.7011609999999999,-0.935472,1.849935,0.217858,0.2171429999999999,-0.175842,0.198984,1.941242
000017.XSHE,-2.881223,-1.488036,-0.388991,0.466736,-0.0664309999999999,-1.4212870000000002,0.472301,-0.6818310000000001,-1.180796,-0.262175
000019.XSHE,-1.589082,-0.4505949999999999,-0.63717,-0.290928,2.179722,0.255773,0.754397,-0.690174,1.854645,-0.514624
