code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000001.XSHE,0.983594,-0.264261,-0.3680989999999999,-0.250377,-1.217062,1.151218,-0.178555,-0.035546,0.225415,1.737208
000002.XSHE,0.983594,-1.131644,-0.529722,-0.224944,-1.217062,0.345969,0.123271,2.073821,0.578183,1.470522
000004.XSHE,-2.210356,0.18019,-1.080921,1.140831,1.6896509999999998,-0.44297,1.163359,-0.779093,-0.685566,-1.44935
000005.XSHE,-2.584589,-0.329864,-0.921078,-0.957276,0.881611,0.322048,-0.470692,-0.7200979999999999,1.450785,-0.811194
000006.XSHE,-1.56829,1.159327,-0.601521,0.4188939999999999,2.138892,1.081207,0.7555930000000001,-1.397184,-0.292807,0.312209
000007.XSHE,-2.485212,-2.12188,-0.617429,0.3578159999999999,1.141062,-1.318213,0.386681,-0.832405,-2.696264,-2.301327
000008.XSHE,-1.616848,-0.92128,-1.280572,-1.064915,2.14001,1.386573,-0.453298,0.078271,0.586834,-0.77045
000009.XSHE,-0.748356,1.456639,-0.315809,-0.132651,1.487844,-0.583541,1.07453,-1.02035,-0.111095,0.563716
000010.XSHE,-2.407189,-0.536241,-0.4675609999999999,1.211338,1.321408,-1.072831,0.179271,-0.5273720000000001,-0.319656,-0.123219
000011.XSHE,-1.413447,1.085851,0.6157,2.287224,2.102639,-0.473734,1.14006,-0.5403319999999999,1.410487,0.98317
000012.XSHE,-0.831992,1.004184,-0.356213,-0.600459,1.598012,0.205805,0.642088,-0.302535,-0.6082,-0.29427
000014.XSHE,-2.871657,1.000943,-0.654615,-0.139377,-0.066695,-0.108267,0.693178,-0.8695280000000001,-0.48703,-0.461939
000016.XSHE,-1.010563,1.655499,-0.299252,0.193524,1.805855,0.2133719999999999,0.936459,-1.002915,1.508188,1.861728
000017.XSHE,-3.259225,-0.281418,-2.194324,0.51869,-1.654108,-1.477428,-0.321008,-0.717546,-2.2853,-0.274204
000019.XSHE,-1.397727,0.298323,-0.126724,0.8299209999999999,2.096308,-0.087913,1.246375,-0.0923269999999999,2.115323,-0.678026
000020.XSHE,-2.474321,0.274441,-0.531213,0.083507,1.167452,-1.166911,0.052712,-0.557006,0.687248,-0.588781
000021.XSHE,-0.258207,2.311168,0.567679,0.317558,0.725499,-0.824799,1.121988,-1.154024,-0.114975,-0.4343729999999999
000023.XSHE,-2.7367790000000003,-0.625931,-0.387992,0.771929,0.4168199999999999,-0.8936629999999999,0.037929,-0.393541,0.820678,-0.230442
000025.XSHE,-1.510253,-0.079825,-0.721475,0.358821,2.131,-1.0381049999999998,0.5234270000000001,-0.548376,0.465524,-1.278386
000026.XSHE,-1.800084,1.059874,1.572365,0.967052,2.096444,-0.209405,1.001737,-0.338908,-0.040676,-0.99115
000027.XSHE,-0.444002,-0.23911,-0.422268,-0.797912,1.032984,1.569519,-1.208816,1.271667,0.4236149999999999,2.01165
000028.XSHE,-0.700047,0.069266,-0.4646109999999999,-0.068475,1.420928,0.524945,0.107239,0.389158,0.4566409999999999,-0.34808
000029.XSHE,-1.312422,-2.5632650000000003,-0.824767,-1.308832,2.053935,-0.445335,-0.003434,-0.800762,0.0586929999999999,-1.1357620000000002
000030.XSHE,-1.177056,0.7304,-0.053109,0.520695,1.960488,0.2286159999999999,-0.554072,0.6036199999999999,0.366796,-0.824227
000031.XSHE,-0.722859,-0.149588,-1.254656,-0.685501,1.452811,1.477723,-0.46388,2.073821,0.238027,2.01165
000032.XSHE,-1.477298,1.117713,0.517224,-0.0653,2.123435,-0.985794,-0.1509599999999999,-0.667197,-0.648373,-1.058408
000034.XSHE,-0.757931,1.386424,-0.422133,1.021333,1.5008290000000002,-0.774656,1.801119,0.064685,1.780888,0.4022969999999999
000035.XSHE,-1.227591,-0.559078,-1.000196,-0.9002100000000001,1.99897,1.476341,-0.987321,1.499046,1.754614,2.01165
000036.XSHE,-1.841757,-0.439808,-0.508196,-0.499159,2.075412,0.961887,-0.5947180000000001,1.574253,0.899317,0.181782
000037.XSHE,-1.552119,0.5041479999999999,0.140402,0.8981819999999999,2.1374,-0.7283930000000001,0.101743,-0.444383,-0.361836,-1.197607
000038.XSHE,-1.7977310000000002,0.845067,-0.797201,0.4990989999999999,2.0975040000000003,-0.114223,1.477737,-1.340149,-0.631847,-1.365548
000039.XSHE,-0.184497,-0.434314,-0.797345,-0.509508,0.599683,1.553441,-0.430014,-0.08982,0.004359,2.01165
000040.XSHE,-2.0145,0.630473,-2.002028,0.095929,1.940948,2.636364,1.493437,-2.909919,-0.109016,1.214212
000042.XSHE,-1.842453,-0.809562,-1.163897,-1.134069,2.075024,2.50609,-1.527351,-1.084739,-0.1651619999999999,2.01165
000045.XSHE,-2.196287,0.532747,-0.620592,0.036531,1.711407,0.538983,0.193418,-0.2657469999999999,0.486914,-1.315275
000046.XSHE,-0.6325649999999999,0.232042,-0.914309,0.034536,1.323786,1.576883,-1.09909,0.340673,-2.306445,2.01165
000048.XSHE,-1.033111,-1.018048,1.4817209999999998,1.158235,1.829156,-1.059212,-0.6046060000000001,0.201125,1.742955,-0.349711
000049.XSHE,-1.339692,0.998003,0.069226,-0.61247,2.068927,-0.825254,0.300098,0.123125,0.904442,-0.108645
000050.XSHE,-0.156007,0.8391350000000001,-0.77551,-1.342852,0.550661,1.335766,0.05531,-0.238992,0.452584,1.135843
000055.XSHE,-1.961062,0.07754,-0.762737,-0.96447,1.990915,1.514398,0.121475,-0.12559,-0.797579,-0.281482
000056.XSHE,-2.245574,0.016787,-1.7381810000000002,-0.750921,1.632579,2.636364,-0.5118060000000001,0.121668,0.1797609999999999,0.702716
000058.XSHE,-1.407926,1.536544,-0.679031,0.628777,2.100469,-0.8651690000000001,1.5310979999999998,-0.3891949999999999,-0.125422,0.039161
000059.XSHE,-1.58036,-0.943073,-1.271051,-0.6457890000000001,2.139644,2.636364,-0.521211,1.523882,-0.152067,1.5152219999999998
000060.XSHE,-0.994105,0.5097550000000001,-0.58709,-1.222642,1.788407,0.814715,-0.366867,-0.109404,-0.134805,-0.496146
000061.XSHE,-1.184272,-0.03489,-0.153492,0.2247849999999999,1.966236,-0.148518,-0.145924,-0.1764349999999999,0.978154,0.132884
000062.XSHE,-1.003955,0.868492,-0.720608,-0.8272950000000001,1.7988939999999998,-0.371479,-0.805379,-0.343726,1.084723,-0.680719
000063.XSHE,0.983594,0.949331,-0.860302,-0.6028359999999999,-1.217062,-0.678975,0.887991,-0.3971929999999999,-0.521261,0.390493
000065.XSHE,-1.895489,-0.12308,-1.067764,-1.441631,2.041888,1.206041,-1.067205,0.0957,-0.572294,0.746714
000066.XSHE,0.075959,2.150173,0.1375549999999999,-0.706484,0.1479059999999999,-0.960457,1.191917,-0.899208,-1.541811,0.261438
000068.XSHE,-2.465001,0.541626,-1.391919,-0.105769,1.18972,-1.025362,0.072158,-0.539597,-0.7863720000000001,2.01165
000069.XSHE,0.2278369999999999,-0.026555,-0.495464,-0.554346,-0.113849,2.350688,-0.428565,1.967227,0.734376,2.01165
000070.XSHE,-1.543381,1.83799,-0.784267,-0.559805,2.136365,-0.4477239999999999,0.850987,-0.927461,-0.7484109999999999,-0.487738
000078.XSHE,-1.245278,-0.7741819999999999,-0.7371979999999999,0.870136,2.011445,0.242901,0.3790679999999999,1.107367,-0.482916,-0.014915
000088.XSHE,-0.980148,0.5098020000000001,-0.366609,2.085943,1.773325,0.235353,0.373701,-0.4569609999999999,0.860057,-0.712883
000089.XSHE,-0.846418,0.552229,-0.721532,-0.458416,1.61624,0.603741,0.185168,-0.906387,-0.443525,-1.273398
000090.XSHE,-1.11787,0.939726,0.042138,0.00077,1.910256,0.508579,0.417429,1.4704270000000002,-0.715741,1.23535
000096.XSHE,-1.946609,-0.008867,-0.688505,-0.550719,2.003117,0.065677,-1.632747,-0.539045,0.32746,-1.452799
000099.XSHE,-2.068483,0.127949,-0.652833,-0.975598,1.882561,0.65972,-0.142178,-0.290157,0.047496,-0.20365
000100.XSHE,0.59916,1.977564,0.908485,-0.337132,-0.714218,-0.334551,1.326927,0.049366,-0.607739,2.01165
000150.XSHE,-2.5800080000000003,-0.542533,-2.091732,0.421332,0.8943200000000001,-0.7692640000000001,0.095663,-2.502354,-1.132761,1.184138
000151.XSHE,-2.642377,-0.335292,-1.16164,-0.991864,0.7149300000000001,-0.361579,-0.173325,-1.307624,-0.937901,-0.544309
000153.XSHE,-2.550226,0.7175279999999999,0.019734,0.7441,0.975166,-0.009035,1.301815,-0.428858,0.8407979999999999,-0.358239
000155.XSHE,-1.843523,0.240194,-0.62258,-0.442216,2.074426,0.407703,-0.279341,-0.193956,0.106,0.144866
000156.XSHE,-1.048185,0.350588,-0.381758,-0.60464,1.844338,0.8090470000000001,-0.337789,-0.228677,-0.058421,-0.949191
000157.XSHE,0.415452,0.121018,0.259092,-0.617851,-0.426856,0.5241779999999999,-0.00324,0.975165,1.464276,0.2248889999999999
000158.XSHE,-1.210459,1.620043,-0.279212,-0.002548,1.986391,0.033692,0.806054,-0.3942989999999999,-0.972538,-0.339207
000159.XSHE,-2.60781,1.98052,-0.806153,-0.759897,0.81605,1.090802,1.258408,-0.6059220000000001,-0.889917,-1.107766
000166.XSHE,0.983594,0.585845,-0.493554,-0.870245,-1.217062,0.518062,-0.741626,-0.253598,-1.066025,1.197669
000301.XSHE,-0.310111,-0.968859,-0.120057,-0.3901219999999999,0.812986,0.2530989999999999,-0.2842,-0.211634,1.84552,0.004169
000333.XSHE,0.983594,-0.392364,-0.034087,-0.460142,-1.217062,-0.8720120000000001,-0.6809470000000001,-0.230071,0.278895,-0.047531
000338.XSHE,0.983594,0.381186,-0.364093,-0.669357,-1.217062,-0.265234,0.5069899999999999,0.812146,0.128237,1.02261
000400.XSHE,-1.018538,0.81695,-0.081197,-0.421807,1.814177,0.28472,0.459564,-0.251679,-0.279669,-0.624951
000401.XSHE,-0.661868,0.02129,-0.829175,-0.751937,1.366472,0.344801,0.433417,2.073821,1.873188,0.399132
000402.XSHE,-0.737675,-0.8871680000000001,-0.921062,-1.084512,1.4732459999999998,2.636364,-1.681946,1.410627,0.34005,2.01165
000403.XSHE,-0.8729600000000001,-0.233273,0.7508630000000001,0.852124,1.6491509999999998,-1.346985,-0.490282,-0.883763,0.841557,-0.675028
000404.XSHE,-2.582559,-0.511946,-0.592443,-1.224518,0.887251,2.1826220000000003,-0.161514,-0.62392,-0.773861,-0.332501
000407.XSHE,-2.363004,-0.080853,-0.618502,-0.259054,1.414696,0.694911,-0.332045,0.835751,1.144275,-0.099637
000408.XSHE,-1.105102,-1.537765,-0.72902,1.964562,1.898715,0.417401,0.208282,-0.582661,0.305037,-2.160014
000409.XSHE,-2.856522,-1.290011,-1.254443,-0.6847260000000001,-0.008974,-0.792401,-0.655442,-1.536243,-0.810728,-0.649447
000410.XSHE,-1.676147,-1.993146,-1.712182,0.276283,2.134359,-1.177715,-1.888461,-2.28637,-2.168069,1.93447
000411.XSHE,-1.942047,-0.07339,-0.005376,2.829073,2.006855,-0.594698,1.932784,0.1416609999999999,0.3403199999999999,0.1112369999999999
000413.XSHE,-0.8816639999999999,0.351666,-1.490694,0.777138,1.659763,2.636364,0.855202,-2.830982,0.2733219999999999,-0.031642
000415.XSHE,-0.8846879999999999,-0.147014,-1.4757,-0.5204949999999999,1.663429,2.636364,-0.490375,2.073821,0.640204,2.01165
000416.XSHE,-2.361288,0.897658,0.001148,-0.0086129999999999,1.418193,-0.7138369999999999,0.933966,-0.561545,-2.392504,-1.504352
000417.XSHE,-2.230483,-0.209,-0.532519,-0.039405,1.657493,1.597693,-0.415102,-0.71825,-0.318289,-0.417603
000419.XSHE,-2.6751150000000004,-0.312841,-0.523123,-1.446654,0.615216,2.0995220000000003,-0.8460139999999999,-0.611391,-0.347444,-1.026794
000420.XSHE,-2.244705,-0.3316469999999999,-1.0293450000000002,-0.054919,1.634033,0.801918,-0.067497,-1.285282,-0.0706,-0.002205
000421.XSHE,-2.280363,-0.4479979999999999,0.320107,1.194319,1.5725,0.926669,0.722617,-2.909919,-0.7356010000000001,0.731747
000422.XSHE,-2.743743,-1.546308,-1.029645,-1.062486,0.3935349999999999,-0.041489,-1.312315,2.073821,-1.328959,2.01165
000423.XSHE,-0.471905,-0.026945,-0.129277,0.2371,1.077583,-0.340956,0.026927,-0.928034,-0.709113,-1.296681
000425.XSHE,0.030777,0.426471,-0.412703,-0.737279,0.2264489999999999,0.631292,0.292016,1.283726,1.7609419999999998,-0.113369
000426.XSHE,-1.088932,1.169155,-0.0376079999999999,0.59967,1.883749,-0.308559,0.269988,-0.176586,0.012844,-0.503116
000428.XSHE,-2.511245,-0.585295,-0.048904,1.031672,1.076363,0.953034,0.3583159999999999,-0.171467,-1.1368,0.031734
000429.XSHE,-1.0587959999999998,-1.685455,-0.829176,-0.807986,1.854832,0.471887,-1.971777,0.8188770000000001,-0.209532,0.372673
000430.XSHE,-2.8885400000000003,-0.4198989999999999,-0.519858,-0.307673,-0.132131,0.895483,0.180929,-0.636129,-1.7779900000000002,-0.110414
000488.XSHE,-0.954713,-0.284996,-0.601346,-0.847831,1.745177,2.04853,0.6455350000000001,2.073821,-1.064819,2.01165
000498.XSHE,-1.729161,-0.4006929999999999,-0.4920569999999999,-0.517922,2.122558,1.6838229999999998,-0.744444,2.0184040000000003,1.219803,1.825077
000501.XSHE,-1.28112,0.67096,0.033707,1.434159,2.035098,1.140301,1.07024,0.653043,-1.077843,-0.156647
000502.XSHE,-3.178518,-0.980428,-0.8412219999999999,0.643375,-1.435553,-1.087757,0.5799890000000001,-0.775655,-2.142645,-1.284665
000503.XSHE,-1.429489,0.507322,-1.809262,-0.2133219999999999,2.108611,-1.133071,-0.2113739999999999,-0.62608,-1.671843,-1.06176
000504.XSHE,-2.241299,-1.834956,0.6844680000000001,1.166986,1.639706,-1.48744,-1.790439,-0.6376729999999999,1.6599419999999998,-0.657172
