code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000001.XSHE,0.980678,-0.022026,-0.46374,-0.357453,-1.21861,2.1361380000000003,-0.2541239999999999,0.22458,-0.061614,1.938215
000002.XSHE,0.980678,-0.861024,-0.526408,0.747312,-1.21861,2.307151,0.484699,1.969682,0.02038,2.01904
000004.XSHE,-2.506845,0.822019,0.0996399999999999,0.391046,0.992521,-0.0318209999999999,1.435971,-0.834125,-1.412146,-1.454841
000005.XSHE,-2.775871,-0.937582,-0.271357,-0.4801109999999999,0.143593,0.428374,-1.075617,-1.228168,-1.286567,-0.90817
000006.XSHE,-1.900826,-0.874193,-0.368824,-1.120663,2.011584,2.732818,-1.154318,-2.9911060000000003,-0.420299,1.246458
000007.XSHE,-2.860255,-1.034226,0.493515,0.806254,-0.1796299999999999,-1.600305,0.152323,-1.146898,-1.413585,-0.495002
000008.XSHE,-1.676123,-0.179016,-0.017187,0.412059,2.12314,1.327446,0.397236,-1.09756,-0.917139,-0.22099
000009.XSHE,-0.281045,2.152632,-0.076405,0.208546,0.771446,-0.8544370000000001,1.276177,-0.776351,0.382767,0.11682
000010.XSHE,-2.5686400000000003,-0.6864359999999999,-0.4425659999999999,-0.8311629999999999,0.821101,-1.085801,0.004619,-1.351731,0.916253,0.112952
000011.XSHE,-1.827916,-0.42718,-0.325277,-0.918085,2.061807,0.642737,-0.668455,0.675561,0.715262,1.175957
000012.XSHE,-0.526288,0.499751,0.2215369999999999,-0.219444,1.173278,-0.091034,0.241749,1.211291,-0.801836,-0.520622
000014.XSHE,-3.002958,-0.905186,-0.050593,-0.022703,-0.791888,-0.079854,0.1532609999999999,-0.707158,-1.427806,0.003317
000016.XSHE,-1.147499,0.014844,-0.3522699999999999,-0.926229,1.944409,0.4779239999999999,-0.8868309999999999,-1.085287,0.277472,2.01904
000017.XSHE,-2.928866,-1.049268,-0.04335,0.3362949999999999,-0.463518,-1.678686,0.195964,-0.935429,-1.243488,-0.322394
000019.XSHE,-1.478941,-0.935835,-0.284542,-0.515871,2.122408,0.018884,0.6516029999999999,-0.670285,1.980194,-0.561966
000020.XSHE,-2.661824,-0.914742,-0.105644,-0.2260989999999999,0.536403,-1.246107,-0.436627,-0.8314959999999999,-0.1910079999999999,-0.565289
000021.XSHE,-0.779644,0.038538,-0.8997950000000001,-0.737679,1.541395,0.041214,-0.572177,-0.3889869999999999,-0.156097,-0.33475
000023.XSHE,-3.05517,-0.794466,-0.622466,-1.07974,-1.037179,-0.799054,-1.840085,-0.952908,0.289684,-0.301327
