code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000063.XSHE,0.877365,0.4743989999999999,-0.903725,-0.264272,-1.124276,-0.526285,0.78166,-0.4434619999999999,-0.277106,0.323444
000065.XSHE,-1.880171,-0.700006,-0.7782720000000001,0.158571,2.083184,1.439434,0.260302,1.150877,-0.6269239999999999,1.037782
000066.XSHE,-0.13368,1.095449,-0.917821,0.317712,0.510725,-0.7700739999999999,1.118185,-0.880717,-1.840324,0.194841
000068.XSHE,-2.625795,-1.421419,-1.426321,-0.435129,0.7826390000000001,-0.991793,-0.6868350000000001,-1.06214,-1.734259,2.063302
000069.XSHE,0.184088,-1.874865,-0.306623,0.545351,-0.049899,2.39621,-0.292861,2.113029,0.661621,2.063302
000070.XSHE,-1.835231,-0.577908,-1.552329,-0.119199,2.110042,0.046577,0.624684,-0.386997,-2.041021,0.030717
000078.XSHE,-1.541181,-1.279569,-1.414641,-0.581639,2.165931,0.7120479999999999,-0.608535,0.886466,-0.022647,0.054339
000088.XSHE,-1.267095,-0.780655,-1.044726,-0.692958,2.052643,0.841418,-1.107048,-0.337453,0.324718,-0.591441
000089.XSHE,-1.028573,-1.408578,-1.025122,-0.953281,1.846757,0.977052,-0.914966,-0.700924,0.3517699999999999,-0.259899
000090.XSHE,-1.456712,-1.406296,-0.810423,-0.6934279999999999,2.146642,1.370648,-0.762659,2.113029,0.352611,1.4901209999999998
000096.XSHE,-2.077036,-1.934647,-0.2832,-0.215753,1.902464,0.437698,-1.665821,-0.4837,-0.29577,-1.260598
000099.XSHE,-2.225523,-1.276133,-0.864925,-1.219778,1.693639,1.250414,-0.587296,-0.0461009999999999,0.1822609999999999,-0.253565
000100.XSHE,0.711784,0.7785310000000001,-0.244867,-0.130158,-0.903112,-0.466413,1.337796,0.949715,-0.661328,2.063302
000150.XSHE,-2.332513,-1.398381,-0.048143,3.227986,1.501691,-1.331921,1.608483,-0.443878,-2.184028,2.063302
000151.XSHE,-2.679803,-1.500842,-1.457001,0.005714,0.61746,-0.268318,-0.23655,-1.103481,-2.461576,-0.2351099999999999
000153.XSHE,-2.492878,-0.5577310000000001,-0.408537,0.2624869999999999,1.144844,0.0912169999999999,0.960366,0.246881,0.375005,-0.260203
000155.XSHE,-0.7090069999999999,1.939679,1.460524,1.234236,1.448349,-0.889274,1.946164,-0.8409059999999999,-2.082992,0.327337
000156.XSHE,-1.15377,-1.512317,-1.3173549999999998,-0.852914,1.966017,1.653361,-0.95753,0.620283,0.711791,-0.33658
000157.XSHE,0.312255,1.611033,-0.5210739999999999,-0.666755,-0.271277,0.927465,0.359994,1.7710279999999998,1.6725580000000002,0.112626
000158.XSHE,-1.058974,0.664978,0.8561989999999999,2.230818,1.877852,-0.181006,1.966693,-0.310345,-1.501509,-0.224817
000159.XSHE,-2.428597,-1.209778,-0.482556,0.750591,1.298132,0.749995,1.282539,-0.6683720000000001,0.158602,-1.052506
000166.XSHE,0.7050649999999999,-0.747657,-0.97575,-1.177474,-0.8935299999999999,1.147803,-1.356469,-0.625634,0.248904,1.2484879999999998
000301.XSHE,0.781985,1.291438,1.7841360000000002,1.351702,-1.00051,-0.94218,1.080481,-0.680697,1.7873290000000002,1.1648379999999998
000333.XSHE,0.877365,0.152719,-0.499254,-0.498366,-1.124276,-0.728102,-0.368906,-0.058549,0.248176,0.053275
000338.XSHE,0.877365,0.816928,-0.565483,-0.7044590000000001,-1.124276,0.068215,0.6607270000000001,0.696098,-0.134461,0.691575
000400.XSHE,-1.205714,-0.535296,-1.031214,-0.776402,2.008368,0.69671,0.077198,0.160571,-0.387688,-0.538312
000401.XSHE,-0.957734,-1.524598,-1.49512,-0.913886,1.7693020000000002,1.194238,-0.359487,2.113029,1.178724,0.8210040000000001
000402.XSHE,-0.8414870000000001,-1.870403,-0.634592,0.033522,1.628134,2.714184,-0.607051,2.113029,-0.212443,2.063302
