code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000001.XSHE,0.988125,-0.2168389999999999,-0.46137,-0.506073,-1.2256129999999998,1.502225,-0.231173,0.210117,0.2808989999999999,1.7402540000000002
000002.XSHE,0.988125,-1.058248,-0.6705899999999999,-0.3220949999999999,-1.2256129999999998,0.269372,0.128393,2.055423,0.5767760000000001,1.535001
000004.XSHE,-2.314082,0.521674,-0.432171,0.4966899999999999,1.488815,-0.335457,0.940255,-0.834835,-0.685186,-1.467165
000005.XSHE,-2.5175240000000003,-0.536479,-0.703477,-0.732615,1.028846,0.200671,-0.402709,-0.7464430000000001,1.450286,-0.8284020000000001
000006.XSHE,-1.589678,0.668147,0.565573,0.472751,2.1391150000000003,1.1889379999999998,0.652332,-1.41638,-0.292461,0.336061
000007.XSHE,-2.448423,-1.919999,-0.740155,0.171995,1.200543,-1.3789559999999998,0.205056,-0.8747219999999999,-2.694754,-2.304797
000008.XSHE,-1.54575,-0.890582,-1.189055,-1.025002,2.1364650000000003,1.227973,-0.486626,-0.085017,0.584739,-0.787175
000009.XSHE,-0.779918,1.358601,0.169448,0.04317,1.534705,-0.570662,0.979224,-1.045084,-0.112982,0.536617
000010.XSHE,-2.367457,-1.611728,-0.528289,0.894019,1.381332,-1.135188,-0.233764,-0.567231,-0.319414,-0.138881
000011.XSHE,-1.359708,0.474012,2.334322,2.847496,2.081237,-0.549949,1.075091,-0.535905,1.409937,0.937974
000012.XSHE,-0.886949,0.807397,0.076849,-0.628659,1.670638,0.327223,0.305747,-0.19634,-0.606139,-0.306666
000014.XSHE,-2.875883,0.487229,-0.028572,0.07919,-0.136428,-0.1118869999999999,0.4081849999999999,-0.904501,-0.48658,-0.477872
000016.XSHE,-0.918554,1.475829,0.142297,0.448713,1.7081849999999998,0.062412,1.317383,-1.0275450000000002,1.507553,1.734079
000017.XSHE,-3.257863,-0.338023,-1.717062,0.740334,-1.658718,-1.537101,-0.24668,-0.76372,-2.284126,-0.29011
000019.XSHE,-1.348595,0.190768,0.348382,1.194359,2.075806,-0.163234,1.663011,-0.130754,2.110281,-0.709759
000020.XSHE,-2.344921,0.195192,-0.430629,0.255578,1.42783,-1.258844,-0.056059,-0.614424,0.687184,-0.603809
000021.XSHE,-0.314824,2.098001,1.188646,0.486881,0.82337,-0.810283,1.244046,-1.208299,-0.123775,-0.4505369999999999
000023.XSHE,-2.830703,-0.614143,-0.129849,0.6972010000000001,0.03711,-0.8663629999999999,-0.151117,-0.39865,0.8204319999999999,-0.246275
000025.XSHE,-1.420685,-0.357862,-0.456733,0.8430620000000001,2.106887,-1.12266,0.756474,-0.589616,0.46553,-1.295933
000026.XSHE,-1.647738,1.149977,0.994306,0.91334,2.136136,-0.416856,0.978787,-0.634804,-0.049906,-1.008158
000027.XSHE,-0.476804,-0.4769489999999999,-0.298392,-0.887026,1.088765,1.762903,-1.454604,1.407039,0.42175,2.015354
000028.XSHE,-0.716623,0.14906,-0.138705,0.2228909999999999,1.44844,0.592645,0.1937579999999999,0.4533029999999999,0.4679439999999999,-0.376222
000029.XSHE,-1.28889,-2.5099970000000003,-0.889101,-1.34394,2.042757,-0.487972,0.015311,-0.8282120000000001,0.058865,-1.152995
000030.XSHE,-1.225131,0.7552399999999999,0.844097,0.7822399999999999,2.000508,0.336118,-0.6741090000000001,0.715109,0.363417,-0.840823
000031.XSHE,-0.628016,-0.332579,-0.842683,-0.752063,1.321132,1.254455,-0.5641010000000001,2.055423,-0.1168869999999999,2.015354
000032.XSHE,-1.423705,0.945575,1.04253,0.4857229999999999,2.107972,-1.05418,-0.020344,-0.704728,-0.647781,-1.075683
000034.XSHE,-0.963118,1.155757,-0.493927,0.6436930000000001,1.758976,-0.61974,1.532144,0.483217,1.783521,0.425597
000035.XSHE,-1.1607040000000002,-0.502278,-0.8475389999999999,-0.8614790000000001,1.950872,1.331869,-0.885568,1.274188,1.756931,2.015354
000036.XSHE,-1.822399,-0.839825,-0.311567,-0.396043,2.080119,0.94896,-0.6246510000000001,1.613233,0.8989739999999999,0.137907
000037.XSHE,-1.456208,-0.226333,0.715599,1.301897,2.118507,-0.834125,-0.10335,-0.499884,-0.361493,-1.199296
000038.XSHE,-1.808332,0.351551,0.00622,1.4149200000000002,2.087359,-0.102363,1.596332,-1.39078,-0.631501,-1.383215
000039.XSHE,-0.2555699999999999,-0.662623,-0.703713,-0.610372,0.723146,1.884762,-0.673654,0.067856,0.0271579999999999,2.015354
000040.XSHE,-2.01268,0.1935359999999999,-1.536636,0.245682,1.931976,2.612664,1.090235,-2.9481040000000003,-0.108896,1.221914
000042.XSHE,-1.800843,-0.937905,-1.086445,-1.085532,2.091013,2.428021,-1.6601099999999998,-1.053563,-0.1648869999999999,2.015354
000045.XSHE,-2.218542,0.092902,0.38475,0.297327,1.6587459999999998,0.608113,0.244908,-0.288134,0.486859,-1.33286
000046.XSHE,-0.640101,0.3804929999999999,-1.0159200000000002,-0.3544449999999999,1.338916,1.6809619999999998,-1.46508,0.306713,-2.305083,2.015354
000048.XSHE,-0.863084,-0.939739,-0.319634,1.118107,1.641478,-1.175953,-0.466341,0.068506,1.742318,-0.365725
000049.XSHE,-1.341762,0.936463,0.320211,-0.329338,2.072352,-0.8556,0.474184,0.048287,0.9001120000000001,-0.131739
000050.XSHE,-0.133319,1.010326,-0.343385,-1.177186,0.512792,1.338298,0.202079,-0.287186,0.452462,1.264888
000055.XSHE,-2.020054,-0.084882,-0.579611,-0.951578,1.924283,1.775143,-0.249988,-0.077225,-0.7969310000000001,-0.288969
000056.XSHE,-2.193163,-0.201797,-1.216895,-0.516703,1.6991630000000002,2.612664,-0.677421,0.047707,0.179746,0.624119
000058.XSHE,-1.42471,1.233571,0.749128,1.237804,2.108329,-0.887101,1.5706639999999998,-0.416731,-0.125282,0.018831
000059.XSHE,-1.605013,-0.834522,-0.918024,-0.754592,2.139054,2.612664,-0.6111479999999999,1.884143,-0.088253,1.477585
000060.XSHE,-0.945397,0.251759,-0.438173,-1.141815,1.7390869999999998,0.7345109999999999,-0.411541,-0.210896,-0.154042,-0.5183810000000001
