code,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
000001.XSHE,1.013624,-0.228381,-0.54606,-0.618784,-1.274698,1.693775,-0.360178,0.5819439999999999,-0.185345,1.807111
000002.XSHE,1.013624,-0.675737,-0.626378,-0.54015,-1.274698,0.152271,0.013744,2.05626,0.576376,1.476313
000004.XSHE,-2.117315,0.512787,-0.079801,0.8241719999999999,1.800821,-0.564813,1.020607,-0.8380989999999999,-0.671186,-1.4475209999999998
000005.XSHE,-2.462667,-0.546639,-0.709292,-0.527018,1.158847,0.025773,-0.4266069999999999,-0.6671590000000001,1.448076,-0.8099930000000001
000006.XSHE,-1.295799,0.268751,0.374947,0.8890889999999999,2.0371200000000003,0.395652,0.962613,-0.734665,-0.281011,0.270178
000007.XSHE,-2.460894,-1.775769,-0.5619529999999999,0.358869,1.163126,-1.36915,0.274126,-0.896259,-2.664475,-1.38749
000008.XSHE,-1.4901,-0.587137,-1.100286,-1.017287,2.118173,1.104764,-0.299009,-0.1950609999999999,0.580678,-0.82435
000009.XSHE,-0.7021729999999999,1.425249,0.830732,0.720039,1.415601,-0.700857,1.398649,-1.091952,-0.1124609999999999,0.467283
000010.XSHE,-2.404631,-1.853536,-0.657832,0.048907,1.293421,-1.138091,-0.64679,-0.916695,-0.308148,-0.0909799999999999
000011.XSHE,-0.916492,0.005961,1.568292,3.171909,1.694287,-0.955165,1.417849,-0.386067,1.407802,0.493222
000012.XSHE,-0.7956880000000001,0.745292,-0.21738,-0.110849,1.543452,0.061137,0.859734,-0.393484,-0.5998939999999999,-0.158667
000014.XSHE,-2.640278,0.315755,0.069393,0.826724,0.6749930000000001,-0.438936,1.0588110000000002,-0.8624379999999999,-0.473574,-0.4326609999999999
000016.XSHE,-0.8853719999999999,1.671257,0.156525,0.989552,1.6570919999999998,-0.091907,1.48108,-1.736317,1.50453,1.61011
000017.XSHE,-3.1256,-0.075781,-1.717595,1.383729,-1.253846,-1.548057,0.35452,-0.785993,-2.25753,-0.124495
