code,date,1vwap_pct,5vwap_pct,10vwap_pct,15vwap_pct
000001.XSHE,2020-09-16,0.01221393666662794,0.016454542142886882,-0.02095549560202388,0.07514601281831942
000002.XSHE,2020-09-16,0.0009155550824299066,0.022143381736502644,-1.1109750324871245e-05,-0.014151545649723872
000004.XSHE,2020-09-16,0.06846365290501998,0.0481636402385209,0.026528672681227418,0.12455153728787663
000005.XSHE,2020-09-16,-0.01413109542135401,-0.04247602729290143,-0.08625135735016619,-0.054647678273468614
000006.XSHE,2020-09-16,0.0029853430458544185,0.09460926253606489,0.10491173066939764,0.06107944804391675
000007.XSHE,2020-09-16,-0.007069169240975739,-0.027282572963826662,-0.003893870263600668,0.017300123057845992
000008.XSHE,2020-09-16,-0.0018852848033453385,-0.0011404493193397892,-0.03557410149728429,-0.03922047091718371
000009.XSHE,2020-09-16,0.020063596385811004,-0.011349928430441048,-0.029258495827068524,0.1050974478485225
000010.XSHE,2020-09-16,-0.0033862272393617903,-0.036714197688962516,-0.0912805782107345,0.017903887561922946
000011.XSHE,2020-09-16,0.0008158307182970235,0.06769851576111618,0.05305374002711159,0.03847151126803617
000012.XSHE,2020-09-16,0.0024331369315363357,0.01798796203585219,0.04484657269205494,0.12827566892203945
000014.XSHE,2020-09-16,-0.002657407929937887,0.07811588540451495,0.030888400407005738,0.03670562116491272
000016.XSHE,2020-09-16,-0.007768139153153553,-0.011244504605295153,-0.10366665280683948,-0.05828610456026301
000017.XSHE,2020-09-16,-0.006908667851998643,0.0033477113622350256,-0.033410500655636756,0.01563364596523523
000019.XSHE,2020-09-16,-0.02192343270542834,-0.009734747519365343,-0.06592399956456271,-0.017800004220069353
000020.XSHE,2020-09-16,-0.001225707315819094,0.027633101882127867,-0.038091499454430404,-0.09259632833520445
000021.XSHE,2020-09-16,0.006070858632155533,0.05000407006047061,-0.010279879906976843,0.10510534910775754
000023.XSHE,2020-09-16,0.006422547906731289,0.10174368180060434,0.10305585239433633,0.13406823637783502
000025.XSHE,2020-09-16,0.04041570512485437,0.002176023295587561,-0.048223932835984404,-0.0359896531954129
000026.XSHE,2020-09-16,0.019586265114306084,0.010176806658212531,-0.06975099225042633,-0.10990083691908913
000027.XSHE,2020-09-16,-0.0004427126416418817,0.016089971948491193,-0.004770731288527087,0.07691498031665601
000028.XSHE,2020-09-16,-0.01340161593616296,0.008727254953366613,-0.010203228193793164,0.04290596811766052
000030.XSHE,2020-09-16,0.05032541939278566,0.041306794288301744,0.04788852868788309,0.11703776096131667
000031.XSHE,2020-09-16,-0.003374708396151103,-0.02229005875063027,-0.08749571538421608,-0.06702359201170596
000032.XSHE,2020-09-16,-0.01729873154798729,-0.023080092521110873,-0.10435614735279206,-0.01203338274037335
000034.XSHE,2020-09-16,0.005559941961854318,0.053761353584637316,0.06929383928684099,0.1866092343075971
000035.XSHE,2020-09-16,0.0012626712790915126,-0.02734406102846243,-0.05418529893904442,-0.04463253882193427
000036.XSHE,2020-09-16,-0.004870578462379856,0.0072140835456494115,-0.047186756747974755,0.011460404843196369
000037.XSHE,2020-09-16,6.4685775793079e-05,-0.004196985592794396,-0.055279036096670814,-0.017911210758330073
000038.XSHE,2020-09-16,-0.0110567054434882,0.01797366476348909,-0.0602966812855006,0.023172085618278375
000039.XSHE,2020-09-16,0.003317473351386884,-0.016844368278596027,-0.011049664066705687,0.061849935952591
000040.XSHE,2020-09-16,0.00836292245400642,-0.004458548907836831,-0.07973709974346288,0.03502731727051699
