code,date,1vwap_pct,5vwap_pct,10vwap_pct,15vwap_pct
000001.XSHE,2021-03-15,0.0008869295001312364,-0.01836023732989873,-0.010835100585969976,0.004646192413156483
000002.XSHE,2021-03-15,0.02788082564168953,-0.004164363007920786,-0.0170859005550472,-0.0627443835148511
000004.XSHE,2021-03-15,0.01277041182090421,0.03991777122104236,0.03376122024656433,0.0283967085237852
000005.XSHE,2021-03-15,0.023140898965405277,0.04937250140175755,0.1520108156877575,0.029205408607770444
000006.XSHE,2021-03-15,0.017912047814777128,0.016438561146749256,0.020149915816715613,0.023248204415866534
000007.XSHE,2021-03-15,0.0007503037895573771,0.05961914770105586,-0.07814490159933013,-0.03897022928845589
000008.XSHE,2021-03-15,0.003851680227584841,-0.014930542642962858,-0.024063265825256086,-0.04297386396562213
000009.XSHE,2021-03-15,0.01671641601807119,-0.004177124441673809,0.008980543779493356,0.10648030664350144
000010.XSHE,2021-03-15,0.01828508744225941,0.030427012161090942,0.09640182212651092,0.07976988886079005
000011.XSHE,2021-03-15,0.0806221904815994,0.20003606534682106,0.08283073496671264,0.0352176822573093
000012.XSHE,2021-03-15,-0.024997880778172707,-0.02875468811500615,-0.03574209079719933,0.057595715217870845
000014.XSHE,2021-03-15,0.021732490788657074,0.015254540590364048,0.010340002206378873,0.0019268098717533442
000016.XSHE,2021-03-15,0.003768745091797439,0.020300037786315187,0.005783440265664258,0.04405008095995105
000017.XSHE,2021-03-15,0.04250928692158225,0.12760713478624028,0.09369510238526305,0.11253029292378809
000019.XSHE,2021-03-15,0.008243467704706868,0.017556050997212688,0.0926363276457046,0.015251964927379093
000020.XSHE,2021-03-15,0.014062151421326677,0.01866034214230029,0.03765472080340268,0.067499539728976
000021.XSHE,2021-03-15,-0.0057172002589138005,-0.0170286665738488,-0.009834543763242927,0.015275226154758875
000023.XSHE,2021-03-15,0.013390292921910766,0.04996523524293191,0.060903476130398114,0.03979290969369889
000025.XSHE,2021-03-15,0.01304422019386179,0.0546119212318324,0.034971884980171404,0.007896811335529212
000026.XSHE,2021-03-15,0.007209738688886858,0.03657179724401271,0.013981305936176002,0.03898013283438552
